Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2dHHgzDwk4BJdRwy9uXhTO,"0iEtIxbK0KxaSlF7G42ZOp,1Xyo4u8uXC1ZmMpatF05PJ,1URnnhqYAYcrqrcwql10ft","Creepin' (with The Weeknd & 21 Savage)","HEROES & VILLAINS","Metro Boomin,The Weeknd,21 Savage",2022-12-02,221520,83,spotify:user:sna84jp8nqr380zzj9orx11zw,2022-12-10T19:11:28Z,"rap,canadian contemporary r&b,canadian pop,pop,atl hip hop,hip hop",0.716,0.613,1,-6.018,0,0.0522,0.391,0,0.0813,0.157,97.914,4
2qxmye6gAegTMjLKEBoR3d,"5IH6FPUwQTxPSXurCrcIov","Let Me Down Slowly","Narrated For You","Alec Benjamin",2018-11-16,169353,83,spotify:user:sna84jp8nqr380zzj9orx11zw,2021-10-15T21:24:19Z,"alt z,pop,pov: indie",0.652,0.557,1,-5.714,0,0.0318,0.74,0,0.124,0.483,150.073,4
2oADPwknKEfMtwpMnr7xfg,"74KM79TiuVKeVCqs8QtB0B","Espresso","Espresso","Sabrina Carpenter",2024-04-11,175459,67,spotify:user:sna84jp8nqr380zzj9orx11zw,2024-05-16T19:08:20Z,"pop",0.704,0.751,0,-5.223,1,0.0289,0.108,0.00000597,0.159,0.728,103.94,4
6GmUVqe73u5YRfUUynZK6I,"0gadJ2b9A4SKsB1RFkBb66","Let Her Go","All the Little Lights","Passenger",2012-06-29,252733,1,spotify:user:sna84jp8nqr380zzj9orx11zw,2021-10-15T21:24:19Z,"folk-pop,neo mellow",0.479,0.545,7,-7.346,1,0.0688,0.365,0,0.0963,0.244,74.897,4
6GGtHZgBycCgGBUhZo81xe,"00FQb4jTyendYWaN8pK0wa","Say Yes To Heaven","Say Yes To Heaven","Lana Del Rey",2023-05-19,209156,84,spotify:user:sna84jp8nqr380zzj9orx11zw,2024-05-20T20:24:17Z,"art pop,pop",0.485,0.348,6,-11.576,0,0.0257,0.678,0.167,0.118,0.145,99.898,4
6dOtVTDdiauQNBQEDOtlAB,"6qqNVTkY8uBg9cP3Jd7DAH","BIRDS OF A FEATHER","HIT ME HARD AND SOFT","Billie Eilish",2024-05-17,210373,98,spotify:user:sna84jp8nqr380zzj9orx11zw,2024-06-20T17:44:46Z,"art pop,pop",0.747,0.507,2,-10.171,1,0.0358,0.2,0.0608,0.117,0.438,104.978,4
4QECgFL34Co7AdI0YBz3VQ,"3vlH5PSk5GSm61lfafSPAl","Stumblin' In","Stumblin' In","Lone Tusker",2024-06-28,177158,53,spotify:user:sna84jp8nqr380zzj9orx11zw,2024-06-27T22:41:59Z,"",0.731,0.808,7,-7.651,1,0.0532,0.31,0.0114,0.335,0.497,123.017,4
040tkq1E63haCjYl7z4YVg,"2WHKOM9mlVBFVyLloTzFYA","The Man Who Can't Be Moved","The Man Who Can't Be Moved","Raphael DeLove",2024-06-28,150000,47,spotify:user:sna84jp8nqr380zzj9orx11zw,2024-06-27T22:41:59Z,"tropical house",0.787,0.662,10,-6.124,1,0.0394,0.0115,0.0141,0.118,0.752,112.012,4
1HNkqx9Ahdgi1Ixy2xkKkL,"6eUKZXaKkcviH0Ku9w2n3V","Photograph","x (Deluxe Edition)","Ed Sheeran",2014-06-21,258986,82,spotify:user:sna84jp8nqr380zzj9orx11zw,2021-10-15T21:24:19Z,"pop,singer-songwriter pop,uk pop",0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989,4
5Z0UnEtpLDQyYlWwgi8m9C,"2FXC3k01G6Gw61bmprjgqS","Too Sweet","Unreal Unearth: Unheard","Hozier",2024-03-22,251424,89,spotify:user:sna84jp8nqr380zzj9orx11zw,2024-05-16T19:08:20Z,"irish singer-songwriter,modern rock,pop,pov: indie",0.741,0.62,10,-5.505,1,0.0412,0.0295,0.000809,0.0398,0.934,117.038,4
