Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1ZMiCix7XSAbfAJlEZWMCp,"6KImCVD70vtIoJWnq6nGn3","Falling","Fine Line","Harry Styles",2019-12-13,240133,79,spotify:user:,1970-01-01T00:00:00Z,"pop",0.567,0.267,4,-6.502,1,0.0299,0.839,0.00000146,0.089,0.0592,110.011,4
2QjOHCTQ1Jl3zawyYOpxh6,"77SW9BnxLY8rJ0RciFqkHh","Sweater Weather","I Love You.","The Neighbourhood",2013-04-19,240400,90,spotify:user:,1970-01-01T00:00:00Z,"modern alternative rock,modern rock,pop",0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,4
3dYD57lRAUcMHufyqn9GcI,"2FXC3k01G6Gw61bmprjgqS","Take Me To Church","Hozier","Hozier",2014-09-19,241688,82,spotify:user:,1970-01-01T00:00:00Z,"irish singer-songwriter,modern rock,pop,pov: indie",0.575,0.664,4,-5.303,0,0.0481,0.637,0,0.116,0.437,129.071,4
3AJwUDP919kvQ9QcozQPxg,"4gzpq5DPGxSnKTe4SA8HAU","Yellow","Parachutes","Coldplay",2000-07-10,266773,89,spotify:user:,1970-01-01T00:00:00Z,"permanent wave,pop",0.429,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,173.372,4
6VhuP99TE6gYNQRJIlAWFD,"5XKFrudbV4IiuE5WuTPRmT","Until I Found You","Easy On My Eyes","Stephen Sanchez",2022-08-19,176666,77,spotify:user:,1970-01-01T00:00:00Z,"gen z singer-songwriter",0.346,0.5,10,-6.097,1,0.0388,0.757,0,0.189,0.191,202.466,3
5zT5cMnMKoyruPj13TQXGx,"0MmnmsAuQKRFpo6vJElcaU","I Found","5AM (Expanded Edition)","Amber Run",2015-04-20,273000,73,spotify:user:,1970-01-01T00:00:00Z,"indie anthem-folk",0.567,0.303,7,-12.481,0,0.0351,0.862,0.00563,0.104,0.252,124.949,4
5WtfUKzXircvW8l5aaVZWT,"0ZED1XzwlLHW4ZaG4lOT6m,1Hsdzj7Dlq2I7tHP7501T4","What A Time (feat. Niall Horan)","Inner Monologue Part 1","Julia Michaels,Niall Horan",2019-01-24,173306,74,spotify:user:,1970-01-01T00:00:00Z,"pop",0.516,0.467,0,-6.184,1,0.0302,0.662,0,0.0853,0.386,132.861,4
7qEHsqek33rTcFNT9PFqLf,"4GNC7GD6oZMSxPGyXy4MNB","Someone You Loved","Divinely Uninspired To A Hellish Extent","Lewis Capaldi",2019-05-17,182160,87,spotify:user:,1970-01-01T00:00:00Z,"pop,uk pop",0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,0.446,109.891,4
7t3Xdbufg7q2onVsR8RBdY,"2wY79sveU1sp5g7SokKOiI","Fire On Fire","Love Goes","Sam Smith",2020-10-30,246735,74,spotify:user:,1970-01-01T00:00:00Z,"pop,uk pop",0.584,0.408,1,-7.356,0,0.0461,0.476,0,0.18,0.333,115.129,4
2afCBiru10AFckfOa49wIa,"4AK6F7OLvEQ5QYCBNiQWHq","You & I","Midnight Memories (Deluxe)","One Direction",2013-11-25,237933,74,spotify:user:,1970-01-01T00:00:00Z,"boy band,pop,post-teen pop,talent show",0.574,0.329,1,-6.829,1,0.0274,0.22,0,0.0986,0.356,130.993,4
5Qnrgqy1pAm9GyNQOgyVFz,"4MXUO7sVCaFgFjoTI5ox5c","Fourth of July","Carrie & Lowell","Sufjan Stevens",2015-03-31,279316,78,spotify:user:,1970-01-01T00:00:00Z,"art pop,baroque pop,chamber pop,indie pop,indie rock,singer-songwriter",0.435,0.104,6,-22.39,0,0.0445,0.973,0.33,0.119,0.162,120.484,4
1FEiijYPJtyswChfcpv3p0,"00FQb4jTyendYWaN8pK0wa","Summertime Sadness","Born To Die (Deluxe Version)","Lana Del Rey",2011-01-01,264773,61,spotify:user:,1970-01-01T00:00:00Z,"art pop,pop",0.568,0.646,1,-6.793,0,0.0332,0.0464,0,0.121,0.211,111.945,4
13HVjjWUZFaWilh2QUJKsP,"4EzkuveR9pLvDVFNx6foYD","Let It Go","Chaos And The Calm","James Bay",2014-12-15,260532,66,spotify:user:,1970-01-01T00:00:00Z,"neo mellow,pop,uk pop",0.536,0.311,1,-10.396,1,0.0288,0.82,0.0000165,0.107,0.246,147.486,4
5qrSlOut2rNAWv3ubArkNy,"3QSQFmccmX81fWCUSPTS7y","Be Alright","A Place We Knew","Dean Lewis",2019-03-22,196493,76,spotify:user:,1970-01-01T00:00:00Z,"australian pop,pop",0.551,0.537,11,-7.595,1,0.034,0.705,0,0.0802,0.493,126.421,4
3ZCTVFBt2Brf31RLEnCkWJ,"6qqNVTkY8uBg9cP3Jd7DAH","everything i wanted","everything i wanted","Billie Eilish",2019-11-13,245425,81,spotify:user:,1970-01-01T00:00:00Z,"art pop,pop",0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,4
6O5TrlFWTYvznd9fMC0VvU,"4dpARuHxo51G3z768sgnrY","When We Were Young","25","Adele",2015-11-20,290900,75,spotify:user:,1970-01-01T00:00:00Z,"british soul,pop,pop soul,uk pop",0.376,0.595,3,-5.936,1,0.0496,0.303,0,0.095,0.265,144.361,4
6potEImiklXkwD9qFzpu15,"2feDdbD5araYcm6JhFHHw7","Forever","Euphoria (Original Score from the HBO Series)","Labrinth",2019-10-04,202536,67,spotify:user:,1970-01-01T00:00:00Z,"indie poptimism,pop",0.563,0.459,4,-7.781,0,0.0292,0.92,0.724,0.11,0.197,79.983,4
