Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3AVrVz5rK8Hrqo9YGiVGN5,"1QAJqy2dA3ihHBFIHRphZj","Apocalypse","Cigarettes After Sex","Cigarettes After Sex",2017-06-09,290146,10,spotify:user:urfodtkfno5m8ydeurmo4l855,2021-05-08T09:46:53Z,"ambient pop,dream pop,el paso indie,shoegaze",0.369,0.467,5,-9.018,1,0.0274,0.0194,0.46,0.109,0.174,94.473,4
1ZgMsA55GIY7ICkQh5MILA,"56ZTgzPBDge0OvCGgMO3OY","Space Song","Depression Cherry","Beach House",2015-08-28,320466,74,spotify:user:urfodtkfno5m8ydeurmo4l855,2021-05-08T09:47:08Z,"art pop,baltimore indie,dream pop,dreamo,indie rock,indietronica,modern dream pop,pov: indie",0.508,0.786,0,-7.295,0,0.0293,0.226,0.14,0.143,0.611,147.077,4
1v1oIWf2Xgh54kIWuKsDf6,"1WgXqy2Dd70QQOU7Ay074N","Runaway","All My Demons Greeting Me As A Friend (Deluxe)","AURORA",2016-03-11,248826,75,spotify:user:urfodtkfno5m8ydeurmo4l855,2021-05-08T10:19:31Z,"art pop,norwegian pop",0.422,0.302,11,-9.214,1,0.0372,0.629,0.0000783,0.104,0.123,114.089,4
6ixkZ2Q9gQeh52C6GxbETg,"0m5FakHKCQdA7UN0PIzMcL","Kids","Kids","Current Joys",2015-03-08,269142,3,spotify:user:urfodtkfno5m8ydeurmo4l855,2021-05-26T18:21:48Z,"lo-fi indie,pov: indie",0.827,0.66,6,-9.669,1,0.0337,0.508,0.403,0.0756,0.904,113.449,4
5a6pdCHlWS2ekOOQ70QnAr,"55fhWPvDiMpLnE4ZzNXZyW","July","July","Noah Cyrus",2019-07-31,156106,0,spotify:user:urfodtkfno5m8ydeurmo4l855,2021-06-07T22:00:03Z,"alt z,pop",0.708,0.186,9,-8.953,0,0.0422,0.868,0,0.0779,0.321,72.541,4
707BRCe5feUySwv7141QeA,"3gfeKrOBLlmoaUXfGJzmS5","New Home","New Home","Austin Farwell",2021-05-11,126359,68,spotify:user:urfodtkfno5m8ydeurmo4l855,2021-06-07T23:21:22Z,"ambient lo-fi",0.378,0.014,5,-22.794,1,0.0515,0.994,0.87,0.116,0.198,71.865,1
2IvnDjlgH8yy70Nz99UdcJ,"18oYqNtcLUHrqO7LfX7qni","Agape","If Beale Street Could Talk (Original Motion Picture Score)","Nicholas Britell",2018-11-09,175752,65,spotify:user:urfodtkfno5m8ydeurmo4l855,2021-06-07T23:22:07Z,"orchestral soundtrack,soundtrack",0.153,0.162,10,-19.61,1,0.0429,0.884,0.943,0.111,0.0584,68.734,3
4IhTXiZLKATmwhMZIb1GQN,"1AgxgADPuRIW1wyaA4OKcB","Lights Are On","Z-Sides","Tom Rosenthal",2018-10-26,193749,76,spotify:user:urfodtkfno5m8ydeurmo4l855,2021-06-10T18:48:04Z,"british singer-songwriter",0.44,0.04,3,-16.887,1,0.0322,0.981,0.465,0.111,0.249,135.965,4
0V5cvmTKsYmF5FmGGEAfmS,"7bPs6jf983f0bjRAt1yxDM","Je te laisserai des mots","Je te laisserai des mots","Patrick Watson",2010-09-10,160853,54,spotify:user:urfodtkfno5m8ydeurmo4l855,2021-06-10T18:48:32Z,"indie folk,indie quebecois",0.303,0.187,2,-16.757,1,0.0356,0.989,0.499,0.102,0.212,132.679,4
68RI4I6SKm57SxjG06OYvN,"15S89CUJtshT2P7WIa2M5l","The Wisp Sings","The Wisp Sings","Winter Aid",2013-11-11,313252,9,spotify:user:urfodtkfno5m8ydeurmo4l855,2021-06-10T18:49:53Z,"irish indie",0.521,0.0889,4,-19.457,1,0.0507,0.988,0.182,0.0965,0.0479,115.43,4
2enPRFda84VE2wtI8c86Uf,"3Oim8XBPbznAa8Jj8QzNc8","Always Forever","Static","Cults",2013-10-15,223746,78,spotify:user:urfodtkfno5m8ydeurmo4l855,2021-06-10T18:49:14Z,"experimental pop,indie surf,pov: indie",0.174,0.742,8,-5.93,1,0.0485,0.00181,0.281,0.198,0.36,163.378,4
6wCqavAUbTEj8eCmSfemsO,"3c9fCrSEh760DiJtqwS3En","Georgia","Georgia","It's Midnight",2023-07-17,142500,0,spotify:user:urfodtkfno5m8ydeurmo4l855,2023-09-05T14:52:21Z,"",0.425,0.305,5,-10.38,0,0.0302,0.606,0.00000563,0.12,0.101,143.535,3
1eKvw144NYPlDjR0wQoGLW,"6AyATGg7mDgBlZ4N5uNog0","Where's My Love - Acoustic","Where's My Love","SYML",2017-07-07,239880,0,spotify:user:urfodtkfno5m8ydeurmo4l855,2021-06-19T11:58:21Z,"modern indie pop",0.554,0.225,3,-11.324,1,0.0281,0.892,0.0321,0.107,0.221,104.007,4
1XZPtZVqcOzzxbYIR7MjQw,"0rZp7G3gIH6WkyeXbrZnGi,7FW2qwsY0zLV9GppWatQ5P","Ontario","Heiress","Novo Amor,Lowswimmer",2017-11-10,192866,66,spotify:user:urfodtkfno5m8ydeurmo4l855,2021-06-19T11:59:06Z,"ambient folk,indie folk,modern indie folk",0.409,0.223,10,-13.886,1,0.0296,0.947,0.0123,0.0635,0.173,89.877,4
0baNzeUcPQnQSagpe8T0mD,"3MZsBdqDrRTJihTHQrO6Dq","worldstar money (interlude)","In Tongues (Deluxe)","Joji",2018-02-14,126312,74,spotify:user:urfodtkfno5m8ydeurmo4l855,2021-06-19T12:02:33Z,"viral pop",0.577,0.387,7,-8.607,1,0.274,0.964,0.705,0.208,0.459,146.565,1
3lG6OtGDsYAOALxEmubQQm,"00FQb4jTyendYWaN8pK0wa","Happiness is a butterfly","Norman Fucking Rockwell!","Lana Del Rey",2019-08-30,272485,74,spotify:user:urfodtkfno5m8ydeurmo4l855,2021-06-19T12:04:45Z,"art pop,pop",0.467,0.119,2,-10.99,1,0.0401,0.969,0.0000014,0.0973,0.156,70.499,4
5GbVzc6Ex5LYlLJqzRQhuy,"4MXUO7sVCaFgFjoTI5ox5c","Mystery of Love","Mystery of Love","Sufjan Stevens",2017-12-01,248960,69,spotify:user:urfodtkfno5m8ydeurmo4l855,2021-06-19T12:04:55Z,"art pop,baroque pop,chamber pop,indie pop,indie rock,singer-songwriter",0.365,0.273,4,-16.526,0,0.038,0.94,0.431,0.109,0.238,132.285,5
4CiqKccFFYGmFPz7HVTjfW,"0rZp7G3gIH6WkyeXbrZnGi,7FW2qwsY0zLV9GppWatQ5P","Euphor","Heiress","Novo Amor,Lowswimmer",2017-11-10,243466,64,spotify:user:urfodtkfno5m8ydeurmo4l855,2021-06-19T12:05:16Z,"ambient folk,indie folk,modern indie folk",0.296,0.284,10,-14.01,0,0.033,0.968,0.189,0.0961,0.0917,114.786,4
2QFyOnJfJ49OnNgMvKXvTM,"5vx4pDmiFDyKMhuOIgpiRv","Turning Page","Turning Page","Sydney Rose",2020-09-30,218451,56,spotify:user:urfodtkfno5m8ydeurmo4l855,2021-06-19T12:05:40Z,"gen z singer-songwriter",0.404,0.0182,2,-20.969,1,0.0414,0.964,0.00037,0.108,0.114,109.107,4
2NeM9rfWo70KQej9GxeaoL,"6AyATGg7mDgBlZ4N5uNog0","Where's My Love","SYML","SYML",2019-05-03,202009,0,spotify:user:urfodtkfno5m8ydeurmo4l855,2021-06-19T12:06:13Z,"modern indie pop",0.608,0.358,0,-10.018,0,0.0253,0.854,0.0186,0.113,0.365,103.94,4
0Hl9UVyRjxp8Une9PADf5H,"5kkQK3efFeI8eIp9ck9ygK","Pretending","Just Me","Charlie",2017-12-18,78857,0,spotify:user:urfodtkfno5m8ydeurmo4l855,2021-06-19T12:06:26Z,"",0.391,0.228,8,-17.74,1,0.0427,0.98,0.851,0.116,0.107,139.691,4
5ysFFsqJFcsX8Rez67j2tv,"1iCnM8foFssWlPRLfAbIwo","Sometimes (Backwood)","Sometimes (Backwood)","Gigi Perez",2021-02-15,153000,0,spotify:user:urfodtkfno5m8ydeurmo4l855,2021-06-19T12:06:47Z,"bedroom pop",0.41,0.174,3,-11.405,1,0.0328,0.767,0.00197,0.114,0.0694,105.292,4
6Py8QOQ4I1286xM9KncPQ4,"1vkWdqcabQ1swciXipkLBj","lvr boy","lvr boy","awfultune",2018-04-23,295751,52,spotify:user:urfodtkfno5m8ydeurmo4l855,2021-06-19T12:06:58Z,"indie pop,pov: indie",0.498,0.0283,6,-25.021,1,0.0427,0.949,0.00000176,0.251,0.0653,85.473,4
7ug6VGPW7YpDjj2eI4MFc5,"2CWLr3e1gFlVE271ySb9uP","Roslyn","Stories","Ben Pellow",2017-04-06,317440,54,spotify:user:urfodtkfno5m8ydeurmo4l855,2021-06-19T12:07:29Z,"",0.267,0.0563,1,-14.171,1,0.0375,0.946,0.00567,0.109,0.0709,134.347,5
6S7o12almFeL57rbRvdY5l,"4b1cEwAKl1Wdg6x8kkraJa","Vas","Triplbt Theme","jagger finn",2019-08-28,90323,69,spotify:user:urfodtkfno5m8ydeurmo4l855,2021-06-27T11:50:38Z,"bedroom pop",0.514,0.424,0,-10.645,1,0.0282,0.918,0.849,0.126,0.416,71.114,4
77KnJc8o5G1eKVwX5ywMeZ,"4j56EQDQu5XnL7R3E9iFJT","Mind Over Matter (Reprise)","Mirrorball / Mind Over Matter (Reprise)","Young the Giant",2015-04-18,230866,74,spotify:user:urfodtkfno5m8ydeurmo4l855,2021-06-27T11:51:11Z,"indietronica,modern alternative rock,modern rock,pov: indie,stomp and holler",0.393,0.487,0,-6.348,1,0.0337,0.229,0,0.128,0.3,151.958,4
3NM41PVVUr0ceootKAtkAj,"12j6dJrPXanCBwY599pZxf","As the World Caves In","Bad Contestant","Matt Maltese",2018-06-08,218754,68,spotify:user:urfodtkfno5m8ydeurmo4l855,2021-06-27T11:51:33Z,"indie anthem-folk,indie pop,pov: indie",0.327,0.449,10,-5.362,1,0.034,0.369,0.00444,0.22,0.179,123.969,4
36c2NifUp0GDnoOQT5unhR,"4n9AMW1w0pXszeQcKFo13r","Butterfly's Repose","Butterfly's Repose","Zabawa",2020-03-14,309079,51,spotify:user:urfodtkfno5m8ydeurmo4l855,2021-06-27T11:52:16Z,"modern indie pop",0.3,0.0177,0,-27.293,1,0.0422,0.974,0.00764,0.106,0.0896,120.492,3
5PzWVmfzu7rePAuFkxPQf0,"0rZp7G3gIH6WkyeXbrZnGi","Repeat Until Death","Birthplace","Novo Amor",2018-10-19,234080,65,spotify:user:urfodtkfno5m8ydeurmo4l855,2021-06-27T11:52:37Z,"ambient folk,indie folk",0.233,0.15,1,-11.736,1,0.0336,0.982,0.36,0.154,0.0875,143.887,3
2tMXzMhp70DNSSJjokFf2z,"3xSzS8tEGnUi75cVFnWu7N","Falling for You","Falling for You","Cedars Mind",2020-09-18,178494,0,spotify:user:urfodtkfno5m8ydeurmo4l855,2021-06-27T11:52:55Z,"",0.227,0.122,2,-21.002,1,0.0435,0.874,0.746,0.0943,0.055,152.307,4
6nRJNnhhPksfAXOUlEjSW4,"1t6kgv3kQmD8x7ecWtCcy5","Runaway (From Westworld) - Piano Rendition","Piano TV Covers - Vol. 2","The Blue Notes",2018-08-13,173613,43,spotify:user:urfodtkfno5m8ydeurmo4l855,2021-07-18T21:08:49Z,"",0.455,0.257,4,-14.016,1,0.039,0.971,0.858,0.0739,0.103,80.004,4
0cAGsBAPjxeLTcDYBt7ng0,"05lmNttwHJJUwCvhc62KGe","Roslyn","Hiraeth - EP","Cullen",2016-12-15,278816,43,spotify:user:urfodtkfno5m8ydeurmo4l855,2021-07-18T21:11:40Z,"",0.589,0.264,8,-12.528,1,0.0274,0.821,0.0000785,0.109,0.0722,108.03,4
7svpAkwc6xaSxlbZ7V7JiS,"0pg0Zm8FsGAYy5kdHuBnSo","i was all over her","melanchole","salvia palth",2014-07-01,161462,42,spotify:user:urfodtkfno5m8ydeurmo4l855,2021-07-18T21:12:15Z,"countrygaze,lo-fi emo,lo-fi indie,pov: indie,slowcore,small room",0.529,0.353,7,-12.835,1,0.0292,0.788,0.853,0.116,0.0601,104.557,4
6F5mZpEEjhsAW8UEqbIpz1,"35l9BRT7MXmM8bv2WDQiyB","Tired","Patched Up","beabadoobee",2018-12-07,199514,69,spotify:user:urfodtkfno5m8ydeurmo4l855,2021-07-18T21:12:23Z,"bedroom pop,bubblegrunge,indie pop,pov: indie",0.63,0.418,7,-7.111,0,0.0254,0.483,0.15,0.111,0.345,140.037,4
0mr8FAnN9X70p5KRUwMIJx,"1vkWdqcabQ1swciXipkLBj","i met sarah in the bathroom","i met sarah in the bathroom","awfultune",2019-07-31,121374,68,spotify:user:urfodtkfno5m8ydeurmo4l855,2021-07-18T21:12:59Z,"indie pop,pov: indie",0.675,0.408,0,-10.861,1,0.142,0.901,0.000714,0.16,0.229,90.111,4
3zksbXteOCeSusJ5Xltr3t,"3l0CmX0FuQjFxr8SK7Vqag","Bubble Gum","Bubble Gum","Clairo",2019-02-22,175960,75,spotify:user:urfodtkfno5m8ydeurmo4l855,2021-07-18T21:14:32Z,"bedroom pop,indie pop,pov: indie",0.509,0.0167,9,-24.639,1,0.115,0.979,0.0000272,0.387,0.229,207.97,3
1fSNVgPaop1mGi5cjJq1s8,"0m5FakHKCQdA7UN0PIzMcL","Fear","A Different Age","Current Joys",2018-03-02,216539,0,spotify:user:urfodtkfno5m8ydeurmo4l855,2021-07-18T21:18:04Z,"lo-fi indie,pov: indie",0.716,0.447,2,-8.314,1,0.0388,0.701,0.429,0.0855,0.506,93.955,4
7D0RhFcb3CrfPuTJ0obrod,"4gzpq5DPGxSnKTe4SA8HAU","Sparks","Parachutes","Coldplay",2000-07-10,227093,83,spotify:user:urfodtkfno5m8ydeurmo4l855,2021-07-18T21:18:08Z,"permanent wave,pop",0.371,0.268,1,-10.506,1,0.0281,0.748,0.0517,0.104,0.165,102.617,3
3AJwUDP919kvQ9QcozQPxg,"4gzpq5DPGxSnKTe4SA8HAU","Yellow","Parachutes","Coldplay",2000-07-10,266773,89,spotify:user:urfodtkfno5m8ydeurmo4l855,2021-07-18T21:18:44Z,"permanent wave,pop",0.429,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,173.372,4
75JFxkI2RXiU7L9VXzMkle,"4gzpq5DPGxSnKTe4SA8HAU","The Scientist","A Rush of Blood to the Head","Coldplay",2002-08-27,309600,85,spotify:user:urfodtkfno5m8ydeurmo4l855,2021-07-18T21:26:13Z,"permanent wave,pop",0.557,0.442,5,-7.224,1,0.0243,0.731,0.0000146,0.11,0.213,146.277,4
3hRV0jL3vUpRrcy398teAU,"6ltzsmQQbmdoHHbLZ4ZN25","The Night We Met","Strange Trails","Lord Huron",2015-04-06,208211,88,spotify:user:urfodtkfno5m8ydeurmo4l855,2021-07-18T21:51:59Z,"indie folk,stomp and holler",0.448,0.369,9,-9.514,1,0.0452,0.968,0.272,0.638,0.0998,174.097,3
5Zz8mrmVVhOq3iuv8Gh0MX,"46CitWgnWrvF9t70C2p1Me","Medicine","The Wild Youth EP","Daughter",2011-11-21,258986,0,spotify:user:urfodtkfno5m8ydeurmo4l855,2021-08-07T21:43:09Z,"chamber pop,shimmer pop",0.215,0.316,3,-12.201,1,0.0297,0.135,0.244,0.595,0.19,94.619,3
35r28RDot7nPE7y9K9H7l0,"246dkjvS1zLTtiykXe5h60","Feeling Whitney","Stoney (Deluxe)","Post Malone",2016-12-09,257265,70,spotify:user:urfodtkfno5m8ydeurmo4l855,2021-08-07T21:43:37Z,"dfw rap,melodic rap,pop,rap",0.412,0.227,0,-12.696,1,0.0359,0.787,0.00000469,0.282,0.227,80.111,4
6potEImiklXkwD9qFzpu15,"2feDdbD5araYcm6JhFHHw7","Forever","Euphoria (Original Score from the HBO Series)","Labrinth",2019-10-04,202536,67,spotify:user:urfodtkfno5m8ydeurmo4l855,2021-08-07T21:44:46Z,"indie poptimism,pop",0.563,0.459,4,-7.781,0,0.0292,0.92,0.724,0.11,0.197,79.983,4
23rc3hj3GIEkdAjAPYc2dd,"65Tmt9uAPTYGl1ZhsOeEJ6","Fortitude","Fortitude","HAEVN",2017-12-08,214371,0,spotify:user:urfodtkfno5m8ydeurmo4l855,2021-08-07T21:49:01Z,"dutch pop",0.247,0.176,5,-11.623,0,0.0379,0.926,0.0318,0.107,0.207,161.228,3
0gOz9JUXsaKVzLTSmFDtdo,"6U53xCCVXmyimAgsBjCS8P","A Soulmate Who Wasn’t Meant to Be","Do You Love Me, or Are You Just Lonely?","Jess Benko",2019-07-19,316556,62,spotify:user:urfodtkfno5m8ydeurmo4l855,2021-08-29T21:12:31Z,"gen z singer-songwriter",0.571,0.0274,9,-20.274,0,0.0649,0.948,0.00000643,0.322,0.087,124.209,3
13Z3uZXTFpbLBZ8R1rTUKO,"0MeLMJJcouYXCymQSHPn8g","Hearing","Atlas: II","Sleeping At Last",2019-11-01,248635,60,spotify:user:urfodtkfno5m8ydeurmo4l855,2021-08-29T21:13:10Z,"ambient worship,chamber pop,neo-singer-songwriter",0.207,0.292,7,-11.641,1,0.0328,0.818,0.942,0.0934,0.11,141.869,4
4g2WiijzSKzH8PApKDbadN,"0MeLMJJcouYXCymQSHPn8g","Touch","Atlas: II","Sleeping At Last",2019-11-01,256299,64,spotify:user:urfodtkfno5m8ydeurmo4l855,2021-08-29T21:17:39Z,"ambient worship,chamber pop,neo-singer-songwriter",0.415,0.104,0,-11.83,1,0.0426,0.955,0.00000379,0.104,0.18,82.006,3
7vRia9rlEuTDQxkfXIKySi,"7pbDxGE6nQSZVfiFdq9lOL","It's Not The Same Anymore","Pony","Rex Orange County",2019-10-25,386200,60,spotify:user:urfodtkfno5m8ydeurmo4l855,2021-08-29T21:21:39Z,"bedroom pop",0.666,0.317,5,-10.644,1,0.0327,0.873,0.0000374,0.111,0.359,117.676,4
2Xpjglns3XSGYEEyomvbIk,"4yql3diaCYkv88Xrh7rwVl","From Me, the Moon","From Me, the Moon","Lav",2020-02-05,235656,0,spotify:user:urfodtkfno5m8ydeurmo4l855,2021-08-29T21:22:54Z,"",0.556,0.0179,0,-28.603,1,0.0383,0.995,0.16,0.0684,0.152,99.411,4
7CoMBpPTwQi2wPT0U0Nr9b,"0rZp7G3gIH6WkyeXbrZnGi","State Lines","Birthplace","Novo Amor",2018-10-19,208653,72,spotify:user:urfodtkfno5m8ydeurmo4l855,2021-08-29T21:23:34Z,"ambient folk,indie folk",0.509,0.31,9,-10.623,1,0.0313,0.959,0.229,0.0963,0.151,137.474,3
0I1eFRytp4XRhLCjT6tZm7,"7dIpKWlEeAljA20vFJ82RD","I Can't Handle Change","I Can't Handle Change","Roar",2010-03-14,198213,38,spotify:user:urfodtkfno5m8ydeurmo4l855,2021-08-29T21:26:58Z,"pov: indie,weirdcore",0.247,0.438,5,-8.478,1,0.0358,0.0447,0.000867,0.111,0.39,185.711,3
27rlIFzVI6vn4zj4GeiTI8,"7eMEpq0mpOCPTnLZaMZqAM","Coffee Cups and Cigarettes","Coffee Cups and Cigarettes","Tomo",2020-09-25,207598,0,spotify:user:urfodtkfno5m8ydeurmo4l855,2021-08-29T21:30:56Z,"modern indie folk",0.459,0.063,8,-14.446,1,0.0366,0.995,0.803,0.108,0.15,131.704,4
