Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3vkCueOmm7xQDoJ17W1Pm3,"2uYWxilOVlUdk4oV9DvwqK","My Love Mine All Mine","The Land Is Inhospitable and So Are We","Mitski",2023-09-15,137773,89,spotify:user:31i4ovverulke534vsxoycsvqdaq,2024-04-24T01:21:33Z,"brooklyn indie,pov: indie",0.504,0.308,9,-14.958,1,0.0321,0.868,0.135,0.158,0.121,113.95,4
6koKhrBBcExADvWuOgceNZ,"7tYKF4w9nC0nq9CsPZTHyP,0Y5tJX1MQlPlqiwlOH1tJY","Open Arms (feat. Travis Scott)","SOS","SZA,Travis Scott",2022-12-08,239613,77,spotify:user:31i4ovverulke534vsxoycsvqdaq,2024-04-24T01:22:23Z,"pop,r&b,rap,slap house",0.434,0.586,9,-7.612,1,0.138,0.753,0.0144,0.146,0.239,78.259,4
5XsAal7ZcWg1I5T4NcRjkv,"6qqNVTkY8uBg9cP3Jd7DAH","Halley's Comet","Happier Than Ever","Billie Eilish",2021-07-30,234761,74,spotify:user:31i4ovverulke534vsxoycsvqdaq,2023-05-17T20:18:11Z,"art pop,pop",0.403,0.159,1,-16.728,0,0.104,0.961,0.0121,0.34,0.0381,72.38,4
46kspZSY3aKmwQe7O77fCC,"66CXWjxzNUsdJxJ2JdwvnR","we can't be friends (wait for your love)","eternal sunshine","Ariana Grande",2024-03-08,228639,86,spotify:user:31i4ovverulke534vsxoycsvqdaq,2024-04-24T01:24:12Z,"pop",0.645,0.646,5,-8.334,1,0.0427,0.0615,0.0000304,0.074,0.295,115.842,4
0AAMnNeIc6CdnfNU85GwCH,"0iEtIxbK0KxaSlF7G42ZOp,6AMd49uBDJfhf30Ak2QR5s","Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray)","METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE)","Metro Boomin,Coi Leray",2023-06-02,189466,71,spotify:user:31i4ovverulke534vsxoycsvqdaq,2024-04-24T01:24:16Z,"rap,new jersey underground rap,trap queen",0.751,0.3,4,-9.404,0,0.0584,0.199,0.000341,0.127,0.0551,120.097,4
3xKsf9qdS1CyvXSMEid6g8,"2h93pZq0e7k5yf4dywlkpM","Pink + White","Blonde","Frank Ocean",2016-08-20,184516,87,spotify:user:31i4ovverulke534vsxoycsvqdaq,2024-04-24T01:22:18Z,"lgbtq+ hip hop,neo soul",0.545,0.545,9,-7.362,1,0.107,0.667,0.0000548,0.417,0.549,159.94,3
5Y35SjAfXjjG0sFQ3KOxmm,"7tYKF4w9nC0nq9CsPZTHyP","Nobody Gets Me","SOS","SZA",2022-12-09,180853,86,spotify:user:31i4ovverulke534vsxoycsvqdaq,2024-04-24T01:22:38Z,"pop,r&b,rap",0.358,0.284,7,-8.285,1,0.0285,0.805,0,0.183,0.276,99.796,3
1i9lZvlaDdWDPyXEE95aiq,"0Y5tJX1MQlPlqiwlOH1tJY,7tYKF4w9nC0nq9CsPZTHyP,1RyvyyTE3xzB2ZywiAwp0i","TELEKINESIS (feat. SZA & Future)","UTOPIA","Travis Scott,SZA,Future",2023-07-28,353754,78,spotify:user:31i4ovverulke534vsxoycsvqdaq,2024-04-24T01:24:01Z,"rap,slap house,pop,r&b,atl hip hop,hip hop,southern hip hop,trap",0.458,0.535,5,-4.854,0,0.0281,0.575,0,0.168,0.216,82.826,4
0WtM2NBVQNNJLh6scP13H8,"46pWGuE3dSwY3bMMXGBvVS,0C8ZW7ezQVs4URX5aX7Kqx","Calm Down (with Selena Gomez)","Calm Down (with Selena Gomez)","Rema,Selena Gomez",2022-08-25,239317,81,spotify:user:31i4ovverulke534vsxoycsvqdaq,2024-04-24T01:23:46Z,"afrobeats,nigerian pop,pop,post-teen pop",0.801,0.806,11,-5.206,1,0.0381,0.382,0.000669,0.114,0.802,106.999,4
3zksbXteOCeSusJ5Xltr3t,"3l0CmX0FuQjFxr8SK7Vqag","Bubble Gum","Bubble Gum","Clairo",2019-02-22,175960,75,spotify:user:31i4ovverulke534vsxoycsvqdaq,2023-05-17T20:15:36Z,"bedroom pop,indie pop,pov: indie",0.509,0.0167,9,-24.639,1,0.115,0.979,0.0000272,0.387,0.229,207.97,3
