Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5XeFesFbtLpXzIVDNQP22n,"7Ln80lUS6He07XvHI8qqHH","I Wanna Be Yours","AM","Arctic Monkeys",2013-09-09,183956,90,spotify:user:31hfwc6qspmamzk6jsulbu62wcnq,2023-02-09T15:29:40Z,"garage rock,modern rock,permanent wave,rock,sheffield indie",0.464,0.417,0,-9.345,0,0.0256,0.136,0.022,0.0974,0.479,67.528,4
26b3oVLrRUaaybJulow9kz,"7kjSuFGKhLm8b5qXoMhRkJ","People","People","Libianca",2022-12-06,184791,78,spotify:user:31hfwc6qspmamzk6jsulbu62wcnq,2023-06-20T17:52:19Z,"afrobeats",0.573,0.422,10,-7.621,0,0.0678,0.551,0.0000131,0.102,0.693,124.357,5
4LRPiXqCikLlN15c3yImP7,"6KImCVD70vtIoJWnq6nGn3","As It Was","As It Was","Harry Styles",2022-03-31,167303,31,spotify:user:31hfwc6qspmamzk6jsulbu62wcnq,2022-06-30T08:07:16Z,"pop",0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,4
2qxmye6gAegTMjLKEBoR3d,"5IH6FPUwQTxPSXurCrcIov","Let Me Down Slowly","Narrated For You","Alec Benjamin",2018-11-16,169353,83,spotify:user:31hfwc6qspmamzk6jsulbu62wcnq,2022-07-14T00:54:54Z,"alt z,pop,pov: indie",0.652,0.557,1,-5.714,0,0.0318,0.74,0,0.124,0.483,150.073,4
1K2RnVhm3eauKnA8PAcPu1,"4yvcSjfu4PC0CYQyLy4wSq","Heat Waves - Slowed","Heat Waves (Expansion Pack)","Glass Animals",2021-03-21,262248,65,spotify:user:31hfwc6qspmamzk6jsulbu62wcnq,2022-06-30T08:16:32Z,"gauze pop,indietronica,modern rock,pov: indie,shiver pop",0.633,0.55,9,-9.965,1,0.0924,0.649,0.000363,0.147,0.333,147.099,4
58HvfVOeJY7lUuCqF0m3ly,"67MNhiAICFY6Pwc2YxCO0K","MIDDLE OF THE NIGHT","MIDDLE OF THE NIGHT","Elley Duhé",2020-01-10,184447,76,spotify:user:31hfwc6qspmamzk6jsulbu62wcnq,2022-06-30T08:16:44Z,"alt z",0.41,0.611,4,-8.271,0,0.0467,0.0228,0,0.116,0.0899,185.727,3
2QjOHCTQ1Jl3zawyYOpxh6,"77SW9BnxLY8rJ0RciFqkHh","Sweater Weather","I Love You.","The Neighbourhood",2013-04-19,240400,90,spotify:user:31hfwc6qspmamzk6jsulbu62wcnq,2023-10-05T16:57:23Z,"modern alternative rock,modern rock,pop",0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,4
1SOClUWhOi8vHZYMz3GluK,"6QrQ7OrISRYIfS5mtacaw2","Infinity","Feel Something","Jaymes Young",2017-06-23,237720,78,spotify:user:31hfwc6qspmamzk6jsulbu62wcnq,2022-06-30T08:16:37Z,"",0.671,0.673,11,-6.941,0,0.0444,0.148,0.0000529,0.304,0.494,121.963,4
27OeeYzk6klgBh83TSvGMA,"2tIP7SsRs7vjIcLrU85W8J","WITHOUT YOU","F*CK LOVE (SAVAGE)","The Kid LAROI",2020-11-06,161384,4,spotify:user:31hfwc6qspmamzk6jsulbu62wcnq,2022-06-30T08:23:00Z,"australian hip hop",0.662,0.413,0,-7.357,1,0.0299,0.213,0,0.134,0.467,93.005,4
7lQ8MOhq6IN2w8EYcFNSUk,"7dGJo4pcD2V6oG8kP0tJRR","Without Me","The Eminem Show","Eminem",2002-05-26,290320,87,spotify:user:31hfwc6qspmamzk6jsulbu62wcnq,2023-10-14T15:32:01Z,"detroit hip hop,hip hop,rap",0.908,0.669,7,-2.827,1,0.0738,0.00286,0,0.237,0.662,112.238,4
