Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3U4isOIWM3VvDubwSI3y7a,"5y2Xq6xcjJb2jVM54GHK3t","All of Me","Love In The Future (Expanded Edition)","John Legend",2013-08-30,269560,83,spotify:user:31yfzkk5edis6qrmwzqsnf4yovo4,2020-06-17T07:31:31Z,"neo soul,pop,pop soul,urban contemporary",0.422,0.264,8,-7.064,1,0.0322,0.922,0,0.132,0.331,119.93,4
2kJwzbxV2ppxnQoYw4GLBZ,"66W9LaWS0DPdL7Sz8iYGYe,0ZED1XzwlLHW4ZaG4lOT6m","If the World Was Ending (feat. Julia Michaels)","If the World Was Ending (feat. Julia Michaels)","JP Saxe,Julia Michaels",2019-10-17,208687,73,spotify:user:31yfzkk5edis6qrmwzqsnf4yovo4,2020-06-17T07:32:04Z,"alt z,canadian contemporary r&b,singer-songwriter pop,pop",0.464,0.473,1,-10.086,1,0.129,0.866,0,0.109,0.604,75.801,4
0afhq8XCExXpqazXczTSve,"6eUKZXaKkcviH0Ku9w2n3V","Galway Girl","÷ (Deluxe)","Ed Sheeran",2017-03-03,170826,76,spotify:user:31yfzkk5edis6qrmwzqsnf4yovo4,2020-06-17T07:32:14Z,"pop,singer-songwriter pop,uk pop",0.624,0.876,9,-3.374,1,0.1,0.0735,0,0.327,0.781,99.943,4
0tgVpDi06FyKpA1z0VMD4v,"6eUKZXaKkcviH0Ku9w2n3V","Perfect","÷ (Deluxe)","Ed Sheeran",2017-03-03,263400,85,spotify:user:31yfzkk5edis6qrmwzqsnf4yovo4,2020-06-17T07:32:23Z,"pop,singer-songwriter pop,uk pop",0.599,0.448,8,-6.312,1,0.0232,0.163,0,0.106,0.168,95.05,3
1HNkqx9Ahdgi1Ixy2xkKkL,"6eUKZXaKkcviH0Ku9w2n3V","Photograph","x (Deluxe Edition)","Ed Sheeran",2014-06-21,258986,82,spotify:user:31yfzkk5edis6qrmwzqsnf4yovo4,2020-06-17T07:32:32Z,"pop,singer-songwriter pop,uk pop",0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989,4
34gCuhDGsG4bRPIf9bb02f,"6eUKZXaKkcviH0Ku9w2n3V","Thinking out Loud","x (Deluxe Edition)","Ed Sheeran",2014-06-21,281560,80,spotify:user:31yfzkk5edis6qrmwzqsnf4yovo4,2020-06-17T07:32:40Z,"pop,singer-songwriter pop,uk pop",0.781,0.445,2,-6.061,1,0.0295,0.474,0,0.184,0.591,78.998,4
3cqPu20DGTGUoZtbJH2Dmi,"4rTv3Ejc7hKMtmoBOK1B4T","What If I Told You That I Love You","What If I Told You That I Love You","Ali Gatie",2020-01-24,193667,56,spotify:user:31yfzkk5edis6qrmwzqsnf4yovo4,2020-06-17T07:33:21Z,"canadian hip hop",0.596,0.366,7,-11.144,1,0.115,0.63,0.00000704,0.0554,0.229,84.394,4
6guIpm21zTdOTtIRsXFQBV,"3NR7hAacOhmcztWvD7vJfS","Often","Often","Sickick",2020-02-08,186514,0,spotify:user:31yfzkk5edis6qrmwzqsnf4yovo4,2020-06-17T07:33:59Z,"bass trap",0.853,0.643,5,-6.2,0,0.0663,0.477,0,0.104,0.914,129.979,4
2wrJq5XKLnmhRXHIAf9xBa,"7z5WFjZAIYejWy0NI5lv4T,1uNFoZAHBGtllmzznpCI3s","10,000 Hours (with Justin Bieber)","10,000 Hours (with Justin Bieber)","Dan + Shay,Justin Bieber",2019-10-04,167693,71,spotify:user:31yfzkk5edis6qrmwzqsnf4yovo4,2020-06-17T07:34:10Z,"contemporary country,country,country road,canadian pop,pop",0.654,0.63,10,-4.644,1,0.0259,0.153,0,0.111,0.43,89.991,4
2dpaYNEQHiRxtZbfNsse99,"64KEffDW9EtZ1y2vBYgq8T,7EQ0qTo7fWT7DPxmxtSYEc","Happier","Happier","Marshmello,Bastille",2018-08-17,214289,16,spotify:user:31yfzkk5edis6qrmwzqsnf4yovo4,2020-06-17T07:34:16Z,"brostep,edm,pop,progressive electro house,metropopolis,modern rock",0.687,0.792,5,-2.749,1,0.0452,0.191,0,0.167,0.671,100.011,4
