Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
45BBlVHECwB0uNt7BsJ97r,"1AbJ2cmwK400LSvdvBL5Jc","Mrs Magic","Mrs Magic","Strawberry Guy",2019-07-22,208500,0,spotify:user:odrpgq946ier5ckyx1ijqpvdz,2023-01-17T20:55:39Z,"bedroom pop",0.477,0.629,5,-7.408,0,0.0315,0.159,0.44,0.374,0.357,132.535,4
3AVrVz5rK8Hrqo9YGiVGN5,"1QAJqy2dA3ihHBFIHRphZj","Apocalypse","Cigarettes After Sex","Cigarettes After Sex",2017-06-09,290146,10,spotify:user:odrpgq946ier5ckyx1ijqpvdz,2023-01-18T09:20:37Z,"ambient pop,dream pop,el paso indie,shoegaze",0.369,0.467,5,-9.018,1,0.0274,0.0194,0.46,0.109,0.174,94.473,4
6IPwKM3fUUzlElbvKw2sKl,"3uwAm6vQy7kWPS2bciKWx9","we fell in love in october","we fell in love in october / October Passed Me By","girl in red",2018-11-21,184153,81,spotify:user:odrpgq946ier5ckyx1ijqpvdz,2023-01-19T07:28:52Z,"bedroom pop,indie pop,norwegian indie,pov: indie",0.566,0.366,7,-12.808,1,0.028,0.113,0.181,0.155,0.237,129.96,4
2JN3ugW1cEahbYw0I5mw5U,"4Uc8Dsxct0oMqx0P6i60ea","Astronomy","Superache","Conan Gray",2022-06-24,243907,71,spotify:user:odrpgq946ier5ckyx1ijqpvdz,2023-01-17T21:04:06Z,"bedroom pop,pop,pov: indie",0.474,0.343,4,-8.571,0,0.027,0.578,0.0000265,0.305,0.152,145.115,3
7IL8PSVwLOJxqYne6azxQv,"77SW9BnxLY8rJ0RciFqkHh","Pretty Boy","Chip Chrome & The Mono-Tones","The Neighbourhood",2020-09-25,234093,72,spotify:user:odrpgq946ier5ckyx1ijqpvdz,2023-01-18T09:34:06Z,"modern alternative rock,modern rock,pop",0.578,0.386,6,-11.464,1,0.0278,0.208,0.0453,0.307,0.569,154.902,4
3VSYkAf6f46i5ZkXOHORq1,"1QAJqy2dA3ihHBFIHRphZj","Sweet","Cigarettes After Sex","Cigarettes After Sex",2017-06-09,291640,4,spotify:user:odrpgq946ier5ckyx1ijqpvdz,2023-01-18T09:34:26Z,"ambient pop,dream pop,el paso indie,shoegaze",0.448,0.511,6,-9.084,1,0.0274,0.362,0.823,0.129,0.112,96.321,4
0JIMT9gzLIIz0esKLyjbKf,"0U7iI0Dk4Ojvi17nZboNO4","Telephones","Changes","Vacations",2018,212432,78,spotify:user:odrpgq946ier5ckyx1ijqpvdz,2023-01-18T09:35:40Z,"newcastle nsw indie,pov: indie",0.526,0.447,2,-9.268,1,0.0274,0.00283,0.0301,0.109,0.183,74.995,4
6F5mZpEEjhsAW8UEqbIpz1,"35l9BRT7MXmM8bv2WDQiyB","Tired","Patched Up","beabadoobee",2018-12-07,199514,69,spotify:user:odrpgq946ier5ckyx1ijqpvdz,2023-01-18T09:57:21Z,"bedroom pop,bubblegrunge,indie pop,pov: indie",0.63,0.418,7,-7.111,0,0.0254,0.483,0.15,0.111,0.345,140.037,4
51Grh1RyUDcMBbpuyUIUHI,"5zVu34ozw0BzXIcNHqkO0u","rises the moon","recently","Liana Flores",2019-04-10,161929,80,spotify:user:odrpgq946ier5ckyx1ijqpvdz,2023-01-18T09:57:31Z,"pov: indie",0.483,0.129,5,-20.149,0,0.0349,0.947,0.145,0.106,0.203,137.35,3
45ROR8UMn60YEVQnDy0uVF,"2hR4h1Cao2ueuI7Cx9c7V8","Juliet","Animal Kingdom","Cavetown",2019-04-12,278991,71,spotify:user:odrpgq946ier5ckyx1ijqpvdz,2023-01-18T10:01:53Z,"bedroom pop,indie pop,pov: indie",0.546,0.586,6,-8.488,1,0.0313,0.00346,0.00114,0.0562,0.364,131.778,4
32XaqPVTVkkuOiOPQZ3SpA,"3uwAm6vQy7kWPS2bciKWx9","midnight love","if i could make it go quiet","girl in red",2021-04-30,193928,65,spotify:user:odrpgq946ier5ckyx1ijqpvdz,2023-01-18T10:06:35Z,"bedroom pop,indie pop,norwegian indie,pov: indie",0.284,0.538,2,-9.894,0,0.0886,0.717,0.105,0.111,0.259,179.708,3
7H7NyZ3G075GqPx2evsfeb,"3Sz7ZnJQBIHsXLUSo0OQtM","Chamber Of Reflection","Salad Days","Mac DeMarco",2014-04-01,231723,78,spotify:user:odrpgq946ier5ckyx1ijqpvdz,2023-01-18T10:16:47Z,"edmonton indie,lo-fi indie,pov: indie,slacker rock",0.538,0.557,11,-8.678,1,0.0914,0.262,0.914,0.102,0.506,131.03,4
4EWBhKf1fOFnyMtUzACXEc,"7pbDxGE6nQSZVfiFdq9lOL","Pluto Projector","Pony","Rex Orange County",2019-10-25,267520,74,spotify:user:odrpgq946ier5ckyx1ijqpvdz,2023-01-18T09:34:49Z,"bedroom pop",0.379,0.219,5,-11.196,1,0.0307,0.707,0.000691,0.118,0.188,79.786,4
