Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3EPXxR3ImUwfayaurPi3cm,"3QSQFmccmX81fWCUSPTS7y","Be Alright","Be Alright","Dean Lewis",2018-06-29,196373,74,spotify:user:ulp83n0q7c84pyc2x865ksn86,2024-06-30T07:46:51Z,"australian pop,pop",0.553,0.586,11,-6.319,1,0.0362,0.697,0,0.0813,0.443,126.684,4
2uhEKg8kIzpdvz4gyy6x8W,"5schNIzWdI9gJ1QRK8SBnc","Only Love","Every Kingdom","Ben Howard",2011-01-01,249173,66,spotify:user:ulp83n0q7c84pyc2x865ksn86,2024-06-30T07:46:51Z,"british singer-songwriter,folk-pop,indie folk",0.547,0.486,8,-9.941,1,0.14,0.295,0.00143,0.119,0.338,80.338,4
1EzrEOXmMH3G43AXT1y7pA,"4phGZZrJZRo4ElhRtViYdl","I'm Yours","We Sing. We Dance. We Steal Things.","Jason Mraz",2008-05-12,242946,75,spotify:user:ulp83n0q7c84pyc2x865ksn86,2024-06-30T07:46:51Z,"acoustic pop,dance pop,neo mellow,pop",0.703,0.444,11,-9.331,1,0.0417,0.559,0,0.0973,0.712,150.96,4
4JGtRHnWyaNq7FIOZoBdPe,"11p2E654TTU8e0nZWBR4AL","Belong Together","Belong Together","Mark Ambor",2024-02-16,148317,31,spotify:user:ulp83n0q7c84pyc2x865ksn86,2024-06-30T07:46:51Z,"singer-songwriter pop",0.646,0.668,2,-5.203,1,0.0282,0.491,0,0.212,0.64,90.97,4
2bsC6KLZ6a9v6zdoDkziBL,"69tiO1fG8VWduDl3ji2qhI","Dirty Love","Mt. Joy","Mt. Joy",2018-03-02,164626,72,spotify:user:ulp83n0q7c84pyc2x865ksn86,2024-06-30T07:46:51Z,"pov: indie,stomp and holler",0.774,0.439,5,-7.612,0,0.0364,0.595,0.00127,0.109,0.661,125.088,4
2P3waYYVNz1MVeV0NlFJj5,"44GRwsM3LDG7zZqTUVbp60","you are, you are - demo","you are, you are (demo)","f. fin",2021-12-20,137142,0,spotify:user:ulp83n0q7c84pyc2x865ksn86,2024-06-30T07:46:51Z,"",0.839,0.279,1,-13.977,1,0.0612,0.373,0.0261,0.111,0.495,98.008,4
5ASXKBcnFeouRbWSkSgwkg,"4j96cMcT8GRi11qbvo1cLQ","The Other Side","The Other Side","Michael Marcagi",2023-12-11,164227,10,spotify:user:ulp83n0q7c84pyc2x865ksn86,2024-06-30T07:46:51Z,"",0.694,0.471,4,-9.972,1,0.0313,0.286,0,0.153,0.311,123.924,4
1Iq8oo9XkmmvCQiGOfORiz,"06HL4z0CvFAxyc27GXpf02","Is It Over Now? (Taylor's Version) (From The Vault)","1989 (Taylor's Version)","Taylor Swift",2023-10-26,229477,78,spotify:user:ulp83n0q7c84pyc2x865ksn86,2024-06-30T07:46:51Z,"pop",0.599,0.651,0,-7.343,1,0.035,0.0486,0,0.126,0.153,100.001,4
1k1Bqnv2R0uJXQN4u6LKYt,"1ThoqLcyIYvZn7iWbj8fsj","Ain't No Sunshine","Just As I Am","Bill Withers",1971-05-01,125093,83,spotify:user:ulp83n0q7c84pyc2x865ksn86,2024-06-30T07:46:51Z,"classic soul,funk,quiet storm,soul",0.527,0.415,4,-11.451,0,0.122,0.457,0.0000172,0.117,0.515,78.169,4
7zkLpY72g6lKQbiHDqri1S,"2Kx7MNY7cI1ENniW7vT30N","Sunrise","Feels Like Home","Norah Jones",2004-01-01,200626,74,spotify:user:ulp83n0q7c84pyc2x865ksn86,2024-06-30T07:46:51Z,"contemporary vocal jazz,jazz pop,neo mellow,vocal jazz",0.526,0.299,8,-13.797,1,0.031,0.941,0.097,0.106,0.679,156.848,4
6DhMH5rJUOELXAAorSAmTb,"5CMExZAo0ulJQEfbZEB45k","Stay (Oh Wait)","Stay (Oh Wait)","Oceans Ahead",2023-02-16,122181,45,spotify:user:ulp83n0q7c84pyc2x865ksn86,2024-06-30T07:46:51Z,"",0.825,0.308,8,-14.142,0,0.0417,0.676,0.665,0.138,0.382,109.958,4
0j2WBxWZnWti5TpSxjJvPb,"0hEurMDQu99nJRq8pTxO14","Love on the Weekend","Love on the Weekend","John Mayer",2016-11-17,212626,55,spotify:user:ulp83n0q7c84pyc2x865ksn86,2024-06-30T07:46:51Z,"neo mellow,singer-songwriter",0.729,0.546,7,-9.305,1,0.0285,0.547,0.00287,0.0651,0.406,119.941,4
0ElpbbncWT9aS7mgoqEHbQ,"6AyATGg7mDgBlZ4N5uNog0","Where's My Love - Acoustic","Where's My Love","SYML",2017-07-07,239880,72,spotify:user:ulp83n0q7c84pyc2x865ksn86,2024-06-30T07:46:51Z,"modern indie pop",0.554,0.225,3,-11.324,1,0.0281,0.892,0.0321,0.107,0.221,104.007,4
