Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3afkJSKX0EAMsJXTZnDXXJ,"3WGpXCj9YhhfX11TToZcXP","Strawberries & Cigarettes","Strawberries & Cigarettes","Troye Sivan",2018-03-16,201538,74,spotify:user:z564tvvapc49fr0rlkskqqkwy,2022-04-08T01:05:04Z,"australian pop,pop,viral pop",0.578,0.537,9,-8.676,1,0.0832,0.162,0,0.076,0.25,83.909,4
0kn2gu8Pd03DiYHzRvX2Xk,"4Uc8Dsxct0oMqx0P6i60ea","Wish You Were Sober","Kid Krow","Conan Gray",2020-03-20,168880,69,spotify:user:z564tvvapc49fr0rlkskqqkwy,2022-04-08T01:05:12Z,"bedroom pop,pop,pov: indie",0.701,0.728,2,-5.226,1,0.0468,0.0178,0,0.17,0.696,91.071,4
7hDVYcQq6MxkdJGweuCtl9,"6qqNVTkY8uBg9cP3Jd7DAH","ocean eyes","dont smile at me","Billie Eilish",2017-12-22,200379,82,spotify:user:z564tvvapc49fr0rlkskqqkwy,2022-04-08T01:05:25Z,"art pop,pop",0.511,0.363,4,-7.65,0,0.041,0.816,0.0317,0.084,0.169,144.892,4
1FWsomP9StpCcXNWmJk8Cl,"1QAJqy2dA3ihHBFIHRphZj","K.","Cigarettes After Sex","Cigarettes After Sex",2017-06-09,320030,81,spotify:user:z564tvvapc49fr0rlkskqqkwy,2022-04-08T01:06:39Z,"ambient pop,dream pop,el paso indie,shoegaze",0.454,0.401,3,-10.251,1,0.0264,0.14,0.837,0.136,0.319,93.703,4
5O2P9iiztwhomNh8xkR9lJ,"4AK6F7OLvEQ5QYCBNiQWHq","Night Changes","FOUR (Deluxe)","One Direction",2014-11-17,226600,86,spotify:user:z564tvvapc49fr0rlkskqqkwy,2022-04-08T01:06:54Z,"boy band,pop,post-teen pop,talent show",0.672,0.52,8,-7.747,1,0.0353,0.859,0,0.115,0.37,120.001,4
1NmVZsG18CzCAtw7rnV3yA,"06HL4z0CvFAxyc27GXpf02","Clean","1989 (Deluxe)","Taylor Swift",2014-01-01,271000,54,spotify:user:z564tvvapc49fr0rlkskqqkwy,2022-04-08T01:06:58Z,"pop",0.815,0.377,4,-7.754,1,0.0346,0.232,0,0.1,0.211,103.97,4
2RttW7RAu5nOAfq6YFvApB,"6eUKZXaKkcviH0Ku9w2n3V","Happier","÷ (Deluxe)","Ed Sheeran",2017-03-03,207520,74,spotify:user:z564tvvapc49fr0rlkskqqkwy,2022-04-08T01:07:12Z,"pop,singer-songwriter pop,uk pop",0.522,0.385,0,-7.355,1,0.0288,0.536,0,0.135,0.236,89.792,4
2P91MQbaiQOfbiz9VqhqKQ,"5JZ7CnR6gTvEMKX4g70Amv","I Like Me Better","I met you when I was 18. (the playlist)","Lauv",2018-05-31,197436,5,spotify:user:z564tvvapc49fr0rlkskqqkwy,2022-04-08T01:07:15Z,"pop",0.752,0.505,9,-7.621,1,0.253,0.535,0.00000255,0.104,0.419,91.97,4
2wrJq5XKLnmhRXHIAf9xBa,"7z5WFjZAIYejWy0NI5lv4T,1uNFoZAHBGtllmzznpCI3s","10,000 Hours (with Justin Bieber)","10,000 Hours (with Justin Bieber)","Dan + Shay,Justin Bieber",2019-10-04,167693,71,spotify:user:z564tvvapc49fr0rlkskqqkwy,2022-04-08T01:07:20Z,"contemporary country,country,country road,canadian pop,pop",0.654,0.63,10,-4.644,1,0.0259,0.153,0,0.111,0.43,89.991,4
4nVBt6MZDDP6tRVdQTgxJg,"4AK6F7OLvEQ5QYCBNiQWHq","Story of My Life","Midnight Memories (Deluxe)","One Direction",2013-11-25,245493,83,spotify:user:z564tvvapc49fr0rlkskqqkwy,2022-04-08T01:07:26Z,"boy band,pop,post-teen pop,talent show",0.6,0.663,3,-5.802,1,0.0477,0.225,0,0.119,0.286,121.07,4
4vjpLMyL3ZO6aphdYr8XYw,"5JZ7CnR6gTvEMKX4g70Amv,3WGpXCj9YhhfX11TToZcXP","i'm so tired...","~how i'm feeling~","Lauv,Troye Sivan",2020-03-06,162586,2,spotify:user:z564tvvapc49fr0rlkskqqkwy,2022-04-08T01:07:32Z,"pop,australian pop,viral pop",0.576,0.736,11,-7.572,1,0.224,0.178,0,0.238,0.484,101.928,4
3JfHYZKy5JmE5Fv4gDTCiz,"2jHp7gQArCQrlMvdrIVFCg","Welcome to Wonderland","Welcome to Wonderland","Anson Seabra",2018-04-20,199131,65,spotify:user:z564tvvapc49fr0rlkskqqkwy,2022-04-08T01:07:35Z,"alt z,gen z singer-songwriter",0.703,0.179,4,-10.906,1,0.0366,0.949,0,0.102,0.346,97.427,3
