"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2bL2gyO6kBdLkNSkxXNh6x","Animals","spotify:artist:04gDigrS5kc9YWfZHwBETP","Maroon 5","spotify:album:2Auw0pTT6EcQdvHNimhLQI","V","spotify:artist:04gDigrS5kc9YWfZHwBETP","Maroon 5","2014-09-02","https://i.scdn.co/image/ab67616d0000b273442b53773d50e1b5369bb16c","1","2","231013","https://p.scdn.co/mp3-preview/c630a46d6c96188dccf761c6f33f25a1c98ad9c1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","USUM71409576","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0QsvXIfqM0zZoerQfsI9lm","Don't Let Me Down","spotify:artist:69GGBxA162lTqCwzJG5jLp, spotify:artist:6Dd3NScHWwnW6obMFbl1BH","The Chainsmokers, Daya","spotify:album:3ShQFl9FladFKlonwPGZFc","The Chainsmokers- Japan Special Edition","spotify:artist:69GGBxA162lTqCwzJG5jLp","The Chainsmokers","2016-08-10","https://i.scdn.co/image/ab67616d0000b27308d87fb54859bc9038f7e5e0","1","6","208053","https://p.scdn.co/mp3-preview/4db7d84bd59065908dcbd9d8fa2d7b8f0e392359?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","USQX91600011","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2Zo1PcszsT9WQ0ANntJbID","Feather","spotify:artist:74KM79TiuVKeVCqs8QtB0B","Sabrina Carpenter","spotify:album:2g4aJTa5ejGpp0O0GKzWAQ","emails i can’t send fwd:","spotify:artist:74KM79TiuVKeVCqs8QtB0B","Sabrina Carpenter","2023-03-17","https://i.scdn.co/image/ab67616d0000b2730f45623be014a592a5815827","1","15","185552","https://p.scdn.co/mp3-preview/fda145d12a84306269e306b96f2837deecbd829d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","89","USUM72301876","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1vvNmPOiUuyCbgWmtc6yfm","My Way","spotify:artist:7CajNmpbOovFoOoasH2HaY","Calvin Harris","spotify:album:0dzeoQhVNzKkwM5ieOJC54","My Way","spotify:artist:7CajNmpbOovFoOoasH2HaY","Calvin Harris","2016-09-16","https://i.scdn.co/image/ab67616d0000b2738d12bc5e3ea5c9f4a967de32","1","1","219159","https://p.scdn.co/mp3-preview/ed8d125912048b01914f6e5861742bec125602e8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","GBARL1601358","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3yOlyBJuViE2YSGn3nVE1K","My Oh My (feat. DaBaby)","spotify:artist:4nDoRrQiYLoBzwC5BhVJzF, spotify:artist:4r63FhuTkUYltbVAg5TQnk","Camila Cabello, DaBaby","spotify:album:3Vsbl0diFGw8HNSjG8ue9m","Romance","spotify:artist:4nDoRrQiYLoBzwC5BhVJzF","Camila Cabello","2019-12-06","https://i.scdn.co/image/ab67616d0000b2735f53c0dbe5190a0af0fa28f3","1","4","170746","https://p.scdn.co/mp3-preview/ea3ba7014fbff5a201d98ddab8d94e13fe56bb16?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","USSM11914257","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1jEBSDN5vYViJQr78W7jr2","Light Switch","spotify:artist:6VuMaDnrHyPL1p4EHjYLi7","Charlie Puth","spotify:album:5Jk4Eg7pxYhDrWJCVVzmMt","CHARLIE","spotify:artist:6VuMaDnrHyPL1p4EHjYLi7","Charlie Puth","2022-10-06","https://i.scdn.co/image/ab67616d0000b27335d2e0ed94a934f2cc46fa49","1","3","187703","https://p.scdn.co/mp3-preview/135cce6ee2119c739643b3bbc15465623a60522c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","USAT22107359","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3eR23VReFzcdmS7TYCrhCe","It Ain't Me (with Selena Gomez)","spotify:artist:23fqKkggKUBHNkbKtXEls4, spotify:artist:0C8ZW7ezQVs4URX5aX7Kqx","Kygo, Selena Gomez","spotify:album:0IUCAsckpNyV4wHKIHQawC","It Ain't Me (with Selena Gomez)","spotify:artist:23fqKkggKUBHNkbKtXEls4, spotify:artist:0C8ZW7ezQVs4URX5aX7Kqx","Kygo, Selena Gomez","2017-02-16","https://i.scdn.co/image/ab67616d0000b27341f289940f2e6a0d51988d77","1","1","220780","https://p.scdn.co/mp3-preview/b78a834a199aaaff9f0b3025077b2ee302f4c701?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","SEBGA1700015","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6FE2iI43OZnszFLuLtvvmg","Classic","spotify:artist:2l35CQqtYRh3d8ZIiBep4v","MKTO","spotify:album:5IenxFp0vpnXBUxPcwJtbE","MKTO","spotify:artist:2l35CQqtYRh3d8ZIiBep4v","MKTO","2012","https://i.scdn.co/image/ab67616d0000b2739474419f15773875a495eed3","1","2","175426","https://p.scdn.co/mp3-preview/b70bf7449452275b0ecf5714bf069e06f1565b45?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","USSM11301446","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5nujrmhLynf4yMoMtj8AQF","Levitating (feat. DaBaby)","spotify:artist:6M2wZ9GZgrQXHCFfjv46we, spotify:artist:4r63FhuTkUYltbVAg5TQnk","Dua Lipa, DaBaby","spotify:album:5lKlFlReHOLShQKyRv6AL9","Future Nostalgia","spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Dua Lipa","2020-03-27","https://i.scdn.co/image/ab67616d0000b2732172b607853fa89cefa2beb4","1","12","203064","https://p.scdn.co/mp3-preview/6af6db91dba9103cca41d6d5225f6fe120fcfcd3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","GBAHT2000942","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4Ce37cRWvM1vIGGynKcs22","Starving","spotify:artist:5p7f24Rk5HkUZsaS3BLG5F, spotify:artist:4lDBihdpMlOalxy1jkUbPl, spotify:artist:2qxJFvFYMEDqd7ui6kSAcq","Hailee Steinfeld, Grey, Zedd","spotify:album:18pR217SWwBjODSRWFBw0I","Starving","spotify:artist:5p7f24Rk5HkUZsaS3BLG5F, spotify:artist:4lDBihdpMlOalxy1jkUbPl, spotify:artist:2qxJFvFYMEDqd7ui6kSAcq","Hailee Steinfeld, Grey, Zedd","2016-07-22","https://i.scdn.co/image/ab67616d0000b2730506a838892be6229dca857b","1","1","181880","https://p.scdn.co/mp3-preview/31f6e6cc0119be916f272b2fd2d59e7b262ccb4b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","USUM71606370","spotify:user:","1970-01-01T00:00:00Z"
