Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2Hh3ETdQKrmSI3QS0hme7g,"0iEtIxbK0KxaSlF7G42ZOp,1RyvyyTE3xzB2ZywiAwp0i,4Gso3d4CscCijv0lmajZWs","Too Many Nights (feat. Don Toliver & with Future)","HEROES & VILLAINS","Metro Boomin,Future,Don Toliver",2022-12-02,199920,84,spotify:user:dxilotq1zswro57an9qyfuys1,2023-12-09T23:58:26Z,"rap,atl hip hop,hip hop,southern hip hop,trap",0.573,0.668,7,-4.356,0,0.0467,0.189,0.0000401,0.109,0.145,87.973,4
68Dni7IE4VyPkTOH9mRWHr,"6l3HvQ5sa6mXTsMTB19rO5","No Role Modelz","2014 Forest Hills Drive","J. Cole",2014-12-09,292799,85,spotify:user:31vf6nxg36glzo74bv6alsof6xnq,2023-12-09T23:57:23Z,"conscious hip hop,hip hop,north carolina hip hop,rap",0.69,0.521,10,-8.492,0,0.339,0.324,0,0.0534,0.494,100.028,4
3F5CgOj3wFlRv51JsHbxhe,"3TVXtAsR1Inumwj472S9r4,1URnnhqYAYcrqrcwql10ft","Jimmy Cooks (feat. 21 Savage)","Honestly, Nevermind","Drake,21 Savage",2022-06-17,218364,82,spotify:user:dxilotq1zswro57an9qyfuys1,2023-12-09T23:54:00Z,"canadian hip hop,canadian pop,hip hop,pop rap,rap,atl hip hop",0.529,0.673,0,-4.711,1,0.175,0.000307,0.00000241,0.093,0.366,165.921,4
2FDTHlrBguDzQkp7PVj16Q,"6Ip8FS7vWT1uKkJSweANQK,5H4yInM5zmHqpKIoMNAx4r","Sprinter","Sprinter","Dave,Central Cee",2023-06-01,229133,83,spotify:user:dxilotq1zswro57an9qyfuys1,2023-12-09T23:51:33Z,"uk hip hop,melodic drill,r&drill",0.918,0.681,1,-4.705,1,0.201,0.263,0,0.0615,0.706,139.057,4
0PvFJmanyNQMseIFrU708S,"0eDvMgVFoNV3TpwtrVCoTj,5f7VJjfbwm532GiveGC0ZK,4r63FhuTkUYltbVAg5TQnk","For The Night (feat. Lil Baby & DaBaby)","Shoot For The Stars Aim For The Moon","Pop Smoke,Lil Baby,DaBaby",2020-07-03,190476,75,spotify:user:dxilotq1zswro57an9qyfuys1,2023-12-12T20:30:11Z,"brooklyn drill,hip hop,rap,atl hip hop,atl trap,trap,north carolina hip hop,pop rap",0.823,0.586,6,-6.606,0,0.2,0.114,0,0.193,0.347,125.971,4
7sO5G9EABYOXQKNPNiE9NR,"4DdkRBBYG6Yk9Ka8tdJ9BW,0iEtIxbK0KxaSlF7G42ZOp","Ric Flair Drip (with Metro Boomin)","Without Warning","Offset,Metro Boomin",2017-10-30,172800,84,spotify:user:dxilotq1zswro57an9qyfuys1,2023-12-09T23:51:53Z,"atl hip hop,hip hop,pop rap,rap,trap",0.88,0.428,9,-8.28,1,0.206,0.149,0.0000505,0.114,0.333,100.007,4
2XHzzp1j4IfTNp1FTn7YFg,"55Aa2cqylxrFIXC767Z865,3TVXtAsR1Inumwj472S9r4,1RyvyyTE3xzB2ZywiAwp0i","Love Me","I Am Not A Human Being II (Deluxe)","Lil Wayne,Drake,Future",2013-01-01,255053,81,spotify:user:dxilotq1zswro57an9qyfuys1,2023-12-09T23:52:17Z,"hip hop,new orleans rap,pop rap,rap,trap,canadian hip hop,canadian pop,atl hip hop,southern hip hop",0.67,0.634,11,-6.471,1,0.0326,0.0124,0,0.0946,0.497,124.926,4
1udwFobQ1JoOdWPQrp2b6u,"6U3ybJ9UHNKEdsH7ktGBZ7,1URnnhqYAYcrqrcwql10ft,3IJ21966TwNZI24MwZHMu4","Surround Sound (feat. 21 Savage & Baby Tate)","The Forever Story (Extended Version)","JID,21 Savage,Baby Tate",2022-10-31,229938,82,spotify:user:dxilotq1zswro57an9qyfuys1,2023-12-26T02:10:47Z,"hip hop,pop rap,rap,underground hip hop,atl hip hop,trap queen",0.574,0.567,7,-7.126,0,0.465,0.164,0,0.258,0.526,75.965,4
5SWnsxjhdcEDc7LJjq9UHk,"1URnnhqYAYcrqrcwql10ft,0iEtIxbK0KxaSlF7G42ZOp","Runnin","SAVAGE MODE II","21 Savage,Metro Boomin",2020-10-02,195906,81,spotify:user:dxilotq1zswro57an9qyfuys1,2023-12-09T23:51:57Z,"atl hip hop,hip hop,rap",0.819,0.626,10,-4.574,0,0.202,0.00748,0.101,0.167,0.415,143.01,4
1PS1QMdUqOal0ai3Gt7sDQ,"5K4W6rqBFWDnAN6FQUkS6x,7LnaAXbDVIL75IVPnndf7w","Gold Digger","Late Registration","Kanye West,Jamie Foxx",2005-08-30,207626,79,spotify:user:31vf6nxg36glzo74bv6alsof6xnq,2023-12-09T23:53:11Z,"chicago rap,hip hop,rap,contemporary r&b,hip pop,pop rap,r&b,southern hip hop,trap,urban contemporary",0.629,0.696,1,-5.572,0,0.348,0.0195,0,0.0554,0.623,93.034,4
3xby7fOyqmeON8jsnom0AT,"0Y5tJX1MQlPlqiwlOH1tJY,1zNqQNIdeOUZHb8zbZRFMX,15iVAtD3s3FsQR4w1v6M0P","Nightcrawler (feat. Swae Lee & Chief Keef)","Rodeo","Travis Scott,Swae Lee,Chief Keef",2015-09-04,321560,80,spotify:user:dxilotq1zswro57an9qyfuys1,2023-12-09T23:54:11Z,"rap,slap house,melodic rap,trap,chicago bop,chicago drill,chicago rap,drill,hip hop",0.522,0.731,3,-3.803,0,0.0325,0.0013,0,0.132,0.179,124.055,4
4ea9w8c4ROqiZpJVhfBA3m,"50co4Is1HCEo8bhOyUWKpn,0Y5tJX1MQlPlqiwlOH1tJY,2hlmm7s2ICUX0LVIhVFlZQ","Hot (Remix) [feat. Gunna and Travis Scott]","So Much Fun (Deluxe)","Young Thug,Travis Scott,Gunna",2019-12-20,279906,72,spotify:user:31vf6nxg36glzo74bv6alsof6xnq,2023-12-20T14:06:32Z,"atl hip hop,atl trap,gangster rap,melodic rap,rap,trap,slap house",0.845,0.631,7,-8.206,0,0.216,0.188,0,0.0806,0.545,111.983,4
