Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2qSkIjg1o9h3YT9RAgYN75,"74KM79TiuVKeVCqs8QtB0B","Espresso","Espresso","Sabrina Carpenter",2024-04-12,175459,100,spotify:user:gscrehckcjhxgdsfo08p7o79b,2024-05-09T06:05:10Z,"pop",0.701,0.76,0,-5.478,1,0.0285,0.107,0.0000654,0.185,0.69,103.969,4
6j8j39MtCnOYmEpKEgjoWB,"3hv9jJF3adDNsBSIQDqcjp,0du5cEVh5yTK9QJze8zA0C","Uptown Funk (feat. Bruno Mars)","Summer Songs","Mark Ronson,Bruno Mars",2022-05-20,269666,6,spotify:user:gscrehckcjhxgdsfo08p7o79b,2024-07-02T21:43:56Z,"pop soul,dance pop,pop",0.856,0.609,0,-7.223,1,0.0824,0.00801,0.0000815,0.0344,0.928,114.988,4
331l3xABO0HMr1Kkyh2LZq,"1Cs0zKBU1kc0i8ypK3B9ai,5Pwc4xIPtQLFEnJriah9YJ","I Don't Wanna Wait","I Don't Wanna Wait","David Guetta,OneRepublic",2024-04-05,149667,90,spotify:user:gscrehckcjhxgdsfo08p7o79b,2024-05-09T06:05:10Z,"big room,dance pop,edm,pop,pop dance,piano rock",0.681,0.714,1,-4.617,0,0.0309,0.0375,0,0.232,0.554,129.976,4
3jaDgrlpO8P4t50BuvLIPS,"3q7HBObVc0L8jNeTe5Gofh","In Da Club","SHADYXV","50 Cent",2014-11-24,193560,39,spotify:user:gscrehckcjhxgdsfo08p7o79b,2024-05-28T00:03:39Z,"east coast hip hop,gangster rap,hip hop,pop rap,queens hip hop,rap",0.907,0.668,1,-3.76,0,0.341,0.331,0,0.0922,0.82,90.026,4
7221xIgOnuakPdLqT0F3nP,"246dkjvS1zLTtiykXe5h60,4oUHIQIBe0LHzYfvXNW4QM","I Had Some Help (Feat. Morgan Wallen)","I Had Some Help","Post Malone,Morgan Wallen",2024-05-10,178205,96,spotify:user:gscrehckcjhxgdsfo08p7o79b,2024-06-14T22:49:17Z,"dfw rap,melodic rap,pop,rap,contemporary country",0.638,0.855,7,-4.86,1,0.0264,0.00757,0,0.245,0.731,127.986,4
0WtM2NBVQNNJLh6scP13H8,"46pWGuE3dSwY3bMMXGBvVS,0C8ZW7ezQVs4URX5aX7Kqx","Calm Down (with Selena Gomez)","Calm Down (with Selena Gomez)","Rema,Selena Gomez",2022-08-25,239317,81,spotify:user:gscrehckcjhxgdsfo08p7o79b,2024-07-02T21:43:56Z,"afrobeats,nigerian pop,pop,post-teen pop",0.801,0.806,11,-5.206,1,0.0381,0.382,0.000669,0.114,0.802,106.999,4
06wOQGz4bGB7HETrIjpIep,"7dGJo4pcD2V6oG8kP0tJRR","Without Me","The Eminem Show","Eminem",2002-05-26,290226,0,spotify:user:gscrehckcjhxgdsfo08p7o79b,2024-07-02T21:43:56Z,"detroit hip hop,hip hop,rap",0.915,0.656,7,-2.827,1,0.0716,0.00299,0,0.324,0.642,112.243,4
4Vvy29lp15NvfeqC8PAr6U,"2nMFC7hWK0haX8ilvRpb59","Love Again","Love Again","MIRA",2024-06-28,166800,35,spotify:user:gscrehckcjhxgdsfo08p7o79b,2024-07-02T21:43:56Z,"romanian pop",0.688,0.695,8,-5.634,1,0.0318,0.0855,0,0.101,0.6,149.989,4
3qKGvSu1inEZKwYQnMavNA,"0z4gvV4rjIZ9wHck67ucSV,7dGJo4pcD2V6oG8kP0tJRR","Smack That","Konvicted","Akon,Eminem",2006,212360,1,spotify:user:gscrehckcjhxgdsfo08p7o79b,2024-07-02T21:43:56Z,"dance pop,detroit hip hop,hip hop,rap",0.94,0.743,5,-5.166,0,0.0475,0.317,0,0.0909,0.932,118.988,4
6PLQwjmRMV9yNcNbj6YHSy,"2DlGxzQSjYe5N6G9nkYghR,0TnOYISbd1XYRBk9myaseg","On The Floor (Ven a Bailar)","Discoteca a Domicilio","Jennifer Lopez,Pitbull",2021-08-25,292186,1,spotify:user:gscrehckcjhxgdsfo08p7o79b,2023-08-08T04:17:59Z,"dance pop,pop,urban contemporary,miami hip hop",0.717,0.814,3,-4.638,0,0.0385,0.0759,0.00108,0.203,0.688,129.982,4
2YWjW3wwQIBLNhxWKBQd16,"738wLrAtLtCtFOLvQBXOXp,0bdfiayQAKewqEvaU6rXCv,540vIaP2JwjQb9dm3aArA4","Lean On (feat. MØ & DJ Snake)","Peace Is The Mission : Extended","Major Lazer,MØ,DJ Snake",2015-11-27,176561,80,spotify:user:gscrehckcjhxgdsfo08p7o79b,2022-10-03T07:49:01Z,"dance pop,edm,electro house,moombahton,pop,pop dance,danish pop,electropop,electronic trap",0.723,0.809,7,-3.081,0,0.0625,0.00346,0.00123,0.565,0.274,98.007,4
2GxrNKugF82CnoRFbQfzPf,"0PCCGZ0wGLizHt2KZ7hhA2","i like the way you kiss me","i like the way you kiss me","Artemas",2024-03-19,142514,95,spotify:user:gscrehckcjhxgdsfo08p7o79b,2024-04-20T23:00:46Z,"",0.599,0.946,11,-4.263,1,0.0447,0.000938,0.0106,0.0826,0.747,151.647,4
4cSp2hlUlAwgurjIqHN592,"2nMFC7hWK0haX8ilvRpb59","Ring Ring","Ring Ring","MIRA",2024-04-09,150588,58,spotify:user:gscrehckcjhxgdsfo08p7o79b,2024-04-11T00:01:54Z,"romanian pop",0.885,0.746,2,-3.476,0,0.0541,0.158,0,0.257,0.717,102.079,4
5aIVCx5tnk0ntmdiinnYvw,"3SozjO3Lat463tQICI9LcE","Water","Water","Tyla",2023-07-28,200255,87,spotify:user:gscrehckcjhxgdsfo08p7o79b,2023-10-23T03:30:58Z,"",0.673,0.722,3,-3.495,0,0.0755,0.0856,0,0.137,0.519,117.187,4
6X5Gcn44dNkNz5mGk3gXHB,"04gDigrS5kc9YWfZHwBETP","Sugar","Workout 2024","Maroon 5",2023-11-08,234826,43,spotify:user:gscrehckcjhxgdsfo08p7o79b,2024-07-02T21:43:56Z,"pop",0.748,0.76,1,-7.095,1,0.0349,0.05,0,0.0859,0.893,120.05,4
5ELFdgq1rv3uvDxCdrrOxI,"1HY2Jd0NmPuamShAr6KMms","Poker Face","2010 Best of by uDiscover","Lady Gaga",2023-08-19,238906,13,spotify:user:gscrehckcjhxgdsfo08p7o79b,2024-07-02T21:43:56Z,"art pop,dance pop,pop",0.851,0.818,4,-4.637,1,0.0789,0.112,0.00000294,0.0945,0.808,119.006,4
3ZFTkvIE7kyPt6Nu3PEa7V,"0EmeFodog0BfCgMzAIvKQp,7aBzpmFXB4WWpPl2F7RjBe","Hips Don't Lie (feat. Wyclef Jean)","Oral Fixation, Vol. 2 (Expanded Edition)","Shakira,Wyclef Jean",2005-11-28,218093,86,spotify:user:gscrehckcjhxgdsfo08p7o79b,2024-07-02T21:43:56Z,"colombian pop,dance pop,latin pop,pop,rap kreyol",0.778,0.824,10,-5.892,0,0.0707,0.284,0,0.405,0.758,100.024,4
4LZpY4NjgWwth4kHtRVIAY,"5Pwc4xIPtQLFEnJriah9YJ","I Ain't Worried","Wake up happy 2023 | Good Morning","OneRepublic",2023-08-21,148485,27,spotify:user:gscrehckcjhxgdsfo08p7o79b,2024-06-14T22:49:17Z,"piano rock,pop",0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,4
6y5w3KAcBQh9O0s8X1JIEy,"1uNFoZAHBGtllmzznpCI3s","Sorry","Love Like This","Justin Bieber",2023-08-24,200786,13,spotify:user:gscrehckcjhxgdsfo08p7o79b,2024-07-02T21:43:56Z,"canadian pop,pop",0.679,0.748,0,-3.624,0,0.0385,0.0878,0,0.299,0.438,100.035,4
5wtSei6pJpDEB1iKqPHhfU,"6M2wZ9GZgrQXHCFfjv46we","Houdini","Houdini","Dua Lipa",2023-11-10,185917,61,spotify:user:gscrehckcjhxgdsfo08p7o79b,2023-11-20T16:20:07Z,"dance pop,pop,uk pop",0.744,0.791,9,-4.878,0,0.0586,0.00368,0.00171,0.0944,0.872,116.981,4
0VjIjW4GlUZAMYd2vXMi3b,"1Xyo4u8uXC1ZmMpatF05PJ","Blinding Lights","After Hours","The Weeknd",2020-03-20,200040,88,spotify:user:gscrehckcjhxgdsfo08p7o79b,2024-07-02T21:43:56Z,"canadian contemporary r&b,canadian pop,pop",0.513,0.73,1,-5.94,1,0.0598,0.00143,0.0000954,0.0897,0.334,171.001,4
5RTtx4D4w29MlufofiIikv,"4iXfHZIKHblaqytMwQhHua,0BmLNz4nSLfoWYW1cYsElL","Bambola","Bambola","toka,Alexandra Stan",2024-05-10,148800,60,spotify:user:gscrehckcjhxgdsfo08p7o79b,2024-07-02T21:43:56Z,"romanian pop",0.834,0.821,0,-3.926,0,0.102,0.246,0.000182,0.101,0.618,126.027,4
0cqRj7pUJDkTCEsJkx8snD,"06HL4z0CvFAxyc27GXpf02","Shake It Off","1989 (Deluxe)","Taylor Swift",2014-01-01,219200,79,spotify:user:gscrehckcjhxgdsfo08p7o79b,2022-06-29T05:57:54Z,"pop",0.647,0.8,7,-5.384,1,0.165,0.0647,0,0.334,0.942,160.078,4
2hrUO4drrO63i7FYbCLBl2,"6MDME20pz9RveH9rEXvrOM,3Isy6kedDrgPYoTS1dazA9,1zNqDE7qDGCsyzJwohVaoX","Rockabye (feat. Sean Paul & Anne-Marie)","What Is Love? (Deluxe Edition)","Clean Bandit,Sean Paul,Anne-Marie",2018-11-30,251173,77,spotify:user:gscrehckcjhxgdsfo08p7o79b,2024-07-02T21:43:56Z,"pop,uk dance,uk funky,dance pop,dancehall,pop rap",0.717,0.73,9,-4.729,0,0.0568,0.383,0,0.398,0.792,102.002,4
1JsUAmsjNz6oGuRTFG93qH,"1l8Fu6IkuTP0U5QetQJ5Xt,7c0XG5cIJTrrAgEC3ULPiq","Work from Home (feat. Ty Dolla $ign)","7/27 (Deluxe)","Fifth Harmony,Ty Dolla $ign",2016-05-27,216575,55,spotify:user:gscrehckcjhxgdsfo08p7o79b,2022-06-29T05:57:53Z,"girl group,pop,talent show,hip hop,pop rap,r&b,southern hip hop,trap,trap soul",0.803,0.631,8,-4.213,1,0.0444,0.102,0.00000739,0.0858,0.659,104.999,4
3yfqSUWxFvZELEM4PmlwIR,"7dGJo4pcD2V6oG8kP0tJRR","The Real Slim Shady","The Marshall Mathers LP","Eminem",2000-05-23,284200,85,spotify:user:gscrehckcjhxgdsfo08p7o79b,2024-07-02T21:43:56Z,"detroit hip hop,hip hop,rap",0.949,0.661,5,-4.244,0,0.0572,0.0302,0,0.0454,0.76,104.504,4
545ffQzLmyqTYkUhaodJUv,"2nMFC7hWK0haX8ilvRpb59","Ladida","Ladida","MIRA",2024-04-17,183155,56,spotify:user:gscrehckcjhxgdsfo08p7o79b,2024-04-17T22:51:08Z,"romanian pop",0.817,0.759,11,-4.124,0,0.134,0.00986,0.000208,0.182,0.45,101.975,4
7yZcC4JIdQkXKaigJxrKSn,"2tIP7SsRs7vjIcLrU85W8J,1uNFoZAHBGtllmzznpCI3s","STAY (with Justin Bieber)","F*CK LOVE 3+: OVER YOU","The Kid LAROI,Justin Bieber",2021-07-27,141805,42,spotify:user:gscrehckcjhxgdsfo08p7o79b,2024-05-09T06:05:10Z,"australian hip hop,canadian pop,pop",0.585,0.794,1,-5.518,1,0.0521,0.0356,0,0.104,0.477,169.965,4
1rrqJ9QkOBYJlsZgqqwxgB,"3ZpEKRjHaHANcpk10u6Ntq","Rush","Rush","Ayra Starr",2022-09-16,185093,71,spotify:user:gscrehckcjhxgdsfo08p7o79b,2023-06-09T02:34:45Z,"afrobeats,azontobeats",0.792,0.503,1,-8.044,1,0.0626,0.0369,0.00057,0.0959,0.381,99.97,4
0SiywuOBRcynK0uKGWdCnn,"1HY2Jd0NmPuamShAr6KMms","Bad Romance","The Fame Monster (Deluxe Edition)","Lady Gaga",2009-11-05,294573,82,spotify:user:gscrehckcjhxgdsfo08p7o79b,2024-07-02T21:43:56Z,"art pop,dance pop,pop",0.695,0.921,0,-3.752,1,0.0363,0.00314,0.0000526,0.0842,0.714,119.007,4
5YOURFjedUJNr95teye8aN,"5Y5TRrQiqgUO4S36tzjIRZ,63wjoROpeh5f11Qm93UiJ1,4TLCPR1sMYoNU1jA7O4uww","The Way I Are","Love Like This","Timbaland,Keri Hilson,D.O.E.",2023-08-24,179280,16,spotify:user:gscrehckcjhxgdsfo08p7o79b,2024-06-14T22:49:17Z,"dance pop,pop,pop rap,hip pop,r&b,urban contemporary",0.73,0.807,3,-6.475,0,0.114,0.179,0.722,0.28,0.727,114.715,4
3lT8VPTKd1Jlztq6IZNIcf,"2nMFC7hWK0haX8ilvRpb59","Duro","Duro","MIRA",2024-04-12,167294,55,spotify:user:gscrehckcjhxgdsfo08p7o79b,2024-04-12T23:19:39Z,"romanian pop",0.804,0.801,1,-4.204,0,0.132,0.361,0.00226,0.103,0.808,169.941,4
2U2exOKj5byYSFhCmQt5EO,"5LHRHt1k9lMyONurDHEdrp,4DdkRBBYG6Yk9Ka8tdJ9BW","Taste (feat. Offset)","Legendary","Tyga,Offset",2019-06-06,229127,25,spotify:user:gscrehckcjhxgdsfo08p7o79b,2024-05-09T06:05:10Z,"hip hop,pop rap,rap,southern hip hop,trap,atl hip hop",0.87,0.593,0,-6.516,1,0.116,0.0354,0,0.104,0.334,97.985,4
1lDVe4BocsdJ8AB8QKMBtm,"3Isy6kedDrgPYoTS1dazA9,6M2wZ9GZgrQXHCFfjv46we","No Lie","Mix: Un Poco de Todo","Sean Paul,Dua Lipa",2023-10-27,221176,33,spotify:user:gscrehckcjhxgdsfo08p7o79b,2024-07-02T21:43:56Z,"dance pop,dancehall,pop,pop rap,uk pop",0.742,0.883,7,-2.862,1,0.118,0.0468,0,0.206,0.464,102.044,4
7rIhVsWn8W82shpRiPDrXc,"0TnOYISbd1XYRBk9myaseg,4D75GcNG95ebPtNvoNVXhz,21E3waRsmPlU7jZsS13rcj,1ruutHJcECI7cos2n5TqpO","Give Me Everything (feat. Nayer)","Greatest Hits","Pitbull,AFROJACK,Ne-Yo,Nayer",2017-12-01,252880,60,spotify:user:gscrehckcjhxgdsfo08p7o79b,2024-07-02T21:43:56Z,"dance pop,miami hip hop,pop,big room,dutch house,edm,electro house,pop dance,progressive electro house,r&b,urban contemporary,deep dance pop",0.67,0.939,3,-3.209,1,0.161,0.191,0,0.295,0.532,129.017,4
421leiR6jKlH5KDdwLYrOs,"2NjfBq1NflQcKSeiDooVjY","Dance Monkey","Dance Monkey","Tones And I",2019-05-10,209754,0,spotify:user:gscrehckcjhxgdsfo08p7o79b,2024-07-02T21:43:56Z,"australian pop",0.824,0.592,6,-6.4,0,0.0969,0.693,0.000158,0.178,0.54,98.074,4
6YFwGUryBKKhJ7s7rZWix0,"2nMFC7hWK0haX8ilvRpb59","Bad Booty","Bad Booty","MIRA",2024-03-15,153947,54,spotify:user:gscrehckcjhxgdsfo08p7o79b,2024-03-16T01:19:56Z,"romanian pop",0.663,0.658,3,-7.342,0,0.0535,0.00269,0.000519,0.467,0.314,120.074,4
7a86XRg84qjasly9f6bPSD,"5nCi3BB41mBaMH9gfr6Su0,6ueGR6SWhUJfvEhqkvMsVs","We Are Young (feat. Janelle Monáe)","Some Nights","fun.,Janelle Monáe",2012-02-21,250626,72,spotify:user:gscrehckcjhxgdsfo08p7o79b,2024-07-02T21:43:56Z,"baroque pop,metropopolis,neo mellow,afrofuturism,alternative r&b,atl hip hop,neo soul,r&b",0.378,0.638,10,-5.576,1,0.075,0.02,0.0000766,0.0849,0.735,184.086,4
629DixmZGHc7ILtEntuiWE,"6qqNVTkY8uBg9cP3Jd7DAH","LUNCH","HIT ME HARD AND SOFT","Billie Eilish",2024-05-17,179586,95,spotify:user:gscrehckcjhxgdsfo08p7o79b,2024-06-14T22:49:17Z,"art pop,pop",0.893,0.4,11,-7.981,0,0.0643,0.0452,0.0823,0.0632,0.945,124.987,4
6LiN9VDLg1Ch7EeAQPDyjE,"6sFIWsNpZYqfjUpaCgueju","Call Me Maybe","新年あけましておめでとう！２０２４","Carly Rae Jepsen",2023-12-29,193146,16,spotify:user:gscrehckcjhxgdsfo08p7o79b,2024-07-02T21:43:56Z,"canadian pop,dance pop,pop",0.772,0.6,7,-6.253,1,0.0403,0.0126,0,0.109,0.644,120.026,4
0azC730Exh71aQlOt9Zj3y,"7CajNmpbOovFoOoasH2HaY,5pKCCKE2ajJHZ9KAiaK11H","This Is What You Came For","This Is What You Came For","Calvin Harris,Rihanna",2016-04-29,222160,85,spotify:user:gscrehckcjhxgdsfo08p7o79b,2022-06-29T05:57:54Z,"dance pop,edm,electro house,house,pop,pop dance,progressive house,uk dance,barbadian pop,urban contemporary",0.631,0.927,9,-2.787,0,0.0332,0.199,0.119,0.148,0.465,123.962,4
6uIu54tY9Rjwrwk47RxqK9,"2nMFC7hWK0haX8ilvRpb59","Come With Me","Come With Me","MIRA",2023-06-15,168701,58,spotify:user:gscrehckcjhxgdsfo08p7o79b,2023-10-27T02:23:18Z,"romanian pop",0.769,0.724,3,-7.529,0,0.0575,0.0524,0.00000171,0.148,0.534,115.045,4
2vh70rAzk0XZ9XqPve6tjY,"6M2wZ9GZgrQXHCFfjv46we","New Rules","greatest driving songs: pop","Dua Lipa",2023-08-25,209320,13,spotify:user:gscrehckcjhxgdsfo08p7o79b,2024-07-02T21:43:56Z,"dance pop,pop,uk pop",0.762,0.7,9,-6.021,0,0.0694,0.00265,0.0000155,0.153,0.608,116.078,4
6JV2JOEocMgcZxYSZelKcc,"31TPClRtHm23RisEBtV3X7","CAN'T STOP THE FEELING! (from DreamWorks Animation's TROLLS)","CAN'T STOP THE FEELING! (from DreamWorks Animation's TROLLS)","Justin Timberlake",2016-05-06,236001,76,spotify:user:gscrehckcjhxgdsfo08p7o79b,2022-06-29T05:57:53Z,"dance pop,pop",0.666,0.83,0,-5.715,1,0.0751,0.0123,0,0.191,0.702,113.03,4
4vlD0WBhPOmTafcKIDFwKR,"58lV9VcRSjABbAbfWS6skp","It's My Life","Love Like This","Bon Jovi",2023-08-24,224600,1,spotify:user:gscrehckcjhxgdsfo08p7o79b,2024-07-02T21:43:56Z,"glam metal,rock",0.549,0.937,0,-3.109,0,0.0472,0.0245,0.0000295,0.362,0.573,120.001,4
4b93D55xv3YCH5mT4p6HPn,"61lyPtntblHJvA7FMMhi7E","Ocean Drive","Duality","Duke Dumont",2020-04-17,206320,73,spotify:user:gscrehckcjhxgdsfo08p7o79b,2024-06-14T22:49:17Z,"edm,house,pop dance,progressive house,uk dance",0.67,0.776,8,-4.091,0,0.047,0.00388,0.000184,0.122,0.624,115.034,4
3JS7J6oVQnjN0pE3Dyv8qi,"0TmLIfQje5MdX2ovu4yQKz","Summer's Gone","Summer's Gone","Monoir",2024-03-22,152827,54,spotify:user:gscrehckcjhxgdsfo08p7o79b,2024-04-12T23:19:39Z,"romanian pop",0.858,0.782,9,-3.569,1,0.0474,0.00568,0.0117,0.148,0.185,127.967,4
01qFKNWq73UfEslI0GvumE,"6HaGTQPmzraVmaVxvz6EUc,2LIk90788K0zvyj2JJVwkJ","3D (feat. Jack Harlow)","3D : The Remixes","Jung Kook,Jack Harlow",2023-10-02,201812,79,spotify:user:gscrehckcjhxgdsfo08p7o79b,2023-10-23T03:30:58Z,"k-pop,deep underground hip hop,hip hop,kentucky hip hop,pop rap,rap",0.853,0.824,1,-3.287,1,0.103,0.0322,0,0.0859,0.888,108.044,4
4IIUaKqGMElZ3rGtuvYlNc,"0QHgL1lAIqAw0HtD7YldmP,5pKCCKE2ajJHZ9KAiaK11H,2EMAnMvWE2eb56ToJVfCWs","Wild Thoughts","Wild Thoughts","DJ Khaled,Rihanna,Bryson Tiller",2017-06-16,204664,0,spotify:user:gscrehckcjhxgdsfo08p7o79b,2024-05-09T06:05:10Z,"hip hop,miami hip hop,pop rap,rap,barbadian pop,pop,urban contemporary,kentucky hip hop,r&b",0.613,0.681,8,-3.089,1,0.0778,0.0287,0,0.126,0.619,97.621,4
1dNIEtp7AY3oDAKCGg2XkH,"69GGBxA162lTqCwzJG5jLp,4gzpq5DPGxSnKTe4SA8HAU","Something Just Like This","Something Just Like This","The Chainsmokers,Coldplay",2017-02-22,247626,71,spotify:user:gscrehckcjhxgdsfo08p7o79b,2022-11-25T10:14:20Z,"pop,permanent wave",0.607,0.649,11,-6.695,0,0.0362,0.0306,0.0000246,0.174,0.505,102.996,4
2NoaaRL9Pe8scI91PJ3PD5,"6wPhSqRtPu1UhRCDX5yaDJ,7hJcb9fa4alzcOq3EaNPoG","Buttons - Final Edit Version","Buttons (International Version)","The Pussycat Dolls,Snoop Dogg",2006-01-01,233186,0,spotify:user:gscrehckcjhxgdsfo08p7o79b,2022-06-29T05:57:54Z,"dance pop,girl group,pop,g funk,gangster rap,hip hop,pop rap,rap,west coast rap",0.478,0.829,11,-4.222,0,0.378,0.206,0,0.255,0.506,210.796,4
4OLMKKgfAeCMcYejzEp1AR,"1OGcSkczXACMj923TQUizv","Shades of Blue","Shades of Blue","Féa",2023-11-03,189994,54,spotify:user:gscrehckcjhxgdsfo08p7o79b,2024-04-01T23:59:38Z,"",0.798,0.799,7,-4.397,0,0.0543,0.00373,0.0000211,0.329,0.647,116.027,4
2JLOfimYVJM2m1xTkc5v4u,"7n2wHs1TKAczGzO7Dd2rGr","There's Nothing Holdin' Me Back","2017 Best of by uDiscover","Shawn Mendes",2023-08-26,199440,7,spotify:user:gscrehckcjhxgdsfo08p7o79b,2024-07-02T21:43:56Z,"canadian pop,pop,viral pop",0.866,0.811,11,-4.063,0,0.0553,0.375,0,0.078,0.969,121.995,4
4ZYI8nyFvBIqVErTkgygVJ,"1vCWHaC5f2uS3yhpwWbIA6","Waiting For Love","Electro Momento","Avicii",2023-08-25,232880,1,spotify:user:gscrehckcjhxgdsfo08p7o79b,2024-07-02T21:43:56Z,"dance pop,edm,pop,pop dance",0.598,0.688,6,-4.147,0,0.0615,0.276,0,0.559,0.651,128.007,4
2ZOe1j5URR6IUbB3aZfaOC,"1Cs0zKBU1kc0i8ypK3B9ai,64M6ah0SkkRsnPGtGiRAbb","I’m Good (Blue)","Jogging - Uptempo Hits for your Running Experience - 2023","David Guetta,Bebe Rexha",2023-08-18,175238,0,spotify:user:gscrehckcjhxgdsfo08p7o79b,2024-06-14T22:49:17Z,"big room,dance pop,edm,pop,pop dance",0.561,0.965,7,-3.673,0,0.0343,0.00383,0.00000707,0.371,0.304,128.04,4
1HSUj2ZMNZIdKjqLjX5YrE,"1yxSLGMDHlW21z4YXirZDS","I Gotta Feeling","Silvester 2023/24","Black Eyed Peas",2023-11-08,289493,0,spotify:user:gscrehckcjhxgdsfo08p7o79b,2024-07-02T21:43:56Z,"dance pop,pop,pop rap",0.746,0.793,0,-5.725,1,0.0265,0.0519,0,0.421,0.656,127.973,4
3Y7TkKyrIe8UvRZRzCkc7X,"6y739LjfyfFdKW998I7PAm,7oOfZSYouCcyk13dNrOpiX,0Mj28B7EnKRpq7SzirqvNy,1NC5UXrIWNEj6zQ46obvkq","Undress Your Soul","Undress Your Soul","Glitter Dream,Alex Parker,Ciresan,SBSTN",2024-04-26,171864,55,spotify:user:gscrehckcjhxgdsfo08p7o79b,2024-04-30T20:17:49Z,"romanian pop",0.787,0.714,5,-6.282,0,0.106,0.216,0.00792,0.183,0.557,117.968,4
4h8VwCb1MTGoLKueQ1WgbD,"1vCWHaC5f2uS3yhpwWbIA6","Wake Me Up","True","Avicii",2013-09-13,247426,2,spotify:user:gscrehckcjhxgdsfo08p7o79b,2024-06-14T22:49:17Z,"dance pop,edm,pop,pop dance",0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,4
0KKkJNfGyhkQ5aFogxQAPU,"0du5cEVh5yTK9QJze8zA0C","That's What I Like","24K Magic","Bruno Mars",2016-11-17,206693,84,spotify:user:gscrehckcjhxgdsfo08p7o79b,2024-07-02T21:43:56Z,"dance pop,pop",0.853,0.56,1,-4.961,1,0.0406,0.013,0,0.0944,0.86,134.066,4
4pLwZjInHj3SimIyN9SnOz,"66CXWjxzNUsdJxJ2JdwvnR,0hCNtLu0JehylgoiP8L4Gh","Side To Side","Dangerous Woman","Ariana Grande,Nicki Minaj",2016-05-20,226160,0,spotify:user:gscrehckcjhxgdsfo08p7o79b,2022-06-29T05:57:54Z,"pop,hip pop,queens hip hop,rap",0.648,0.738,6,-5.883,0,0.247,0.0408,0,0.292,0.603,159.145,4
59xD5osEFsaNt5PXfIKUnX,"6M2wZ9GZgrQXHCFfjv46we","Illusion","Illusion","Dua Lipa",2024-04-11,188143,80,spotify:user:gscrehckcjhxgdsfo08p7o79b,2024-04-20T23:00:46Z,"dance pop,pop,uk pop",0.677,0.763,8,-4.701,0,0.0471,0.0235,0.00000204,0.0894,0.719,126.962,4
6Jmv3gl8m6hp2bxgg3ex6i,"2nMFC7hWK0haX8ilvRpb59","Ring, Ring - Remix","Ring, Ring (Remix)","MIRA",2024-05-08,143571,53,spotify:user:gscrehckcjhxgdsfo08p7o79b,2024-05-09T23:13:01Z,"romanian pop",0.85,0.855,2,-3.336,0,0.0491,0.106,0.00000112,0.211,0.931,97.988,4
5X0PZvzuHckkuXgsUTIiUg,"3sgFRtyBnxXD5ESfmbK4dl,2jLE4BoXHriQ96JagEtiDP,53sIBaVjXQhfH89Vu6nEGh","Party Rock Anthem","Mix: Un Poco de Todo","LMFAO,Lauren Bennett,GoonRock",2023-10-27,264146,30,spotify:user:gscrehckcjhxgdsfo08p7o79b,2024-06-14T22:49:17Z,"dance pop,pop,pop rap",0.744,0.733,5,-4.061,0,0.141,0.019,0,0.26,0.34,130.012,4
