Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4y5bvROuBDPr5fuwXbIBZR,"06HL4z0CvFAxyc27GXpf02","Paper Rings","Lover","Taylor Swift",2019-08-23,222400,78,spotify:user:,2024-02-14T04:10:54Z,"pop",0.811,0.719,9,-6.553,1,0.0497,0.0129,0.0000136,0.0742,0.865,103.979,4
4uQY80TKE1u4ZQZQKHzVEi,"6jJ0s89eD6GaHleKKya26X","The One That Got Away","Teenage Dream","Katy Perry",2010-08-24,227333,64,spotify:user:,2024-02-14T04:10:54Z,"pop",0.689,0.795,1,-4.021,0,0.0356,0.000812,0.00000107,0.156,0.876,133.968,4
3h4T9Bg8OVSUYa6danHeH5,"04gDigrS5kc9YWfZHwBETP","Animals","V (Asia Tour Edition)","Maroon 5",2015-05-18,231013,69,spotify:user:,2024-02-14T04:10:54Z,"pop",0.279,0.742,4,-6.46,0,0.0898,0.000185,0,0.593,0.328,189.868,4
5jsw9uXEGuKyJzs0boZ1bT,"7n2wHs1TKAczGzO7Dd2rGr","Stitches","Handwritten","Shawn Mendes",2015-04-14,206880,79,spotify:user:,2024-02-14T04:10:54Z,"canadian pop,pop,viral pop",0.752,0.754,1,-6.684,1,0.0615,0.0151,0,0.0486,0.755,149.789,4
55S2PQgSMYAhgoTCcGCDfw,"5Rl15oVamLq7FbSb0NNBNy","Youngblood","Youngblood","5 Seconds of Summer",2018-04-12,203417,63,spotify:user:,2024-02-14T04:10:54Z,"boy band,pop",0.597,0.854,7,-5.114,0,0.463,0.0169,0,0.124,0.152,120.276,4
1V6gIisPpYqgFeWbMLI0bA,"6S2OmqARrzebs0tKUEyXyp","Heart Attack","Demi","Demi Lovato",2013-01-01,210840,78,spotify:user:,2024-02-14T04:10:54Z,"pop,post-teen pop",0.504,0.785,8,-4.802,1,0.104,0.0738,0,0.239,0.502,173.968,4
1qrpoAMXodY6895hGKoUpA,"06HL4z0CvFAxyc27GXpf02","You Belong With Me (Taylor’s Version)","Fearless (Taylor's Version)","Taylor Swift",2021-04-09,231124,81,spotify:user:,2024-02-14T04:10:54Z,"pop",0.632,0.773,6,-4.856,1,0.0346,0.0623,0,0.0885,0.474,130.033,4
76FZM38RC8XaAjJ77CVTNe,"66CXWjxzNUsdJxJ2JdwvnR","Into You","Dangerous Woman","Ariana Grande",2016-04-01,244453,77,spotify:user:,2024-02-14T04:10:54Z,"pop",0.623,0.734,9,-5.948,1,0.107,0.0162,0.00000175,0.145,0.37,107.853,4
7oUHzZKNKUTrlU7DYxhQ7v,"04gDigrS5kc9YWfZHwBETP","Maps","V (Asia Tour Edition)","Maroon 5",2015-05-18,189960,71,spotify:user:,2024-02-14T04:10:54Z,"pop",0.742,0.713,1,-5.522,0,0.0303,0.0205,0,0.059,0.879,120.032,4
7JJmb5XwzOO8jgpou264Ml,"7n2wHs1TKAczGzO7Dd2rGr","There's Nothing Holdin' Me Back","Illuminate (Deluxe)","Shawn Mendes",2017-04-20,199440,85,spotify:user:,2024-02-14T04:10:54Z,"canadian pop,pop,viral pop",0.866,0.811,11,-4.063,0,0.0553,0.375,0,0.078,0.969,121.995,4
