Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3yfqSUWxFvZELEM4PmlwIR,"7dGJo4pcD2V6oG8kP0tJRR","The Real Slim Shady","The Marshall Mathers LP","Eminem",2000-05-23,284200,85,spotify:user:31t35uedwgge63ga4ig6few66iiu,2022-09-24T07:06:36Z,"detroit hip hop,hip hop,rap",0.949,0.661,5,-4.244,0,0.0572,0.0302,0,0.0454,0.76,104.504,4
3dsyqPDiWYYilRZNBxgxHE,"540vIaP2JwjQb9dm3aArA4","Magenta Riddim","Carte Blanche","DJ Snake",2019-07-25,194490,60,spotify:user:31t35uedwgge63ga4ig6few66iiu,2022-09-24T07:06:42Z,"edm,electronic trap,pop,pop dance",0.602,0.892,10,-3.66,0,0.0672,0.000393,0.816,0.304,0.57,102.047,4
67awxiNHNyjMXhVgsHuIrs,"540vIaP2JwjQb9dm3aArA4,7sfl4Xt5KmfyDs2T3SVSMK","Turn Down for What","Turn Down for What","DJ Snake,Lil Jon",2013-12-18,213733,69,spotify:user:31t35uedwgge63ga4ig6few66iiu,2022-09-24T07:06:48Z,"edm,electronic trap,pop,pop dance,atl hip hop,crunk,dance pop,dirty south rap,old school atlanta hip hop,pop rap,southern hip hop,trap",0.818,0.799,1,-4.1,0,0.156,0.00107,0.128,0.057,0.0815,100.014,4
1UXrXVbD773QAizCRvPOww,"2xfzJ5vuZVXu6fiZ0Zs9mC","New Americana","New Americana","Mostus",2021-06-17,167292,0,spotify:user:31t35uedwgge63ga4ig6few66iiu,2022-09-24T07:08:29Z,"",0.691,0.81,8,-9.35,1,0.0854,0.438,0,0.281,0.232,105.031,4
4bAzLbJOkwkZEakSiKd3sZ,"7rYojRyXBLPrX6UWfnAkaC,0jnsk9HBra6NMjO2oANoPY","Low","Low","71 Digits,Flo Rida",2022-04-01,135483,56,spotify:user:31t35uedwgge63ga4ig6few66iiu,2022-09-24T07:09:31Z,"hypertechno,dance pop,miami hip hop,pop,pop rap",0.691,0.83,10,-6.302,0,0.305,0.121,0.0000101,0.152,0.488,124.017,4
5nyef8bHyXaglyArVUNlre,"4dDb2XLONSNrTrucRcoaYM","Deadwood","Deadwood","Really Slow Motion",2021-04-09,186938,59,spotify:user:31t35uedwgge63ga4ig6few66iiu,2022-09-24T07:12:22Z,"epicore",0.337,0.756,10,-5.499,1,0.0817,0.193,0.862,0.137,0.133,180.25,3
7sorNP9VLdnIRIjIwUq5g7,"3Qubu5zXcOh0EIb2bDwMdB","SNEAKY","SNEAKY","WYR GEMI",2021-02-19,125860,50,spotify:user:31t35uedwgge63ga4ig6few66iiu,2022-09-24T07:12:29Z,"g-house,russian edm",0.673,0.864,1,-6.017,1,0.0322,0.00186,0.907,0.0774,0.0382,112.037,4
228BxWXUYQPJrJYHDLOHkj,"4VMYDCV2IEDYJArk749S6m","Gasolina","Barrio Fino (Bonus Track Version)","Daddy Yankee",2004-07-13,192600,82,spotify:user:31t35uedwgge63ga4ig6few66iiu,2022-09-24T07:12:45Z,"latin hip hop,reggaeton,trap latino,urbano latino",0.852,0.797,0,-6.543,1,0.0614,0.322,0.00000269,0.0845,0.741,96.008,4
08y5oWUpZoBgQ6UdUaPQk3,"6L5WgMUzw10WPxDk0o8ghs","The Banjo Beat","The Banjo Beat","HAYASA G",2020-09-08,102000,0,spotify:user:31t35uedwgge63ga4ig6few66iiu,2022-09-24T07:12:52Z,"g-house",0.837,0.708,1,-5.606,1,0.0722,0.128,0.761,0.386,0.827,129.944,4
0EqfNLLVU3zVHAtw7FGMEn,"5f5mH9BDkeyXmDbzevu38d","Basta Boi - Radio Edit","Basta Boi","Alfons",2017-03-10,157927,17,spotify:user:31t35uedwgge63ga4ig6few66iiu,2022-09-24T07:12:58Z,"melbourne bounce international",0.902,0.707,1,-2.279,1,0.151,0.00381,0.000155,0.383,0.258,127.995,4
3rH6tUMYBgUa2we3SADFc1,"2GglhrCoEtYgpItZzk6Y72","Drugs","Legend İs Back","Dj Mehmet Tekin",2018-12-14,241860,0,spotify:user:31t35uedwgge63ga4ig6few66iiu,2022-09-24T07:13:10Z,"turkce remix,turkish edm",0.731,0.825,7,-5.083,0,0.0534,0.00151,0.476,0.104,0.485,130.028,4
4kpxST4KeexaqjgiSqwLgM,"5qQTwkRWNaZngwkU1CPmYJ","Gimme Gimme Gimme (a man after midnight)","Gimme Gimme Gimme (a man after midnight)","Syzz",2020-02-27,152682,0,spotify:user:31t35uedwgge63ga4ig6few66iiu,2022-09-24T07:13:21Z,"sky room",0.593,0.897,10,-1.85,1,0.0452,0.0265,0.00268,0.69,0.38,123.119,4
5Ta86QIDZDnouWutOKGryr,"42zAG9beec3A9iwSk2TAr1,3RnkNj1YI0wnzjzB9CtjZo","Kill Em All","We Here Now","Tino Backwerdz,Ill El",2021-01-21,139964,34,spotify:user:31t35uedwgge63ga4ig6few66iiu,2022-09-24T07:14:12Z,"",0.564,0.502,7,-11.65,1,0.476,0.451,0.00000914,0.106,0.577,175.687,4
5nIrdpo8eXQU3YgZelEXkd,"3tLYpanVDomWAZqF82NPds,3sEqETeMb1urfCoVUhdjUv","Shots & Squats","Shots & Squats","Vigiland,Tham Sway",2015-06-05,171799,58,spotify:user:31t35uedwgge63ga4ig6few66iiu,2022-09-24T07:14:31Z,"deep pop edm,electronic trap",0.807,0.812,5,-5.009,0,0.106,0.00773,0.000501,0.236,0.242,128.012,4
6RwUhWOoRECbpM9FBh13Z2,"5f5mH9BDkeyXmDbzevu38d","Ganjaman","Ganjaman","Alfons",2015-02-09,178106,57,spotify:user:31t35uedwgge63ga4ig6few66iiu,2022-09-24T07:14:36Z,"melbourne bounce international",0.923,0.814,8,-4.013,1,0.158,0.00172,0.000365,0.686,0.598,127.996,4
6oJflQkp7lFXOQce4wPTAW,"49CE2ffZ6Z3zeYSDauSKck,4cSYNpczcvTUpnPMFDLsIc,3AlnY6JafbuFhod8D3Lo8l","Samsara (feat. Emila)","Samsara (feat. Emila)","Tungevaag,Raaban,Emila",2015-01-21,211884,55,spotify:user:31t35uedwgge63ga4ig6few66iiu,2022-10-06T07:19:25Z,"big room,nordic house,deep pop edm",0.489,0.641,11,-7.011,0,0.032,0.00598,0.0201,0.122,0.587,108.901,4
4f3NHOxgC8Bg21IJBg4cZ3,"0CbeG1224FS58EUx4tPevZ,1GbrJTB56Xs4XQGlmVbaCf","Freaks - Radio Edit","Freaks","Timmy Trumpet,Savage",2014-03-10,169160,66,spotify:user:31t35uedwgge63ga4ig6few66iiu,2022-10-06T07:19:51Z,"australian dance,big room,melbourne bounce,melbourne bounce international,nz hip hop",0.882,0.965,4,-0.818,1,0.13,0.0136,0.388,0.206,0.759,128.129,4
5MhsZlmKJG6X5kTHkdwC4B,"5vCOdeiQt9LyzdI87kt5Sh,1KYt3TMGpa1LtVi0m2A0F9","I'm an Albatraoz","I'm an Albatraoz","AronChupa,Little Sis Nora",2014-08-08,166848,71,spotify:user:31t35uedwgge63ga4ig6few66iiu,2022-09-24T07:14:40Z,"swedish pop,melbourne bounce international",0.883,0.817,0,-5.414,1,0.235,0.601,0.00449,0.11,0.595,128.078,4
5RE3w3M9g5vsotdIVtLONq,"0XFgyr4jwM0MGeZZW0VzA5","Close Eyes - Slowed + Reverb","Close Eyes (Slowed + Reverb)","DVRST",2021-07-16,143769,64,spotify:user:31t35uedwgge63ga4ig6few66iiu,2022-09-24T07:15:13Z,"chill phonk,drift phonk",0.748,0.631,10,-10.057,0,0.051,0.0799,0.838,0.104,0.0799,88.502,4
