Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3h4T9Bg8OVSUYa6danHeH5,"04gDigrS5kc9YWfZHwBETP","Animals","V (Asia Tour Edition)","Maroon 5",2015-05-18,231013,69,spotify:user:tnwp3lv0errsxc4pxrfw9xn60,2023-06-01T09:07:03Z,"pop",0.279,0.742,4,-6.46,0,0.0898,0.000185,0,0.593,0.328,189.868,4
0qOnSQQF0yzuPWsXrQ9paz,"4IJczjB0fJ04gs4uvP0Fli,4bYPcJP5jwMhSivRcqie2n","Stereo Hearts (feat. Adam Levine)","The Papercut Chronicles II","Gym Class Heroes,Adam Levine",2011-11-11,210960,78,spotify:user:tnwp3lv0errsxc4pxrfw9xn60,2023-06-01T09:07:03Z,"dance pop,pop rap,deep talent show",0.646,0.795,9,-3.293,1,0.0976,0.0319,0,0.267,0.796,89.99,4
4nZwaKTdxczLpUHfLVAozA,"1yxSLGMDHlW21z4YXirZDS","Bebot","Monkey Business","Black Eyed Peas",2005-01-01,210200,47,spotify:user:tnwp3lv0errsxc4pxrfw9xn60,2023-06-01T09:07:03Z,"dance pop,pop,pop rap",0.913,0.508,2,-6.289,0,0.379,0.242,0,0.66,0.628,106.893,4
0pqnGHJpmpxLKifKRmU6WP,"53XhwfbYqKCa1cC15pYq2q","Believer","Evolve","Imagine Dragons",2017-06-23,204346,86,spotify:user:tnwp3lv0errsxc4pxrfw9xn60,2023-06-01T09:07:03Z,"modern rock,pop,rock",0.776,0.78,10,-4.374,0,0.128,0.0622,0,0.081,0.666,124.949,4
3Wrjm47oTz2sjIgck11l5e,"0lAWpj5szCSwM4rUMHYmrr","Beggin'","Chosen","Måneskin",2017-12-08,211560,83,spotify:user:tnwp3lv0errsxc4pxrfw9xn60,2023-06-01T09:07:03Z,"indie rock italiano,italian pop",0.714,0.8,11,-4.808,0,0.0504,0.127,0,0.359,0.589,134.002,4
3lWzVNe1yFZlkeBBzUuZYu,"2TJHmhbmT7L3gw2NKyDTHh","Bella Ciao - Música Original de la Serie la Casa de Papel/ Money Heist","Bella Ciao (Música Original de la Serie la Casa de Papel/ Money Heist)","Manu Pilas",2018-04-20,139844,66,spotify:user:tnwp3lv0errsxc4pxrfw9xn60,2023-06-01T09:07:03Z,"",0.46,0.564,9,-10.329,0,0.0343,0.538,0,0.191,0.962,135.178,5
2SL6oP2YAEQbqsrkOzRGO4,"7dGJo4pcD2V6oG8kP0tJRR","Venom - Music From The Motion Picture","Kamikaze","Eminem",2018-08-31,269554,72,spotify:user:tnwp3lv0errsxc4pxrfw9xn60,2023-06-01T09:07:03Z,"detroit hip hop,hip hop,rap",0.749,0.794,0,-5.063,1,0.064,0.0193,0,0.543,0.46,135.959,4
1sntdOU6b9fMuUOm3NPIuY,"03fLoIOO015incUitpfkad","Feel It","Dark Room","Michele Morrone",2020-02-14,159480,61,spotify:user:tnwp3lv0errsxc4pxrfw9xn60,2023-06-01T09:07:03Z,"",0.651,0.369,1,-9.301,0,0.045,0.142,0.00308,0.128,0.372,155.014,3
1SC5rEoYDGUK4NfG82494W,"7jVv8c5Fj3E9VhNjxT4snq","MONTERO (Call Me By Your Name)","MONTERO","Lil Nas X",2021-09-17,137704,75,spotify:user:tnwp3lv0errsxc4pxrfw9xn60,2023-06-01T09:07:03Z,"lgbtq+ hip hop",0.593,0.503,8,-6.725,0,0.22,0.293,0,0.405,0.71,178.781,4
5HCyWlXZPP0y6Gqq8TgA20,"2tIP7SsRs7vjIcLrU85W8J,1uNFoZAHBGtllmzznpCI3s","STAY (with Justin Bieber)","STAY (with Justin Bieber)","The Kid LAROI,Justin Bieber",2021-07-09,141805,80,spotify:user:tnwp3lv0errsxc4pxrfw9xn60,2023-06-01T09:07:03Z,"australian hip hop,canadian pop,pop",0.591,0.764,1,-5.484,1,0.0483,0.0383,0,0.103,0.478,169.928,4
51Fjme0JiitpyXKuyQiCDo,"6USMTwO0MNDnKte5a5h0xx,41X1TR6hrK8Q2ZCpp2EqCz","Lalala","Lalala","Y2K,bbno$",2019-06-28,160626,71,spotify:user:tnwp3lv0errsxc4pxrfw9xn60,2023-06-01T09:07:03Z,"pop rap,viral rap,canadian hip hop,dark trap,meme rap",0.843,0.39,2,-7.899,1,0.0846,0.178,0,0.137,0.495,129.972,4
5ubwXXOsH9bUhZsQ0Cybha,"2NdeV5rLm47xAvogXrYhJX","Level Up","Level Up","Ciara",2018-07-18,204150,0,spotify:user:tnwp3lv0errsxc4pxrfw9xn60,2023-06-01T09:07:03Z,"dance pop,hip pop,pop,r&b,urban contemporary",0.746,0.825,1,-4.666,1,0.169,0.0142,0.0107,0.121,0.584,152.914,4
4G9kM0HjxKmHCqyTDpMUXN,"24D8gx0257CDd1HAuqNuHu","Such a Whore (Stellular Version)","Such a Whore (Stellular Version)","JVLA",2020-06-15,147638,0,spotify:user:tnwp3lv0errsxc4pxrfw9xn60,2023-06-01T09:07:03Z,"viral rap",0.624,0.614,2,-4.165,1,0.0448,0.00391,0.0278,0.187,0.139,168.873,4
69PqVX29aZhDGFlG2SKxFy,"7bEdOuEDXiW7XKrZMTLuzO,5rhznZjKfSxtKVqB0JZtpC,4naDHvC9oln9sz6Rwfvory,3ViPtN67C4po5HoqLgJy9m","Oh Nanana - Remix","Oh Nanana (Remix)","dj 6rb,Bonde R300,xang,mayklove",2018-09-17,133115,48,spotify:user:tnwp3lv0errsxc4pxrfw9xn60,2023-06-01T09:07:03Z,"funk carioca,funk paulista,trap funk",0.729,0.842,1,-2.997,1,0.261,0.0597,0.00000306,0.319,0.574,64.808,4
6HGoVbCUr63SgU3TjxEVj6,"24BYRlsS8uIO4jA71mJ4Js","Satisfya","Satisfya","Imran Khan",2013-05-09,180056,65,spotify:user:tnwp3lv0errsxc4pxrfw9xn60,2023-06-01T09:07:03Z,"desi hip hop,desi pop,desi trap,pakistani hip hop",0.726,0.652,1,-7.764,0,0.11,0.00451,0.0000332,0.226,0.803,163.879,4
