Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2J2Z1SkXYghSajLibnQHOa,"5WUlDfRSoLAfcVSX1WnrxN","Unstoppable","This Is Acting","Sia",2016-01-29,217746,80,spotify:user:312vwkd2xpodwwxrxpmmpjvzvz44,2023-06-12T09:52:08Z,"australian dance,australian pop,pop",0.468,0.779,9,-4.839,1,0.0779,0.112,0.000373,0.101,0.26,173.799,4
0pqnGHJpmpxLKifKRmU6WP,"53XhwfbYqKCa1cC15pYq2q","Believer","Evolve","Imagine Dragons",2017-06-23,204346,86,spotify:user:312vwkd2xpodwwxrxpmmpjvzvz44,2023-06-12T09:52:12Z,"modern rock,pop,rock",0.776,0.78,10,-4.374,0,0.128,0.0622,0,0.081,0.666,124.949,4
3DXXKDbbZKyAZfNb96ST3q,"6S2OmqARrzebs0tKUEyXyp","Confident","Confident","Demi Lovato",2015-01-01,205745,70,spotify:user:312vwkd2xpodwwxrxpmmpjvzvz44,2023-06-12T09:52:14Z,"pop,post-teen pop",0.594,0.749,3,-6.251,1,0.0677,0.00188,0.000139,0.0869,0.344,130.064,4
4fkM7M4Uo5AUASnnsRC7EZ,"4npEfmQ6YuiwW1GpUmaq3F","Not Your Barbie Girl","Not Your Barbie Girl","Ava Max",2018-08-13,186520,64,spotify:user:312vwkd2xpodwwxrxpmmpjvzvz44,2023-06-12T09:52:52Z,"pop",0.745,0.642,6,-4.138,0,0.0506,0.103,0,0.0335,0.35,120.063,4
0l0CvurVUrr2w3Jj1hOVFc,"6JL8zeS1NmiOftqZTRgdTz","NO","Thank You (Deluxe Version)","Meghan Trainor",2017-05-12,213506,73,spotify:user:312vwkd2xpodwwxrxpmmpjvzvz44,2023-06-12T09:53:37Z,"hip pop,pop",0.557,0.803,1,-3.599,0,0.213,0.0124,0.00000161,0.737,0.657,92.134,4
2ACOWPLUe4A4KuQ5ioD2od,"1l8Fu6IkuTP0U5QetQJ5Xt","That's My Girl","7/27 (Deluxe)","Fifth Harmony",2016-05-27,204013,70,spotify:user:312vwkd2xpodwwxrxpmmpjvzvz44,2023-06-12T09:53:43Z,"girl group,pop,talent show",0.596,0.851,5,-4.245,0,0.121,0.0358,0.0000319,0.365,0.612,202.049,4
3cU2wBxuV6nFiuf6PJZNlC,"6JL8zeS1NmiOftqZTRgdTz","Dear Future Husband","Title (Deluxe)","Meghan Trainor",2015-01-09,184226,76,spotify:user:312vwkd2xpodwwxrxpmmpjvzvz44,2023-06-12T09:53:53Z,"hip pop,pop",0.655,0.782,1,-4.789,1,0.185,0.375,0,0.317,0.832,79.427,4
1V6gIisPpYqgFeWbMLI0bA,"6S2OmqARrzebs0tKUEyXyp","Heart Attack","Demi","Demi Lovato",2013-01-01,210840,78,spotify:user:312vwkd2xpodwwxrxpmmpjvzvz44,2023-06-12T09:54:04Z,"pop,post-teen pop",0.504,0.785,8,-4.802,1,0.104,0.0738,0,0.239,0.502,173.968,4
3uwnnTQcHM1rDqSfA4gQNz,"6S2OmqARrzebs0tKUEyXyp","Cool for the Summer","Confident","Demi Lovato",2015-01-01,214739,76,spotify:user:312vwkd2xpodwwxrxpmmpjvzvz44,2023-06-12T09:54:05Z,"pop,post-teen pop",0.583,0.61,5,-5.639,0,0.0382,0.00425,0.000105,0.14,0.336,114.06,4
3TcL0dyCMyr0kyTTc4NLgI,"6dJeKm76NjfXBNTpHmOhfO","Who Says","When The Sun Goes Down","Selena Gomez & The Scene",2011-01-01,195613,73,spotify:user:312vwkd2xpodwwxrxpmmpjvzvz44,2023-06-12T09:54:10Z,"pop",0.682,0.927,4,-2.915,1,0.0479,0.0843,0,0.149,0.744,101.019,4
