Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6BePGk3eCan4FqaW2X8Qy3,"2o5jDhtHVPhrJdv3cEQ99Z,45dkTj5sMRSjrmBSBeiHym","10:35","10:35","Tiësto,Tate McRae",2022-11-03,172252,75,spotify:user:,2024-06-21T04:00:00Z,"big room,brostep,dutch edm,edm,house,pop dance,progressive electro house,slap house,trance,pop",0.696,0.793,8,-5.733,1,0.097,0.0683,0.00000378,0.18,0.698,120.003,4
4laAKIq9ZxBCwf99rauPYb,"4EPJlUEBy49EX1wuFOvtjK,1Cs0zKBU1kc0i8ypK3B9ai","Remember","Remember","Becky Hill,David Guetta",2021-06-18,160766,72,spotify:user:,2024-06-21T04:00:00Z,"pop dance,pop house,uk dance,uk pop,big room,dance pop,edm,pop",0.612,0.862,8,-2.903,1,0.037,0.041,0,0.0907,0.354,123.849,4
3uUuGVFu1V7jTQL60S1r8z,"7f5Zgnp2spUuuzKplmRkt7,6ydoSd3N2mwgwBHtF6K7eX","Where Are You Now","Where Are You Now","Lost Frequencies,Calum Scott",2021-07-30,148197,78,spotify:user:,2024-06-21T04:00:00Z,"belgian edm,edm,pop dance,tropical house,pop",0.671,0.636,6,-8.117,0,0.103,0.515,0.000411,0.172,0.262,120.966,4
1LY3GhF0zxIVgbYEQjCbUO,"3TOqt5oJwL9BE2NG9MEwDa,11kt6ggsdxvI8MhyeSMKom","The Sound of Silence - CYRIL Remix","The Sound of Silence (CYRIL Remix)","Disturbed,CYRIL",2024-02-02,185238,86,spotify:user:,2024-06-21T04:00:00Z,"alternative metal,nu metal,rap metal,rock",0.68,0.721,6,-4.379,0,0.188,0.123,0,0.162,0.244,125.963,4
4uUG5RXrOk84mYEfFvj3cK,"1Cs0zKBU1kc0i8ypK3B9ai,64M6ah0SkkRsnPGtGiRAbb","I'm Good (Blue)","I'm Good (Blue)","David Guetta,Bebe Rexha",2022-08-26,175238,88,spotify:user:,2024-06-21T04:00:00Z,"big room,dance pop,edm,pop,pop dance",0.561,0.965,7,-3.673,0,0.0343,0.00383,0.00000707,0.371,0.304,128.04,4
0LMwmV37RCmBO2so0szAFs,"23fqKkggKUBHNkbKtXEls4,4npEfmQ6YuiwW1GpUmaq3F","Whatever","Whatever","Kygo,Ava Max",2024-01-19,178273,86,spotify:user:,2024-06-21T04:00:00Z,"edm,pop,pop dance,tropical house",0.58,0.777,3,-5.69,1,0.0655,0.104,0,0.342,0.589,108.005,4
1bgKMxPQU7JIZEhNsM1vFs,"4AVFqumd2ogHFlRbKIjp1t,1Xylc3o4UrD53lo9CvFvVg","Words (feat. Zara Larsson)","Words (feat. Zara Larsson)","Alesso,Zara Larsson",2022-04-22,142677,76,spotify:user:,2024-06-21T04:00:00Z,"dance pop,edm,pop,pop dance,progressive electro house,scandipop,swedish electropop,swedish pop",0.739,0.586,10,-5.079,0,0.0472,0.0245,0.000252,0.308,0.444,124.026,4
4ZnkygoWLzcGbQYCm3lkae,"3WGpXCj9YhhfX11TToZcXP","Rush","Something To Give Each Other","Troye Sivan",2023-10-13,156391,80,spotify:user:,2024-06-21T04:00:00Z,"australian pop,pop,viral pop",0.728,0.841,10,-7.682,0,0.0567,0.00242,0.0000909,0.106,0.402,125.991,4
4GSDkZt7GcmzBWmsMcpaVO,"4FcZfItjVIsfO9TynErl7X,71Dhj822M1LGpuryPIV2KO","Dancing In The Moonlight (feat. NEIMY)","Dancing In The Moonlight (feat. NEIMY)","Jubël,NEIMY",2018-06-22,164009,73,spotify:user:,2024-06-21T04:00:00Z,"swedish pop,scandipop,tropical house",0.659,0.615,11,-5.865,0,0.0644,0.27,0,0.187,0.193,119.843,4
6cx06DFPPHchuUAcTxznu9,"6DgP9otnZw5z6daOntINxp,7uMh23xWiuR7zsNkuNcm2G","Head & Heart (feat. MNEK)","Head & Heart (feat. MNEK)","Joel Corry,MNEK",2020-07-03,166028,79,spotify:user:,2024-06-21T04:00:00Z,"dance pop,pop dance,uk dance,house,uk contemporary r&b,uk pop",0.734,0.874,8,-3.158,1,0.0662,0.168,0.0000114,0.0489,0.905,122.953,4
