,albumArtistsNames,albumReleaseDate,albumType,albumName,artistGenres,trackName,lyrics
0,Lana Del Rey,2011-01-01,album,Born To Die (Deluxe Version),"Art Pop, Pop",Summertime Sadness,"Kiss me hard before you go
Summertime sadness
I just wanted you to know
That, baby, you the best

[Verse 1]
I got my red dress on tonight
Dancin' in the dark, in the pale moonlight
Done my hair up real big, beauty queen style
High heels off, I'm feelin' alive

[Pre-Chorus]
Oh my God, I feel it in the air
Telephone wires above are sizzlin' like a snare
Honey, I'm on fire, I feel it everywhere
Nothin' scares me anymore (One, two, three, four)

[Chorus]
Kiss me hard before you go
Summertime sadness
I just wanted you to know
That, baby, you the best

[Post-Chorus]
I got that summertime, summertime sadness
Su-su-summertime, summertime sadness
Got that summertime, summertime sadness
Oh, oh, oh
See Lana Del Rey LiveGet tickets as low as $201You might also like[Verse 2]
I'm feelin' electric tonight
Cruisin' down the coast, goin' 'bout 99
Got my bad baby by my heavenly side
I know, if I go, I'll die happy tonight

[Pre-Chorus]
Oh my God, I feel it in the air
Telephone wires above are sizzlin' like a snare
Honey, I'm on fire, I feel it everywhere
Nothin' scares me anymore (One, two, three, four)

[Chorus]
Kiss me hard before you go
Summertime sadness
I just wanted you to know
That, baby, you the best

[Post-Chorus]
I got that summertime, summertime sadness
Su-su-summertime, summertime sadness
Got that summertime, summertime sadness
Oh, oh, oh

[Bridge]
Think I'll miss you forever
Like the stars miss the sun in the morning sky
Later's better than never
Even if you're gone, I'm gonna drive (Drive)
Drive
[Breakdown]
I got that summertime, summertime sadness
Su-su-summertime, summertime sadness
Got that summertime, summertime sadness
Oh, oh, oh

[Chorus]
Kiss me hard before you go
Summertime sadness
I just wanted you to know
That, baby, you the best

[Post-Chorus]
I got that summertime, summertime sadness
Su-su-summertime, summertime sadness
Got that summertime, summertime sadness
Oh, oh, oh389Embed"
1,Taylor Swift,2019-08-23,album,Lover,Pop,I Think He Knows,"I think he knows
His footprints on the sidewalk
Lead to where I can't stop
Go there every night
I think he knows
His hands around a cold glass
Make me wanna know that
Body like it's mine

[Pre-Chorus]
He got that boyish look that I like in a man
I am an architect, I'm drawing up the plans
It's like I'm 17, nobody understands
No one understands

[Chorus]
He got my heartbeat
Skipping down 16th Avenue
Got that, ah, I mean
Wanna see what's under that attitude like
I want you, bless my soul
And I ain't gotta tell him, I think he knows
I think he knows

[Verse 2]
I think he knows
When we get all alone
I'll make myself at home
And he'll want me to stay
I think he knows
He'd better lock it down
Or I won't stick around
'Cause good ones never wait (Ha)
See Taylor Swift LiveGet tickets as low as $225You might also like[Pre-Chorus]
He got that boyish look that I like in a man
I am an architect, I'm drawing up the plans
He's so obsessed with me and, boy, I understand
Boy, I understand

[Chorus]
He got my heartbeat (Heartbeat)
Skipping down 16th Avenue
Got that, ah, I mean (I mean)
Wanna see what's under that attitude like
I want you, bless my soul
And I ain't gotta tell him, I think he knows
I think he knows

[Post-Chorus]
I want you, bless my
I want you, bless my
I want you, bless my
I want you, bless my soul

[Bridge]
Lyrical smile, indigo eyes, hand on my thigh
We could follow the sparks, I'll drive
Lyrical smile, indigo eyes, hand on my thigh
We could follow the sparks, I'll drive
""So where we gonna go?""
I whisper in the dark
""Where we gonna go?""
I think he knows
[Chorus]
He got my heartbeat (Heartbeat)
Skipping down 16th Avenue (Baby)
Got that, ah, I mean (I mean)
Wanna see what's under that attitude like (Yeah)
I want you, bless my soul
And I ain't gotta tell him, I think he knows
I think he knows

[Post-Chorus]
I want you, bless my
I want you, bless my
I want you, bless my (Oh, baby)
I want you, bless my soul (He got my heartbeat)
I want you, bless my (Skipping down 16th Avenue, baby)
I want you, bless my
I want you, bless my soul
And I ain't gotta tell him, I think he knows49Embed"
2,Taylor Swift,2017-11-10,album,reputation,Pop,Call It What You Want,"My castle crumbled overnight
I brought a knife to a gunfight
They took the crown, but it's alright
All the liars are calling me one
Nobody's heard from me for months
I'm doin' better than I ever was
'Cause

[Chorus]
My baby's fit like a daydream
Walkin' with his head down
I'm the one he's walking to
So call it what you want, yeah
Call it what you want to
My baby's fly like a jet stream
High above the whole scene
Loves me like I'm brand new
So call it what you want, yeah
Call it what you want to

[Verse 2]
All my flowers grew back as thorns
Windows boarded up after the storm
He built a fire just to keep me warm
All the drama queens taking swings
All the jokers dressing up as kings
They fade to nothing when I look at him
See Taylor Swift LiveGet tickets as low as $225You might also like[Pre-Chorus]
And I know I make the same mistakes every time
Bridges burn, I never learn
At least I did one thing right
I did one thing right
I'm laughing with my lover, makin' forts under covers
Trust him like a brother
Yeah, you know I did one thing right
Starry eyes sparkin' up my darkest night

[Chorus]
My baby's fit like a daydream
Walkin' with his head down
I'm the one he's walking to
So call it what you want, yeah
Call it what you want to
My baby's fly like a jet stream
High above the whole scene
Loves me like I'm brand new
(Call it what you want, call it what you want, call it)
So call it what you want, yeah
Call it what you want to

[Bridge]
I want to wear his initial on a chain 'round my neck
Chain 'round my neck
Not because he owns me
But 'cause he really knows me
Which is more than they can say, I
I recall late November
Holding my breath, slowly, I said
""You don't need to save me
But would you run away with me?""
Yes (Would you run away?)
[Chorus]
My baby's fit like a daydream
Walkin' with his head down
I'm the one he's walking to
(Call it what you want, call it what you want, call it)
So call it what you want, yeah (Call it what you want it to)
Call it what you want to
My baby's fly like a jet stream (Oh)
High above the whole scene
Loves me like I'm brand new
(Call it what you want, call it what you want, call it)
So call it what you want, yeah
Call it what you want to

[Outro]
(Call it what you want, call it)
(Call it what you want, call it what you want, call it)
(Call it what you want, call it what you want, call it)
(Call it what you want, call it what you want, call it)
(Call it what you want, call it what you want, call it)
(Call it what you want, call it what you want, call it)
(Call it what you want, call it what you want, call it)
Call it what you want, yeah
Call it what you want to103Embed"
3,Taylor Swift,2019-08-23,album,Lover,Pop,Cruel Summer,"(Yeah, yeah, yeah, yeah)

[Verse 1]
Fever dream high in the quiet of the night
You know that I caught it (Oh yeah, you're right, I want it)
Bad, bad boy, shiny toy with a price
You know that I bought it (Oh yeah, you're right, I want it)

[Pre-Chorus]
Killing me slow, out the window
I'm always waiting for you to be waiting below
Devils roll the dice, angels roll their eyes
What doesn't kill me makes me want you more

[Chorus]
And it's new, the shape of your body
It's blue, the feeling I've got
And it's ooh, woah-oh
It's a cruel summer
It's cool, that's what I tell 'em
No rules in breakable heaven
But ooh, woah-oh
It's a cruel summer with you

[Verse 2]
Hang your head low in the glow of the vending machine
I'm not dying (Oh yeah, you're right, I want it)
We say that we'll just screw it up in these trying times
We're not trying (Oh yeah, you're right, I want it)
See Taylor Swift LiveGet tickets as low as $225You might also like[Pre-Chorus]
So cut the headlights, summer's a knife
I'm always waiting for you just to cut to the bone
Devils roll the dice, angels roll their eyes
And if I bleed, you'll be the last to know, oh

[Chorus]
It's new, the shape of your body
It's blue, the feeling I've got
And it's ooh, woah-oh
It's a cruel summer
It's cool, that's what I tell 'em
No rules in breakable heaven
But ooh, woah-oh
It's a cruel summer with you

[Bridge]
I'm drunk in the back of the car
And I cried like a baby comin' home from the bar (Oh)
Said, ""I'm fine,"" but it wasn't true
I don't wanna keep secrets just to keep you
And I snuck in through the garden gate
Every night that summer just to seal my fate (Oh)
And I scream, ""For whatever it's worth
I love you, ain't that the worst thing you ever heard?""
He looks up, grinnin' like a devil
[Chorus]
It's new, the shape of your body
It's blue, the feeling I've got
And it's ooh, woah-oh
It's a cruel summer
It's cool, that's what I tell 'em
No rules in breakable heaven
But ooh, woah-oh
It's a cruel summer with you

[Outro]
I'm drunk in the back of the car
And I cried like a baby comin' home from the bar (Oh)
Said, ""I'm fine,"" but it wasn't true
I don't wanna keep secrets just to keep you
And I snuck in through the garden gate
Every night that summer just to seal my fate (Oh)
And I scream, ""For whatever it's worth
I love you, ain't that the worst thing you ever heard?""
(Yeah, yeah, yeah, yeah)111Embed"
4,Lana Del Rey,2011-01-01,album,Born To Die (Deluxe Version),"Art Pop, Pop",Born To Die,"Why? (Got that?)
Who? Me? (Louder)
Why? (Got that?)

[Verse 1: Lana Del Rey, Mountain]
Feet don't fail me now, take me to the finish line
Oh, my heart, it breaks every step that I take
But I'm hoping that the gates, they'll tell me that you're mine
Walking through the city streets, is it by mistake or design?
I feel so alone on a Friday night
Can you make it feel like home if I tell you you're mine?
It's like I told you, honey (Louder)

[Pre-Chorus]
Don't make me sad, don't make me cry
Sometimes, love is not enough
And the road gets tough, I don't know why
Keep makin' me laugh, let's go get high
The road is long, we carry on
Try to have fun in the meantime

[Chorus: Lana Del Rey, Mountain]
Come and take a walk on the wild side
Let me kiss you hard in the pouring rain
You like your girls insane (Louder, alright)
Choose your last words, this is the last time
'Cause you and I, we were born to die
See Lana Del Rey LiveGet tickets as low as $201You might also like[Verse 2: Lana Del Rey, Mountain]
Lost, but now I am found
I can see that, once, I was blind
I was so confused as a little child
Tried to take what I could get, scared that I couldn't find
All the answers, honey (Louder)

[Pre-Chorus]
Don't make me sad, don't make me cry
Sometimes, love is not enough
And the road gets tough, I don't know why
Keep makin' me laugh, let's go get high
The road is long, we carry on
Try to have fun in the meantime

[Chorus: Lana Del Rey, Mountain]
Come and take a walk on the wild side
Let me kiss you hard in the pouring rain
You like your girls insane (Louder, alright)
Choose your last words, this is the last time
'Cause you and I, we were born to die

[Post-Chorus]
(We were born to die, we were born to die)
We were born to die
(We were born to die, we were born to die, we were born to die)
We were born to die
Come and take a walk on the wild side
Let me kiss you hard in the pouring rain
You like your girls insane
[Pre-Chorus]
So don't make me sad, don't make me cry
Sometimes, love is not enough
And the road gets tough, I don't know why
Keep makin' me laugh, let's go get high
The road is long, we carry on
Try to have fun in the meantime

[Chorus: Lana Del Rey, Mountain]
Come and take a walk on the wild side
Let me kiss you hard in the pouring rain
You like your girls insane (Louder, alright)
Choose your last words, this is the last time
'Cause you and I, we were born to die

[Outro: Lana Del Rey, Mountain]
(Louder)
(We were born to die, we were born to die)
We were born to die
(We were born to die, we were born to die)
(We were born to die, we were born to die)
(Louder)
(We were born to die, we were born to die)
(We were born to die, we were born to die)
(Louder)
(We were born to die, we were born to die)
(We were born to die, we were born to die)
(Louder)
(We were born to die, we were born to die)
(We were born to die, we were born to die)
(Got that?)
(Louder)364Embed"
5,Gracie Abrams,2021-05-07,single,Mess It Up,Alt Z,Mess It Up,"Opened two double doors
Typical, pretty sure I could grow up
Probably chemical
I took up walking to turn it all off
Doesn't feel bearable
Guess I thought when I left, it would all stop
Hmm, it would all stop

[Chorus]
Did I fall out of line when I called you?
When I told you, ""I'm fine,"" you were lied to
How could I think that all that I gave you was enough?
'Cause every time I get too close, I just go mess it up

[Verse 2]
Funny that (Funny that) didn't work (Didn't work)
I could be anywhere, I'm on your block
Cynical (Cynical), terrible (Terrible)
Kicking myself with my gut in a knot
'Cause I heard that you're (Heard that you're) happiеr (Happier)
Hope that you're sleeping wеll knowing I'm not
I'm doing too much, hmm

[Chorus]
Did I fall (Did I fall) out of line (Out of line) when I called you?
When I told (When I told) you, ""I'm fine"" (You, ""I'm fine""), you were lied to
(I told you I'm lying)
How could I think that all that I gave you was enough?
'Cause every time I get too close, I just go mess it up
See Gracie Abrams LiveGet tickets as low as $76You might also like[Bridge]
I keep thinking, maybe if you let me back in
We can make it better, breaking every habit
Pull myself together, you could watch it happen
Let it happen, let it happen
I keep thinking, maybe if you let me back in
We can make it better, breaking every habit
Pull myself together, you could watch it happen
Let it happen, let it happen

[Outro]
I keep thinking, maybe if you let me back in (Did I fall out of line when I called you?)
We can make it better, breaking every habit
Pull myself together, you could watch it happen (When I told you, ""I'm fine,"" you were lied to)
Let it happen, let it happen (I told you I'm lying)
I keep thinking, maybe if you let me back in (How could I think that all that I gave you was enough?)
We can make it better, breaking every habit
Pull myself together, you could watch it happen ('Cause every time I get too close, I just go mess it up)
Let it happen, let it happen8Embed"
6,Doja Cat,2018-03-30,album,Amala,"Dance Pop, Pop",Candy,"I can name a couple ways, baby, this shit might go
You just might forget that this was what you're gettin' high for
Men that like to do the things to remain that guy who
Need someone who's sweet and not gon' shoot to make that high note

[Pre-Chorus]
And it's such a typical thing
Runnin' over billion men who
Only deal with difficult things
You gon' need a billion hands, ooh

[Chorus]
She's just like candy, she's so sweet
But you know that it ain't real cherry, know that it ain't real cherry
She's just like candy (Candy), she's so sweet (She's so sweet)
But you know that it ain't real, know that it ain't real

[Verse 2]
I can be your sugar when you're fiendin' for that sweet spot
Put me in your mouth, baby, and eat it 'til your teeth rot
I can be your cherry, apple, pecan, or your key lime
Baby, I got everything and so much more than she's got

[Pre-Chorus]
And it's such a typical thing
Runnin' over billion men who
Only deal with difficult things
You gon' need a billion hands, ooh
See Doja Cat LiveGet tickets as low as $87You might also like[Chorus]
She's just like candy, she's so sweet
But you know that it ain't real cherry, know that it ain't real cherry
She's just like candy (Candy), she's so sweet (She's so sweet)
But you know that it ain't real, know that it ain't real
She's just like candy, she's so sweet
But you know that it ain't real cherry, know that it ain't real cherry
She's just like candy (Candy), she's so sweet (She's so sweet)
But you know that it ain't real, know that it ain't real

[Bridge]
Sugar coated, lies unfolded, you still lick the wrapper
It's addictive, you know this, but you still lick the wrapper
Sugar coated, lies unfolded, you still lick the wrapper
It's addictive, you know this, but you still lick the wrapper

[Chorus]
She's just like candy, she's so sweet
But you know that it ain't real cherry, know that it ain't real cherry
She's just like candy, she's so sweet
But you know that it ain't real, know that it ain't real
She's just like candy, she's so sweet
But you know that it ain't real cherry, know that it ain't real cherry
She's just like candy, she's so sweet
But you know that it ain't real, know that it ain't real43Embed"
7,Taylor Swift,2023-07-07,album,Speak Now (Taylor's Version),Pop,I Can See You (Taylor’s Version) (From The Vault),"I-I-I-I

[Verse 1]
You brush past me in the hallway
And you don't think I, I, I can see ya, do ya?
I’ve been watchin' you for ages
And I spend my time tryin' not to feel it

[Pre-Chorus]
But what would you do if I went to touch you now?
What would you do if they never found us out?
What would you do if we never made a sound?

[Chorus]
’Cause I can see you waitin' down the hall from me
And I could see you up against the wall with me
And what would you do? Baby, if you only knew
That I can see you

[Post-Chorus]
I-I-I-I

[Verse 2]
And we kept everything professional
But something's changed, it's somethin' I, I like
They keep watchful eyes on us
So it's best that we move fast and keep quiet
You won't believe half the things I see inside my head
Wait 'til you see half the things that haven’t happened yet
See Taylor Swift LiveGet tickets as low as $225You might also like[Pre-Chorus]
But what would you do if I went to touch you now?
What would you do if they never found us out?
What would you do if we never made a sound?

[Chorus]
’Cause I can see you waitin' down the hall from me
And I could see you up against the wall with me
And what would you do? Baby, if you only knew, oh, oh, oh
That I could see you throw your jacket on the floor
I could see you, make me want you even more
What would you do? Baby, if you only knew
That I can see you

[Post-Chorus]
I-I-I-I

[Bridge]
I can see you in your suit and your necktie
Passed me a note sayin’, ""Meet me tonight""
Then we kiss and you know I won't ever tell, yeah
And I could see you being my addiction
You can see me as a secret mission
Hide away and I will start behaving myself

[Pre-Chorus]
I-I-I-I
Oh-oh, oh, oh
[Chorus]
I can see you waitin' down the hall from me
And I could see you up against the wall with me
And what would you do? Baby, if you only knew, oh
That I could see you throw your jacket on the floor
I could see you, make me want you even more
What would you do? Baby, if you only knew
That I can see you, oh, I can see you

[Outro]
Oh, I see you, I see you, baby
I see you
(I-I-I-I) I see you, I see you, baby
Oh, baby11Embed"
8,Lana Del Rey,2011-01-01,album,Born To Die (Deluxe Version),"Art Pop, Pop",Radio,"Not even they can stop me now
Boy, I be flyin' overhead
Their heavy words can't bring me down
Boy, I've been raised from the dead

[Pre-Chorus]
No one even knows how hard life was
I don't even think about it now because
I finally found you
Oh, sing it to me

[Chorus]
Now my life is sweet like cinnamon
Like a fucking dream I'm livin' in
Baby, love me 'cause I'm playin' on the radio
How do you like me now?
Pick me up and take me like a vitamin
'Cause my body's sweet like sugar venom, oh, yeah
Baby, love me 'cause I'm playin' on the radio
How do you like me now?

[Verse 2]
American dreams came true somehow
I swore I'd chase 'em 'til I was dead
I heard the streets were paved with gold
That's what my father said
See Lana Del Rey LiveGet tickets as low as $201You might also like[Pre-Chorus]
No one even knows what life was like
Now I'm in L.A. and it's paradise
I finally found you
Oh, sing it to me

[Chorus]
Now my life is sweet like cinnamon
Like a fucking dream I'm livin' in
Baby, love me 'cause I'm playin' on the radio
How do you like me now?
Pick me up and take me like a vitamin
'Cause my body's sweet like sugar venom, oh, yeah
Baby, love me 'cause I'm playin' on the radio
How do you like me now?

[Bridge]
Sweet like cinnamon
Like a fucking dream I'm livin' in
Baby, love me 'cause I'm playin' on the radio
How do you like me now?
Sweet like cinnamon
Like a fucking dream I'm livin' in
I finally found you (Radio, radio, radio)
Oh, sing it to me
[Chorus]
Now my life is sweet like cinnamon
Like a fucking dream I'm livin' in
Baby, love me 'cause I'm playin' on the radio
How do you like me now?
Pick me up and take me like a vitamin
'Cause my body's sweet like sugar venom, oh, yeah
Baby, love me 'cause I'm playin' on the radio
How do you like me now? (Oh, sing it to me)
Now my life is sweet like cinnamon
Like a fucking dream I'm livin' in
Baby, love me 'cause I'm playin' on the radio
How do you like me now?
Pick me up and take me like a vitamin
'Cause my body's sweet like sugar venom, oh, yeah
Baby, love me 'cause I'm playin' on the radio
How do you like me now?104Embed"
9,Shae Gill & Ali Sethi,2022-02-07,single,Pasoori,Pakistani Pop,Pasoori,"اگ لاہواں مجبوری نوں
آݨ جاݨ دی بھسوڑی نوں
زہر بݨے، ہاں، تیری
پی جاواں میں پوری نوں
آݨا سی، اوہ نئیں آیا
دل بانگ بانگ میرا ٹکرایا
کاگا بول کے دس جاوے
پاہواں گھیو دی چوری نوں

[Pre-Chorus: Ali Sethi]
راہواں چہ، بانہواں چہ، اوہ نوں لکاواں
کوئی مینوں نہ روکے

[Chorus: Ali Sethi]
میرے ڈھول، جدائیاں دی تینوں خبر کِویں ہووے؟
آجا وے، دل تیرا پورا وی نہ ہووے
ہاں، بݨیا بݨایاں دی گل بات کِویں ہووے؟
آجا وے، دل تیرا پورا وی نہ ہووے

[Verse 2: Shae Gill]
بُھل گئی مجبوری نوں
دنیا دی دستوری نوں
ساتھ تیرا ہے بتھیرا
پورا کر ضروری نوں
آݨا سی، اوہ نئیں آیا
راستہ نہ دکھلایا
دل ہمارا دے سہارا
خواہشات ادھوری نوں
You might also like[Pre-Chorus: Shae Gill]
واری میں جاواں، میں تینوں بلاواں
گل ساری تاں ہووے

[Chorus: Shae Gill]
میرے ڈھول، جدائیاں دی تینوں خبر کِویں ہووے؟
آجا وے، دل تیرا پورا وی نہ ہووے
ہاں، بݨیا بݨایاں دی گل بات کِویں ہووے؟
آجا وے، دل تیرا پورا وی نہ ہووے

[Bridge: Shae Gill & Ali Sethi]
میرے ڈھول، جدائیاں دی سرداری نہ ہووے
میرے ڈھول، جدائیاں دی...
میرے ڈھول، جدائیاں دی سرداری نہ ہووے
دلداراں دی، سبھ یاراں دی آزاری نہ ہووے
دلداراں دی، سبھ یاراں دی آزاری نہ ہووے
آ چلیں لے کے تجھے
ہیں جہاں سلسلے
تُو ہے وہی، ہے تیری کمی
بنا دے، سجا دے، پناہ دے ہمیں
بنا دے، سجا دے، پناہ دے ہمیں

[Refrain: Ali Sethi]
اگ لاہواں مجبوری نوں
آݨ جاݨ دی بھسوڑی نوں
زہر بݨے، ہاں، تیری
پی جاواں میں پوری نوں
[Pre-Chorus: Ali Sethi]
راہواں چہ، بانہواں چہ، اوہ نوں لکاواں
کوئی مینوں نہ روکے

[Chorus: Ali Sethi & Shae Gill]
میرے ڈھول، جدائیاں دی تینوں خبر کِویں ہووے؟
آجا وے، دل تیرا پورا وی نہ ہووے
ہاں، بݨیا بݨایاں دی گل بات کِویں ہووے؟
آجا وے، دل تیرا پورا وی نہ ہووے

[Outro: Shae Gill & Ali Sethi]
پورا وی نہ ہووے
پورا وی نہ ہووےEmbed"
