,trackName,albumName,albumArtistsName,mood,lyrics
0,Your Power,Happier Than Ever,Billie Eilish,Sad,"Try not to abuse your power
I know we didn't choose to change
You might not wanna lose your power
But havin' it's so strange

[Verse 1]
She said you were a hero
You played the part
But you ruined her in a year
Don't act like it was hard
And you swear you didn't know (Didn't know)
No wonder why you didn't ask
She was sleepin' in your clothes (In your clothes)
But now she's got to get to class

[Pre-Chorus]
How dare you?
And how could you?
Will you only feel bad when they find out?
If you could take it all back
Would you?

[Chorus]
Try not to abuse your power
I know we didn't choose to change
You might not wanna lose your power
But havin' it's so strange
See Billie Eilish LiveGet tickets as low as $131You might also like[Verse 2]
I thought that I was special
You made me feel
Like it was my fault, you were the devil
Lost your appeal
Does it keep you in control? (In control)
For you to keep her in a cage?
And you swear you didn't know (Didn't know)
You said you thought she was your age

[Pre-Chorus]
How dare you?
And how could you?
Will you only feel bad if it turns out
That they kill your contract?
Would you?

[Chorus]
Try not to abuse your power
I know we didn't choose to change
You might not wanna lose your power
But power isn't pain

[Outro]
Mmm
Ooh
La-la-la-la-la, hmm
La-la-la-la-la-la, la-la248Embed"
2,Bruises,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,Sad,"Counting days, counting days
Since my love up and got lost on me
And every breath that I've been taking
Since you left feels like a waste on me
I've been holding on to hope
That you'll come back when you can find some peace
'Cause every word that I've heard spoken
Since you left feels like a hollow street

[Pre-Chorus]
I've been told, I've been told to get you off my mind
But I hope I never lose the bruises that you left behind
Oh my lord, oh my lord, I need you by my side

[Chorus]
There must be something in the water
'Cause every day, it's getting colder
And if only I could hold you
You'd keep my head from going under

[Verse 2]
Maybe I, maybe I'm just being blinded
By the brighter side
Of what we had because it's over
Well, there must be something in the tide
You might also like[Pre-Chorus]
I've been told, I've been told to get you off my mind
But I hope I never lose the bruises that you left behind
Oh my lord, oh my lord, I need you by my side

[Chorus]
There must be something in the water
'Cause every day, it's getting colder
And if only I could hold you
You'd keep my head from going under

[Bridge]
Ooh-ooh-ooh-ooh-ooh
Ooh-ooh-ooh-ooh-ooh
Ooh-ooh-ooh-ooh-ooh
Ooh-ooh-ooh-ooh-ooh
It's your love I'm lost in
Your love I'm lost in
Your love I'm lost in
And I'm tired of being so exhausted
Your love I'm lost in
Your love I'm lost in
Your love I'm lost in
Even though I'm nothing to you now
Even though I'm nothing to you now
[Chorus]
There must be something in the water
'Cause every day, it's getting colder
And if only I could hold you
You'd keep my head from going under
There must be something in the water
'Cause every day, it's getting colder
And if only I could hold you
You'd keep my head from going under56Embed"
3,you were good to me,brent,"Jeremy Zucker,Chelsea Cutler",Sad,"Lyin' isn't better than silence
Floatin', but I feel like I'm dyin'

[Chorus: Jeremy Zucker & Chelsea Cutler]
Still, no matter where I go
At the end of every road
You were good to me
You were good to me, yeah
I know it's easier to run
After everything I've done
You were good to me
You were good to me

[Post-Chorus: Chelsea Cutler]
(Let's get this bread, son)
You were good to me
(Whatever you want)
(Hit me with that again)
You were good to me

[Verse 2: Chelsea Cutler]
Leavin' isn't better than tryin'
Growin', but I'm just growin' tired

[Chorus: Chelsea Cutler & Jeremy Zucker]
Now I'm worried for my soul
And I'm still scared of growin' old
You were good to me
You were good to me, yeah
And I'm so used to lettin' go
But I don't wanna be alone
You were good to me
You were good to me, yeah, oh
You might also like[Bridge: Jeremy Zucker & Chelsea Cutler]
God only knows where our fears go
Hearts I've broke, now my tears flow
You'll see that I'm sorry
'Cause you were good to me
You were good to me

[Outro: Jeremy Zucker & Chelsea Cutler]
And now I'm closin' every door
'Cause I'm sick of wantin' more
You were good to me
You were good to me, yeah
Swear I'm different than before
I won't hurt you anymore
'Cause you were good to me32Embed"
4,drivers license,drivers license,Olivia Rodrigo,Sad,"I got my driver's license last week
Just like we always talked about
'Cause you were so excited for me
To finally drive up to your house
But today, I drove through the suburbs
Crying 'cause you weren't around

[Verse 2]
And you're probably with that blonde girl
Who always made me doubt
She's so much older than me
She's everything I'm insecure about
Yeah, today, I drove through the suburbs
'Cause how could I ever love someone else?

[Chorus]
And I know we weren't perfect, but I've never felt this way for no one
And I just can't imagine how you could be so okay now that I'm gone
Guess you didn't mean what you wrote in that song about me
'Cause you said forever, now I drive alone past your street

[Verse 3]
And all my friends are tired
Of hearing how much I miss you, but
I kinda feel sorry for them
'Cause they'll never know you the way that I do
Yeah, today, I drove through the suburbs
And pictured I was driving home to you
See Olivia Rodrigo LiveGet tickets as low as $112You might also like[Chorus]
And I know we weren't perfect, but I've never felt this way for no one, oh
And I just can't imagine how you could be so okay now that I'm gone
I guess you didn't mean what you wrote in that song about me
'Cause you said forever, now I drive alone past your street

[Bridge]
Red lights, stop signs
I still see your face in the white cars, front yards
Can't drive past the places we used to go to
'Cause I still fuckin' love you, babe (Ooh, ooh-ooh, ooh, ooh-ooh)
Sidewalks we crossed
I still hear your voice in the traffic, we're laughing
Over all the noise
God, I'm so blue, know we're through
But I still fuckin' love you, babe (Ooh, ooh-ooh, ooh, ooh-ooh)

[Chorus]
I know we weren't perfect, but I've never felt this way for no one
And I just can't imagine how you could be so okay now that I'm gone
Guess you didn't mean what you wrote in that song about me
'Cause you said forever, now I drive alone past your street
[Outro]
Yeah, you said forever, now I drive alone past your street379Embed"
5,What Was I Made For? [From The Motion Picture Barbie],What Was I Made For? [From The Motion Picture Barbie],Billie Eilish,Sad,"
• “Worship”
Jon Batiste
• “Not Strong Enough”
boygenius
• “Flowers”
Miley Cyrus
• “What Was I Made For?” [From The Motion Picture ""Barbie""]
Billie Eilish
• “On My Mama”
Victoria Monét
• “Vampire”
Olivia Rodrigo
• “Anti-Hero”
Taylor Swift
• “Kill Bill”
SZAAlbum Of The YearAward to Artist(s) and to Featured Artist(s), Songwriter(s) of new material, Producer(s), Recording Engineer(s), Mixer(s) and Mastering Engineer(s) credited with 20% or more playing time of the album.

• World Music Radio
Jon Batistе
• the record
boygenius
• Endlеss Summer Vacation
Miley Cyrus
