Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0pqnGHJpmpxLKifKRmU6WP,"53XhwfbYqKCa1cC15pYq2q","Believer","Evolve","Imagine Dragons",2017-06-23,204346,86,spotify:user:nr75sd78vmolzvqnzq3zorvc6,2021-03-14T06:06:04Z,"modern rock,pop,rock",0.776,0.78,10,-4.374,0,0.128,0.0622,0,0.081,0.666,124.949,4
6v3KW9xbzN5yKLt9YKDYA2,"7n2wHs1TKAczGzO7Dd2rGr,4nDoRrQiYLoBzwC5BhVJzF","Señorita","Shawn Mendes (Deluxe)","Shawn Mendes,Camila Cabello",2019-06-19,190799,79,spotify:user:nr75sd78vmolzvqnzq3zorvc6,2021-03-14T06:07:56Z,"canadian pop,pop,viral pop,dance pop",0.759,0.548,9,-6.049,0,0.0289,0.0379,0,0.0828,0.75,116.963,4
6ocbgoVGwYJhOv1GgI9NsF,"66CXWjxzNUsdJxJ2JdwvnR","7 rings","thank u, next","Ariana Grande",2019-02-08,178626,81,spotify:user:nr75sd78vmolzvqnzq3zorvc6,2021-03-14T06:09:30Z,"pop",0.777,0.317,1,-10.732,0,0.308,0.591,0,0.0881,0.33,139.848,4
22vgEDb5hykfaTwLuskFGD,"7gOdHgIoIKoe4i9Tta6qdD","Sucker","Happiness Begins","Jonas Brothers",2019-06-07,181026,77,spotify:user:nr75sd78vmolzvqnzq3zorvc6,2021-03-14T06:15:59Z,"boy band,pop",0.842,0.734,1,-5.065,0,0.0588,0.0427,0,0.106,0.952,137.958,4
2Rk4JlNc2TPmZe2af99d45,"06HL4z0CvFAxyc27GXpf02,6eYFryfcEu3QSq59D62wZQ,20JZFwl6HVl6yg8a4H3ZqK","ME! (feat. Brendon Urie of Panic! At The Disco)","Lover","Taylor Swift,Brendon Urie,Panic! At The Disco",2019-08-23,193000,74,spotify:user:nr75sd78vmolzvqnzq3zorvc6,2021-03-14T06:16:06Z,"pop",0.61,0.83,0,-4.105,1,0.0571,0.033,0,0.118,0.728,182.162,4
2BgEsaKNfHUdlh97KmvFyo,"1zNqDE7qDGCsyzJwohVaoX","2002","Speak Your Mind (Deluxe)","Anne-Marie",2018-04-27,186986,77,spotify:user:nr75sd78vmolzvqnzq3zorvc6,2021-03-15T05:27:11Z,"pop",0.697,0.683,1,-2.881,0,0.117,0.0372,0,0.137,0.603,96.133,4
2bT1PH7Cw3J9p3t7nlXCdh,"7n2wHs1TKAczGzO7Dd2rGr","If I Can't Have You","Shawn Mendes (Deluxe)","Shawn Mendes",2019-06-19,191466,71,spotify:user:nr75sd78vmolzvqnzq3zorvc6,2021-03-15T05:34:43Z,"canadian pop,pop,viral pop",0.691,0.823,2,-4.197,1,0.0622,0.489,0,0.134,0.87,123.943,4
4hQ6UGyWQIGJmHSo0J88JW,"0C8ZW7ezQVs4URX5aX7Kqx","Back To You - From 13 Reasons Why – Season 2 Soundtrack","Back To You (From 13 Reasons Why – Season 2 Soundtrack)","Selena Gomez",2018-05-10,207904,70,spotify:user:nr75sd78vmolzvqnzq3zorvc6,2021-03-15T05:37:19Z,"pop,post-teen pop",0.6,0.725,6,-4.866,1,0.0487,0.0933,0.00000187,0.12,0.506,102.056,4
4jbmgIyjGoXjY01XxatOx6,"6jJ0s89eD6GaHleKKya26X,5gCRApTajqwbnHHPbr2Fpi","Dark Horse","PRISM","Katy Perry,Juicy J",2013-01-01,215672,78,spotify:user:nr75sd78vmolzvqnzq3zorvc6,2021-03-15T05:41:35Z,"pop,crunk,memphis hip hop,pop rap,rap,southern hip hop,trap",0.647,0.585,6,-6.123,1,0.0512,0.00314,0,0.165,0.353,131.934,4
27tNWlhdAryQY04Gb2ZhUI,"6jJ0s89eD6GaHleKKya26X","Roar","PRISM","Katy Perry",2013-01-01,223546,77,spotify:user:nr75sd78vmolzvqnzq3zorvc6,2021-03-15T05:43:08Z,"pop",0.671,0.771,7,-4.821,0,0.0316,0.00492,0.00000728,0.354,0.436,90.003,4
6sy3LkhNFjJWlaeSMNwQ62,"5Pwc4xIPtQLFEnJriah9YJ","Counting Stars","Native","OneRepublic",2014-01-01,257840,72,spotify:user:nr75sd78vmolzvqnzq3zorvc6,2021-03-15T05:44:45Z,"piano rock,pop",0.663,0.706,1,-4.972,0,0.0383,0.0654,0,0.115,0.474,122.013,4
1X1DWw2pcNZ8zSub3uhlNz,"3AQRLZ9PuTAozP28Skbq8V,085pc2PYOi8bGKj0PNjekA","Hall of Fame (feat. will.i.am)","#3","The Script,will.i.am",2012-09-10,202533,69,spotify:user:nr75sd78vmolzvqnzq3zorvc6,2021-03-15T09:22:53Z,"celtic rock,pop,dance pop",0.421,0.873,10,-4.343,1,0.0564,0.0654,0,0.123,0.629,84.786,4
2FY7b99s15jUprqC0M5NCT,"53XhwfbYqKCa1cC15pYq2q","Natural","Origins (Deluxe)","Imagine Dragons",2018-11-09,189466,79,spotify:user:nr75sd78vmolzvqnzq3zorvc6,2021-03-16T09:04:12Z,"modern rock,pop,rock",0.704,0.611,2,-6.112,1,0.041,0.217,0,0.0812,0.22,99.994,4
