Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3d8y0t70g7hw2FOWl9Z4Fm,"16oZKvXb6WkQlVAjwo2Wbg","Ophelia","Cleopatra","The Lumineers",2016-04-08,160097,79,spotify:user:,1970-01-01T00:00:00Z,"folk-pop,modern rock,neo mellow,stomp and holler",0.664,0.573,5,-6.519,1,0.0277,0.613,0.000363,0.0857,0.566,76.02,4
7yq4Qj7cqayVTp3FF9CWbm,"10exVja0key0uqUkk6LJRT","Riptide","Dream Your Life Away","Vance Joy",2014-09-08,204280,84,spotify:user:,1970-01-01T00:00:00Z,"folk-pop,modern rock",0.484,0.731,1,-6.694,1,0.0379,0.431,0,0.151,0.51,101.654,4
2iUmqdfGZcHIhS3b9E9EWq,"0RpddSzUHfncUWNJXKOsjy","Everybody Talks","Picture Show","Neon Trees",2012-01-01,177280,79,spotify:user:,1970-01-01T00:00:00Z,"modern rock,neo mellow,pop rock,pov: indie",0.471,0.924,8,-3.906,1,0.0584,0.00301,0,0.313,0.716,154.962,4
1qDrWA6lyx8cLECdZE7TV7,"2AsusXITU8P25dlRNhcAbG,6hk7Yq1DU9QcCCrz9uc0Ti","Somebody That I Used To Know","Making Mirrors","Gotye,Kimbra",2011-01-01,244884,78,spotify:user:,1970-01-01T00:00:00Z,"australian pop,bergen indie,electropop,nz pop",0.865,0.521,0,-6.932,1,0.0371,0.548,0.000115,0.0989,0.748,129.059,4
0qOnSQQF0yzuPWsXrQ9paz,"4IJczjB0fJ04gs4uvP0Fli,4bYPcJP5jwMhSivRcqie2n","Stereo Hearts (feat. Adam Levine)","The Papercut Chronicles II","Gym Class Heroes,Adam Levine",2011-11-11,210960,78,spotify:user:,1970-01-01T00:00:00Z,"dance pop,pop rap,deep talent show",0.646,0.795,9,-3.293,1,0.0976,0.0319,0,0.267,0.796,89.99,4
6RUKPb4LETWmmr3iAEQktW,"69GGBxA162lTqCwzJG5jLp,4gzpq5DPGxSnKTe4SA8HAU","Something Just Like This","Memories...Do Not Open","The Chainsmokers,Coldplay",2017-04-07,247160,87,spotify:user:,1970-01-01T00:00:00Z,"pop,permanent wave",0.617,0.635,11,-6.769,0,0.0317,0.0498,0.0000144,0.164,0.446,103.019,4
5TbzAWWc5eJaANpA9kfGCd,"34v5MVKeQnIo0CWYMbbrPf","Love Me Again","Tribute","John Newman",2013-01-01,239894,76,spotify:user:,1970-01-01T00:00:00Z,"dance pop",0.495,0.894,2,-4.814,0,0.0441,0.00453,0.000596,0.103,0.213,126.03,4
1jEBSDN5vYViJQr78W7jr2,"6VuMaDnrHyPL1p4EHjYLi7","Light Switch","CHARLIE","Charlie Puth",2022-10-06,187703,71,spotify:user:,1970-01-01T00:00:00Z,"pop,viral pop",0.689,0.627,6,-5.692,1,0.308,0.105,0.000321,0.0905,0.905,184.008,4
6v3KW9xbzN5yKLt9YKDYA2,"7n2wHs1TKAczGzO7Dd2rGr,4nDoRrQiYLoBzwC5BhVJzF","Señorita","Shawn Mendes (Deluxe)","Shawn Mendes,Camila Cabello",2019-06-19,190799,79,spotify:user:,1970-01-01T00:00:00Z,"canadian pop,pop,viral pop,dance pop",0.759,0.548,9,-6.049,0,0.0289,0.0379,0,0.0828,0.75,116.963,4
2Zo1PcszsT9WQ0ANntJbID,"74KM79TiuVKeVCqs8QtB0B","Feather","emails i can’t send fwd:","Sabrina Carpenter",2023-03-17,185552,89,spotify:user:,1970-01-01T00:00:00Z,"pop",0.791,0.694,6,-4.332,0,0.0335,0.0736,0.00000175,0.0958,0.826,123.508,4
