Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2qSkIjg1o9h3YT9RAgYN75,"74KM79TiuVKeVCqs8QtB0B","Espresso","Espresso","Sabrina Carpenter",2024-04-12,175459,99,spotify:user:316qjxmqdtb27fp5fer3tlfi5s2m,2024-07-05T15:45:21Z,"pop",0.701,0.76,0,-5.478,1,0.0285,0.107,0.0000654,0.185,0.69,103.969,4
5YqEzk3C5c3UZ1D5fJUlXA,"7qmpXeNz2ojlMl2EEfkeLs,38PzLQE4GW8o7A18oGhi0x","Sunroof","Good Times Go","Nicky Youre,dazy",2023-06-09,163025,84,spotify:user:316qjxmqdtb27fp5fer3tlfi5s2m,2024-07-05T15:45:21Z,"singer-songwriter pop",0.768,0.714,10,-5.11,1,0.0401,0.352,0,0.15,0.842,131.443,4
6JV2JOEocMgcZxYSZelKcc,"31TPClRtHm23RisEBtV3X7","CAN'T STOP THE FEELING! (from DreamWorks Animation's TROLLS)","CAN'T STOP THE FEELING! (from DreamWorks Animation's TROLLS)","Justin Timberlake",2016-05-06,236001,76,spotify:user:316qjxmqdtb27fp5fer3tlfi5s2m,2024-07-05T15:45:21Z,"dance pop,pop",0.666,0.83,0,-5.715,1,0.0751,0.0123,0,0.191,0.702,113.03,4
60nZcImufyMA1MKQY3dcCH,"2RdwBSPQiwcmiDo9kixcl8","Happy - From Despicable Me 2","G I R L","Pharrell Williams",2014-03-03,232720,79,spotify:user:316qjxmqdtb27fp5fer3tlfi5s2m,2024-07-05T15:45:21Z,"dance pop,pop",0.647,0.822,5,-4.662,0,0.183,0.219,0,0.0908,0.962,160.019,4
6N26C3tVDH3PKG0IrCIMSk,"246dkjvS1zLTtiykXe5h60,4oUHIQIBe0LHzYfvXNW4QM","I Had Some Help (Feat. Morgan Wallen)","I Had Some Help","Post Malone,Morgan Wallen",2024-05-10,178205,72,spotify:user:316qjxmqdtb27fp5fer3tlfi5s2m,2024-07-05T15:45:21Z,"dfw rap,melodic rap,pop,rap,contemporary country",0.641,0.856,0,-4.88,1,0.0258,0.00927,0,0.207,0.724,127.985,4
3t7MOVjzXyqT7vPw4eNrAV,"6JL8zeS1NmiOftqZTRgdTz,3aQeKQSyrW4qWr35idm0cy","Been Like This","Been Like This","Meghan Trainor,T-Pain",2024-03-14,145765,72,spotify:user:316qjxmqdtb27fp5fer3tlfi5s2m,2024-07-05T15:45:21Z,"hip pop,pop,dance pop,gangster rap,hip hop,pop rap,r&b,rap,southern hip hop,trap,urban contemporary",0.709,0.712,5,-4.671,0,0.0755,0.235,0,0.314,0.783,120.004,4
5QDLhrAOJJdNAmCTJ8xMyW,"3Nrfpe0tUJi4K4DXYWgMUX","Dynamite","BE","BTS",2020-11-20,199053,79,spotify:user:316qjxmqdtb27fp5fer3tlfi5s2m,2024-07-05T15:45:21Z,"k-pop,k-pop boy group,pop",0.746,0.765,6,-4.41,0,0.0993,0.0112,0,0.0936,0.737,114.044,4
2Zo1PcszsT9WQ0ANntJbID,"74KM79TiuVKeVCqs8QtB0B","Feather","emails i can’t send fwd:","Sabrina Carpenter",2023-03-17,185552,89,spotify:user:316qjxmqdtb27fp5fer3tlfi5s2m,2024-07-05T15:45:21Z,"pop",0.791,0.694,6,-4.332,0,0.0335,0.0736,0.00000175,0.0958,0.826,123.508,4
0QBzMgT7NIeoCYy3sJCof1,"4nDoRrQiYLoBzwC5BhVJzF,6eUKZXaKkcviH0Ku9w2n3V","Bam Bam (feat. Ed Sheeran)","Bam Bam (feat. Ed Sheeran)","Camila Cabello,Ed Sheeran",2022-03-04,206070,72,spotify:user:316qjxmqdtb27fp5fer3tlfi5s2m,2024-07-05T15:45:21Z,"dance pop,pop,singer-songwriter pop,uk pop",0.756,0.697,8,-6.377,1,0.0401,0.182,0,0.333,0.956,94.996,4
2796m8y7tOCTUsTQfjmeI4,"5is5DqPrikZst947JUUy9z,6VlE82AXyZhHEo87D6C1RH","Shape of You","Shape of You","Navagio,Kid On The Block",2022-01-20,157647,42,spotify:user:316qjxmqdtb27fp5fer3tlfi5s2m,2024-07-05T15:45:21Z,"tropical house",0.81,0.636,1,-6.072,0,0.0487,0.303,0,0.131,0.687,101.966,4
