Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
45S5WTQEGOB1VHr1Q4FuPl,"6KImCVD70vtIoJWnq6nGn3","Golden","Fine Line","Harry Styles",2019-12-13,208906,74,spotify:user:,2024-05-30T23:30:44Z,"pop",0.448,0.838,4,-5.257,0,0.0557,0.21,0.000131,0.131,0.254,139.863,4
1tNJrcVe6gwLEiZCtprs1u,"6USv9qhCn6zfxlBQIYJ9qs","3 Nights","Don't Forget About Me, Demos","Dominic Fike",2018-10-16,177666,71,spotify:user:,2024-05-30T23:30:44Z,"alternative pop rock,pov: indie",0.815,0.518,7,-6.594,0,0.0897,0.223,0,0.104,0.877,151.891,4
6AGOKlMZWLCaEJGnaROtF9,"7MPGCB854Qo4alYMOPkBka","Put Your Records On","Put Your Records On","Ritt Momney",2020-04-24,210463,69,spotify:user:,2024-05-30T23:30:44Z,"bedroom pop",0.399,0.491,6,-10.778,0,0.0538,0.0563,0.00089,0.11,0.151,91.066,4
3YJJjQPAbDT7mGpX3WtQ9A,"7tYKF4w9nC0nq9CsPZTHyP","Good Days","Good Days","SZA",2020-12-25,279204,76,spotify:user:,2024-05-30T23:30:44Z,"pop,r&b,rap",0.436,0.655,1,-8.37,0,0.0583,0.499,0.0000081,0.688,0.412,121.002,4
3ffFwRkfTvWJ0sXNYQcUZS,"11wRdbnoYqRddKBrpHt4Ue","Coming Back To Me Good","Coming Back To Me Good","Kasabian",2024-04-12,169568,56,spotify:user:,2024-05-30T23:30:44Z,"britpop,garage rock,leicester indie,modern rock,rock",0.486,0.805,9,-4.435,1,0.0426,0.000741,0,0.288,0.496,123.079,4
6dOtVTDdiauQNBQEDOtlAB,"6qqNVTkY8uBg9cP3Jd7DAH","BIRDS OF A FEATHER","HIT ME HARD AND SOFT","Billie Eilish",2024-05-17,210373,98,spotify:user:,2024-05-30T23:30:44Z,"art pop,pop",0.747,0.507,2,-10.171,1,0.0358,0.2,0.0608,0.117,0.438,104.978,4
6K4t31amVTZDgR3sKmwUJJ,"5INjqkS1o8h1imAzPqGZBb","The Less I Know The Better","Currents","Tame Impala",2015-07-17,216320,84,spotify:user:,2024-05-30T23:30:44Z,"australian psych,modern rock,neo-psychedelic,rock",0.64,0.74,4,-4.083,1,0.0284,0.0115,0.00678,0.167,0.785,116.879,4
68mOSKT4uBkKddEAhlMO61,"52N3KGrTWDRhdQJrgBTofE","Home","Home","Good Neighbours",2024-01-17,157485,77,spotify:user:,2024-05-30T23:30:44Z,"",0.584,0.673,6,-4.444,1,0.0298,0.0296,0.0614,0.121,0.138,77.002,4
51Zw1cKDgkad0CXv23HCMU,"6KImCVD70vtIoJWnq6nGn3","Daylight","Harry's House","Harry Styles",2022-05-20,164533,72,spotify:user:,2024-05-30T23:30:44Z,"pop",0.686,0.445,0,-7.189,1,0.0398,0.484,0.00144,0.175,0.626,145.5,3
1sx0XsWUusUoPstbvokZjP,"2kCO8LXN1usaOPL3iEE28I","AOK","TV","Tai Verdes",2021-05-20,173640,70,spotify:user:,2024-05-30T23:30:44Z,"modern indie pop,singer-songwriter pop",0.731,0.626,11,-6.919,1,0.0805,0.125,0,0.183,0.862,82.488,4
