Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3USxtqRwSYz57Ewm6wWRMp,"4yvcSjfu4PC0CYQyLy4wSq","Heat Waves","Dreamland","Glass Animals",2020-08-07,238805,87,spotify:user:,1970-01-01T00:00:00Z,"gauze pop,indietronica,modern rock,pov: indie,shiver pop",0.761,0.525,11,-6.9,1,0.0944,0.44,0.0000067,0.0921,0.531,80.87,4
2qSkIjg1o9h3YT9RAgYN75,"74KM79TiuVKeVCqs8QtB0B","Espresso","Espresso","Sabrina Carpenter",2024-04-12,175459,99,spotify:user:,1970-01-01T00:00:00Z,"pop",0.701,0.76,0,-5.478,1,0.0285,0.107,0.0000654,0.185,0.69,103.969,4
2K87XMYnUMqLcX3zvtAF4G,"4AK6F7OLvEQ5QYCBNiQWHq","Drag Me Down","Made In The A.M. (Deluxe Edition)","One Direction",2015-11-13,192120,80,spotify:user:,1970-01-01T00:00:00Z,"boy band,pop,post-teen pop,talent show",0.731,0.703,0,-5.672,0,0.0368,0.111,0,0.0657,0.595,138.111,4
2f0pn9DkEJwAzXApnFh5cr,"4qWnlmXWuGv2TtuxtIWlJX","Someone To You","Where The Shadow Ends","BANNERS",2019-10-04,219801,73,spotify:user:,1970-01-01T00:00:00Z,"indie poptimism",0.52,0.903,2,-5.497,1,0.042,0.00517,0,0.254,0.652,74.988,4
7yq4Qj7cqayVTp3FF9CWbm,"10exVja0key0uqUkk6LJRT","Riptide","Dream Your Life Away","Vance Joy",2014-09-08,204280,84,spotify:user:,1970-01-01T00:00:00Z,"folk-pop,modern rock",0.484,0.731,1,-6.694,1,0.0379,0.431,0,0.151,0.51,101.654,4
4DpNNXFMMxQEKl7r0ykkWA,"63yrD80RY3RNEM2YDpUpO8","Play Date","Cry Baby (Deluxe Edition)","Melanie Martinez",2015-08-14,179867,77,spotify:user:,1970-01-01T00:00:00Z,"alt z,electropop,pop",0.68,0.729,5,-5.077,1,0.0475,0.612,0,0.224,0.446,123.97,4
56sxN1yKg1dgOZXBcAHkJG,"6p5JxpTc7USNnBnLzctyd4","Gone, Gone, Gone","The World From The Side Of The Moon","Phillip Phillips",2012-01-01,209693,71,spotify:user:,1970-01-01T00:00:00Z,"folk-pop,neo mellow,pop rock",0.664,0.642,6,-5.961,1,0.038,0.129,0,0.114,0.501,118.006,4
1Y3LN4zO1Edc2EluIoSPJN,"5XKFrudbV4IiuE5WuTPRmT,7o2ZQYM7nTsaVdkXY38UAA","Until I Found You (with Em Beihold) - Em Beihold Version","Until I Found You (Em Beihold Version)","Stephen Sanchez,Em Beihold",2022-04-22,176440,83,spotify:user:,1970-01-01T00:00:00Z,"gen z singer-songwriter,alt z",0.551,0.55,10,-5.339,1,0.0286,0.777,0,0.202,0.342,101.19,3
3jjujdWJ72nww5eGnfs2E7,"6KImCVD70vtIoJWnq6nGn3","Adore You","Fine Line","Harry Styles",2019-12-13,207133,83,spotify:user:,1970-01-01T00:00:00Z,"pop",0.676,0.771,8,-3.675,1,0.0483,0.0237,0.000007,0.102,0.569,99.048,4
1BxfuPKGuaTgP7aM0Bbdwr,"06HL4z0CvFAxyc27GXpf02","Cruel Summer","Lover","Taylor Swift",2019-08-23,178426,92,spotify:user:,1970-01-01T00:00:00Z,"pop",0.552,0.702,9,-5.707,1,0.157,0.117,0.0000206,0.105,0.564,169.994,4
7DnAm9FOTWE3cUvso43HhI,"4npEfmQ6YuiwW1GpUmaq3F","Sweet but Psycho","Heaven & Hell","Ava Max",2020-09-18,187436,81,spotify:user:,1970-01-01T00:00:00Z,"pop",0.72,0.706,1,-4.719,1,0.0473,0.0684,0,0.166,0.62,133.002,4
3eR23VReFzcdmS7TYCrhCe,"23fqKkggKUBHNkbKtXEls4,0C8ZW7ezQVs4URX5aX7Kqx","It Ain't Me (with Selena Gomez)","It Ain't Me (with Selena Gomez)","Kygo,Selena Gomez",2017-02-16,220780,75,spotify:user:,1970-01-01T00:00:00Z,"edm,pop,pop dance,tropical house,post-teen pop",0.64,0.533,0,-6.596,1,0.0706,0.119,0,0.0864,0.515,99.968,4
4hQ6UGyWQIGJmHSo0J88JW,"0C8ZW7ezQVs4URX5aX7Kqx","Back To You - From 13 Reasons Why – Season 2 Soundtrack","Back To You (From 13 Reasons Why – Season 2 Soundtrack)","Selena Gomez",2018-05-10,207904,70,spotify:user:,1970-01-01T00:00:00Z,"pop,post-teen pop",0.6,0.725,6,-4.866,1,0.0487,0.0933,0.00000187,0.12,0.506,102.056,4
3Iba59sFmGhQ4kbCY5L8AX,"5SHxzwjek1Pipl1Yk11UHv","Little Bit of Love","Evering Road (Deluxe)","Tom Grennan",2021-03-12,226268,65,spotify:user:,1970-01-01T00:00:00Z,"uk pop",0.689,0.706,1,-4.48,0,0.0312,0.0833,0,0.105,0.623,106.52,4
6IbnUaczZBT34DhaD6S18F,"6CwfuxIqcltXDGjfZsMd9A","Bubblegum Bitch","Electra Heart (Deluxe)","MARINA",2012-04-27,154666,75,spotify:user:,1970-01-01T00:00:00Z,"metropopolis,pop,pov: indie,uk alternative pop",0.495,0.856,0,-5.123,0,0.0311,0.000219,0,0.103,0.609,158.024,4
6KfoDhO4XUWSbnyKjNp9c4,"4Uc8Dsxct0oMqx0P6i60ea","Maniac","Kid Krow","Conan Gray",2020-03-20,185773,76,spotify:user:,1970-01-01T00:00:00Z,"bedroom pop,pop,pov: indie",0.628,0.639,8,-5.46,1,0.0435,0.00162,0,0.354,0.493,108.045,4
37LNNQNbL1YLyutBG6aWRx,"5Pwc4xIPtQLFEnJriah9YJ","Rescue Me","Human (Deluxe)","OneRepublic",2021-08-27,159650,66,spotify:user:,1970-01-01T00:00:00Z,"piano rock,pop",0.761,0.606,11,-7.742,0,0.0424,0.157,0,0.574,0.646,121.038,4
2ihCaVdNZmnHZWt0fvAM7B,"4dwdTW1Lfiq0cM8nBAqIIz","Little Talks","My Head Is An Animal","Of Monsters and Men",2012-01-01,266600,79,spotify:user:,1970-01-01T00:00:00Z,"folk-pop,metropopolis,modern rock,stomp and holler",0.457,0.757,1,-5.177,1,0.032,0.0206,0,0.146,0.417,102.961,4
213x4gsFDm04hSqIUkg88w,"53XhwfbYqKCa1cC15pYq2q","On Top Of The World","Night Visions","Imagine Dragons",2012-09-04,192280,77,spotify:user:,1970-01-01T00:00:00Z,"modern rock,pop,rock",0.63,0.924,0,-5.589,1,0.145,0.0841,0.00000356,0.084,0.763,100.045,4
0EcQcdcbQeVJn9fknj44Be,"5JZ7CnR6gTvEMKX4g70Amv","I Like Me Better","I met you when I was 18. (the playlist)","Lauv",2018-05-31,197436,79,spotify:user:,1970-01-01T00:00:00Z,"pop",0.753,0.505,9,-7.621,1,0.255,0.534,0.00000258,0.104,0.419,91.972,4
1RidHM9BC4M8DpfSQ6YLJh,"3whuHq0yGx60atvA2RCVRW,6S2OmqARrzebs0tKUEyXyp","Up (feat. Demi Lovato)","Never Been Better (Expanded Edition)","Olly Murs,Demi Lovato",2014-11-24,224293,65,spotify:user:,1970-01-01T00:00:00Z,"dance pop,pop,talent show,uk pop,post-teen pop",0.692,0.831,9,-5.389,1,0.034,0.0146,0,0.103,0.676,114.972,4
6dgUya35uo964z7GZXM07g,"74KM79TiuVKeVCqs8QtB0B","Nonsense","emails i can't send","Sabrina Carpenter",2022-07-15,163648,88,spotify:user:,1970-01-01T00:00:00Z,"pop",0.74,0.697,8,-4.912,1,0.034,0.0268,0,0.224,0.732,138.992,4
0puf9yIluy9W0vpMEUoAnN,"2gsggkzM5R49q6jpPvazou,66CXWjxzNUsdJxJ2JdwvnR,0hCNtLu0JehylgoiP8L4Gh","Bang Bang","Sweet Talker (Deluxe Version)","Jessie J,Ariana Grande,Nicki Minaj",2014-10-10,199386,77,spotify:user:,1970-01-01T00:00:00Z,"dance pop,pop,hip pop,queens hip hop,rap",0.706,0.786,0,-3.417,0,0.091,0.26,0,0.38,0.751,150.028,4
0nrRP2bk19rLc0orkWPQk2,"1vCWHaC5f2uS3yhpwWbIA6","Wake Me Up","True","Avicii",2013-01-01,247426,85,spotify:user:,1970-01-01T00:00:00Z,"dance pop,edm,pop,pop dance",0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,4
5dUFfk2cwD8GiJPS03mYN0,"5BvJzeQpmsdsFp4HGUYUEx","Campus","Vampire Weekend","Vampire Weekend",2008-01-27,176466,56,spotify:user:,1970-01-01T00:00:00Z,"baroque pop,chamber pop,garage rock,indie rock,indietronica,modern rock",0.639,0.704,7,-5.818,1,0.0659,0.22,0.0872,0.0849,0.645,162.983,4
6UelLqGlWMcVH1E5c4H7lY,"6KImCVD70vtIoJWnq6nGn3","Watermelon Sugar","Fine Line","Harry Styles",2019-12-13,174000,87,spotify:user:,1970-01-01T00:00:00Z,"pop",0.548,0.816,0,-4.209,1,0.0465,0.122,0,0.335,0.557,95.39,4
1cOyWWUr3oXJIxY0AjJEx9,"3WGpXCj9YhhfX11TToZcXP","YOUTH","Blue Neighbourhood (Deluxe)","Troye Sivan",2015-12-04,185194,59,spotify:user:,1970-01-01T00:00:00Z,"australian pop,pop,viral pop",0.628,0.737,7,-4.437,1,0.041,0.0638,0,0.0777,0.591,91.505,4
18uwL0vNUanqZH0ro2QcOP,"3gIRvgZssIb9aiirIg0nI3","comethru","summer,","Jeremy Zucker",2018-09-28,181613,73,spotify:user:,1970-01-01T00:00:00Z,"alt z,electropop,pop",0.796,0.178,0,-11.991,1,0.0572,0.607,0,0.623,0.608,93.976,4
3avYqdwHKEq8beXbeWCKqJ,"6jJ0s89eD6GaHleKKya26X","Last Friday Night (T.G.I.F.)","Teenage Dream","Katy Perry",2010-01-01,230733,75,spotify:user:,1970-01-01T00:00:00Z,"pop",0.652,0.81,3,-3.789,0,0.0406,0.00129,0.0000291,0.667,0.732,126.022,4
6v3KW9xbzN5yKLt9YKDYA2,"7n2wHs1TKAczGzO7Dd2rGr,4nDoRrQiYLoBzwC5BhVJzF","Señorita","Shawn Mendes (Deluxe)","Shawn Mendes,Camila Cabello",2019-06-19,190799,79,spotify:user:,1970-01-01T00:00:00Z,"canadian pop,pop,viral pop,dance pop",0.759,0.548,9,-6.049,0,0.0289,0.0379,0,0.0828,0.75,116.963,4
2RNsweBBb1a6tAHXQtt2xH,"5JZ7CnR6gTvEMKX4g70Amv,1zNqDE7qDGCsyzJwohVaoX","fuck, i'm lonely","~how i'm feeling~","Lauv,Anne-Marie",2020-03-06,198973,63,spotify:user:,1970-01-01T00:00:00Z,"pop",0.809,0.547,9,-7.305,1,0.0614,0.452,0,0.054,0.718,94.992,4
2DFi8rwHcVkTTgu7PULhtI,"1dWEYMPtNmvSVaDNLgB6NV","My Type","My Type","Saint Motel",2014-06-17,206393,70,spotify:user:,1970-01-01T00:00:00Z,"la indie,modern alternative rock,modern rock,pov: indie",0.596,0.897,10,-2.94,1,0.0462,0.0641,0.0000524,0.0628,0.578,118,4
0DrFTaAX2srXPkuag35djb,"1Hsdzj7Dlq2I7tHP7501T4","Nice To Meet Ya","Heartbreak Weather","Niall Horan",2020-03-13,158805,62,spotify:user:,1970-01-01T00:00:00Z,"pop",0.591,0.841,4,-4.351,0,0.0304,0.0119,0,0.395,0.392,109.031,4
0GO8y8jQk1PkHzS31d699N,"3kVUvbeRdcrqQ3oHk5hPdx","Tongue Tied","Never Trust a Happy Song","GROUPLOVE",2011-09-02,218013,79,spotify:user:,1970-01-01T00:00:00Z,"indie rock,la indie,modern alternative rock,modern rock,pov: indie",0.56,0.936,3,-5.835,1,0.0439,0.00847,0,0.161,0.371,112.96,4
33KJ2xFYONOlIYDBg6wPx8,"28y6CyJNkGNjJQKrlx4AmN","Personal","Talk To Ya - EP","HRVY",2017-11-30,198040,62,spotify:user:,1970-01-01T00:00:00Z,"pop",0.755,0.536,8,-5.605,1,0.12,0.114,0,0.0282,0.882,138.964,4
