Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0tgVpDi06FyKpA1z0VMD4v,"6eUKZXaKkcviH0Ku9w2n3V","Perfect","÷ (Deluxe)","Ed Sheeran",2017-03-03,263400,85,spotify:user:31ffhpp26rnr2jmzi3grfncrqi4i,2022-05-10T15:03:19Z,"pop,singer-songwriter pop,uk pop",0.599,0.448,8,-6.312,1,0.0232,0.163,0,0.106,0.168,95.05,3
7qiZfU4dY1lWllzX7mPBI3,"6eUKZXaKkcviH0Ku9w2n3V","Shape of You","÷ (Deluxe)","Ed Sheeran",2017-03-03,233712,84,spotify:user:31ffhpp26rnr2jmzi3grfncrqi4i,2022-05-10T15:03:35Z,"pop,singer-songwriter pop,uk pop",0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.931,95.977,4
4vUmTMuQqjdnvlZmAH61Qk,"6eUKZXaKkcviH0Ku9w2n3V,4nDoRrQiYLoBzwC5BhVJzF,4kYSro6naA4h99UJvo89HB","South of the Border (feat. Camila Cabello & Cardi B)","No.6 Collaborations Project","Ed Sheeran,Camila Cabello,Cardi B",2019-07-12,204466,71,spotify:user:31ffhpp26rnr2jmzi3grfncrqi4i,2022-05-10T15:04:28Z,"pop,singer-songwriter pop,uk pop,dance pop,rap",0.857,0.621,9,-6.376,0,0.0825,0.148,0,0.0865,0.668,97.989,4
7npLlaPu9Mfno8hjk5OagD,"04gDigrS5kc9YWfZHwBETP","Girls Like You","Red Pill Blues (Deluxe)","Maroon 5",2018-06-15,215229,67,spotify:user:31ffhpp26rnr2jmzi3grfncrqi4i,2022-05-10T15:07:29Z,"pop",0.604,0.462,0,-7.053,1,0.0614,0.558,0.00000105,0.131,0.378,60.26,4
0TK2YIli7K1leLovkQiNik,"7n2wHs1TKAczGzO7Dd2rGr,4nDoRrQiYLoBzwC5BhVJzF","Señorita","Señorita","Shawn Mendes,Camila Cabello",2019-06-21,190960,75,spotify:user:31ffhpp26rnr2jmzi3grfncrqi4i,2022-05-10T15:08:17Z,"canadian pop,pop,viral pop,dance pop",0.759,0.54,9,-6.039,0,0.0287,0.037,0,0.0945,0.75,116.947,4
4jPy3l0RUwlUI9T5XHBW2m,"6fWVd57NKTalqvmjRd2t8Z,6ASri4ePR7RlsvIQgWPJpS","Mood (feat. iann dior)","El Dorado","24kGoldn,iann dior",2021-03-26,140533,80,spotify:user:31ffhpp26rnr2jmzi3grfncrqi4i,2022-08-02T18:11:03Z,"cali rap,pop rap,melodic rap",0.701,0.716,7,-3.671,0,0.0361,0.174,0,0.324,0.732,91.007,4
1xQ6trAsedVPCdbtDAmk0c,"56mfhUDKa1vec6rSLZV5Eg,07YZf4WDAMNwqr4jfgOZ8y","Savage Love (Laxed - Siren Beat)","Savage Love (Laxed - Siren Beat)","Jawsh 685,Jason Derulo",2020-06-11,171374,71,spotify:user:31ffhpp26rnr2jmzi3grfncrqi4i,2022-08-02T18:21:41Z,"nz pop,dance pop,pop",0.767,0.481,0,-8.52,0,0.0803,0.234,0,0.269,0.761,150.076,4
1x5sYLZiu9r5E43kMlt9f8,"6MDME20pz9RveH9rEXvrOM,1Xylc3o4UrD53lo9CvFvVg","Symphony (feat. Zara Larsson)","Symphony (feat. Zara Larsson)","Clean Bandit,Zara Larsson",2017-03-16,212459,71,spotify:user:31ffhpp26rnr2jmzi3grfncrqi4i,2022-08-02T18:31:24Z,"pop,uk dance,uk funky,scandipop,swedish electropop,swedish pop",0.707,0.629,0,-4.581,0,0.0563,0.259,0.000016,0.138,0.457,122.863,4
017PF4Q3l4DBUiWoXk4OWT,"6M2wZ9GZgrQXHCFfjv46we","Break My Heart","Future Nostalgia","Dua Lipa",2020-03-27,221820,76,spotify:user:31ffhpp26rnr2jmzi3grfncrqi4i,2022-08-02T18:33:47Z,"dance pop,pop,uk pop",0.73,0.729,4,-3.434,0,0.0884,0.167,0.00000139,0.349,0.467,113.011,4
6LsAAHotRLMOHfCsSfYCsz,"7n2wHs1TKAczGzO7Dd2rGr","If I Can't Have You","If I Can't Have You","Shawn Mendes",2019-05-03,190800,65,spotify:user:31ffhpp26rnr2jmzi3grfncrqi4i,2022-08-02T19:14:22Z,"canadian pop,pop,viral pop",0.69,0.809,2,-4.198,1,0.0603,0.524,0,0.147,0.864,123.912,4
31qCy5ZaophVA81wtlwLc4,"1uNFoZAHBGtllmzznpCI3s","Anyone","Anyone","Justin Bieber",2021-01-01,190779,65,spotify:user:31ffhpp26rnr2jmzi3grfncrqi4i,2022-08-02T20:58:23Z,"canadian pop,pop",0.686,0.538,2,-8.026,1,0.0345,0.181,0.00000313,0.113,0.584,115.884,4
35mvY5S1H3J2QZyna3TFe0,"66CXWjxzNUsdJxJ2JdwvnR","positions","Positions","Ariana Grande",2020-10-30,172324,79,spotify:user:31ffhpp26rnr2jmzi3grfncrqi4i,2022-08-02T21:01:57Z,"pop",0.737,0.802,0,-4.771,1,0.0878,0.468,0,0.0931,0.682,144.015,4
0Aqi7ArnBrGblW5T6p2jmD,"7uaIm6Pw7xplS8Dy06V6pT","Falling","Nicotine","Trevor Daniel",2020-03-26,159381,74,spotify:user:31ffhpp26rnr2jmzi3grfncrqi4i,2022-08-02T21:17:06Z,"melodic rap",0.785,0.431,10,-8.756,0,0.0364,0.123,0,0.0887,0.236,127.085,4
