Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3DmW6y7wTEYHJZlLo1r6XJ,"4obzFoKoKRHIphyHzJ35G3","Shower","Shower","Becky G",2014-04-23,206166,78,spotify:user:31rcuedhucao6zhpntkhqtgnd2le,2021-05-24T07:02:12Z,"latin pop,latin viral pop,rap latina,reggaeton,trap latino,urbano latino",0.699,0.529,2,-7.548,1,0.0487,0.0317,0.0000359,0.285,0.121,119.987,4
4Sib57MmYGJzSvkW84jTwh,"06HL4z0CvFAxyc27GXpf02,6eYFryfcEu3QSq59D62wZQ","ME! (feat. Brendon Urie of Panic! At The Disco)","ME!","Taylor Swift,Brendon Urie",2019-04-26,193040,0,spotify:user:31rcuedhucao6zhpntkhqtgnd2le,2021-05-25T08:00:00Z,"pop",0.614,0.839,0,-4.143,1,0.0702,0.0291,0,0.112,0.657,182.123,4
29fRTIKsJhLUJoldM89GZS,"06HL4z0CvFAxyc27GXpf02","You Need To Calm Down","You Need To Calm Down","Taylor Swift",2019-06-14,171386,10,spotify:user:31rcuedhucao6zhpntkhqtgnd2le,2021-05-25T08:09:35Z,"pop",0.768,0.678,2,-5.604,1,0.0505,0.00838,0,0.0596,0.706,85.025,4
6FRLCMO5TUHTexlWo8ym1W,"04gDigrS5kc9YWfZHwBETP,4kYSro6naA4h99UJvo89HB","Girls Like You (feat. Cardi B) - Cardi B Version","Girls Like You (feat. Cardi B)","Maroon 5,Cardi B",2018-05-30,235545,62,spotify:user:31rcuedhucao6zhpntkhqtgnd2le,2021-05-25T08:16:57Z,"pop,rap",0.779,0.541,0,-6.824,1,0.0658,0.566,0,0.13,0.447,124.939,4
6FuGJB290AQMAHTfjOYVaK,"6fWVd57NKTalqvmjRd2t8Z,1uNFoZAHBGtllmzznpCI3s,1vyhD5VmyZ7KMfW5gqLgo5,6ASri4ePR7RlsvIQgWPJpS","Mood (Remix) feat. Justin Bieber, J Balvin & iann dior","Mood (Remix) feat. Justin Bieber, J Balvin & iann dior","24kGoldn,Justin Bieber,J Balvin,iann dior",2020-11-06,192745,60,spotify:user:31rcuedhucao6zhpntkhqtgnd2le,2021-06-02T13:43:39Z,"cali rap,pop rap,canadian pop,pop,reggaeton,reggaeton colombiano,trap latino,urbano latino,melodic rap",0.721,0.745,7,-3.508,0,0.0366,0.151,0.00000124,0.372,0.699,90.988,4
2b8fOow8UzyDFAE27YhOZM,"04gDigrS5kc9YWfZHwBETP","Memories","Memories","Maroon 5",2019-09-20,189486,25,spotify:user:31rcuedhucao6zhpntkhqtgnd2le,2021-06-02T13:52:32Z,"pop",0.764,0.32,11,-7.209,1,0.0546,0.837,0,0.0822,0.575,91.019,4
1x5sYLZiu9r5E43kMlt9f8,"6MDME20pz9RveH9rEXvrOM,1Xylc3o4UrD53lo9CvFvVg","Symphony (feat. Zara Larsson)","Symphony (feat. Zara Larsson)","Clean Bandit,Zara Larsson",2017-03-16,212459,71,spotify:user:31rcuedhucao6zhpntkhqtgnd2le,2021-06-03T07:00:32Z,"pop,uk dance,uk funky,scandipop,swedish electropop,swedish pop",0.707,0.629,0,-4.581,0,0.0563,0.259,0.000016,0.138,0.457,122.863,4
3C0nOe05EIt1390bVABLyN,"2DlGxzQSjYe5N6G9nkYghR,0TnOYISbd1XYRBk9myaseg","On The Floor","Love?","Jennifer Lopez,Pitbull",2011-04-29,284866,78,spotify:user:31rcuedhucao6zhpntkhqtgnd2le,2021-06-03T07:01:49Z,"dance pop,pop,urban contemporary,miami hip hop",0.73,0.777,3,-5.194,0,0.0496,0.105,0.000486,0.0691,0.575,130.003,4
7BPw9h8vCIX94N0rjFU12S,"5WUlDfRSoLAfcVSX1WnrxN","Cheap Thrills","This Is Acting","Sia",2016-02-18,211666,52,spotify:user:31rcuedhucao6zhpntkhqtgnd2le,2021-06-03T07:04:06Z,"pop",0.628,0.698,6,-5.608,0,0.105,0.0472,0.00143,0.0907,0.732,89.976,4
6FvSS3Goz7OC8oCC2eWqe8,"49YbNTLaaAbZHLtDI2aPGL,07YZf4WDAMNwqr4jfgOZ8y","Jalebi Baby (Tesher x Jason Derulo)","Jalebi Baby (Tesher x Jason Derulo)","Tesher,Jason Derulo",2021-05-28,169154,65,spotify:user:31rcuedhucao6zhpntkhqtgnd2le,2021-06-14T13:13:41Z,"dance pop,pop",0.691,0.829,0,-7.179,1,0.0412,0.0289,0,0.254,0.866,93.059,4
2UbVnbE5FH6008mAm6Mmgw,"5Pwc4xIPtQLFEnJriah9YJ","Run","Run","OneRepublic",2021-05-05,169010,68,spotify:user:31rcuedhucao6zhpntkhqtgnd2le,2021-06-14T13:23:04Z,"piano rock,pop",0.682,0.72,11,-8.173,0,0.0381,0.326,0,0.148,0.673,117.003,4
5nujrmhLynf4yMoMtj8AQF,"6M2wZ9GZgrQXHCFfjv46we,4r63FhuTkUYltbVAg5TQnk","Levitating (feat. DaBaby)","Future Nostalgia","Dua Lipa,DaBaby",2020-03-27,203064,81,spotify:user:31rcuedhucao6zhpntkhqtgnd2le,2021-06-14T13:43:16Z,"dance pop,pop,uk pop,hip hop,north carolina hip hop,pop rap,rap,trap",0.702,0.825,6,-3.787,0,0.0601,0.00883,0,0.0674,0.915,102.977,4
7l2tmgUhV7Y2aJHjiszifg,"06HL4z0CvFAxyc27GXpf02","Mr. Perfectly Fine (Taylor’s Version) (From The Vault)","Mr. Perfectly Fine (Taylor’s Version) (From The Vault)","Taylor Swift",2021-04-07,277591,65,spotify:user:31rcuedhucao6zhpntkhqtgnd2le,2021-06-14T14:03:03Z,"pop",0.661,0.819,11,-6.269,0,0.0519,0.167,0,0.0647,0.724,135.937,4
5mpWGq83n0sIgGRopGk5QZ,"5RR0MLwcjc87wjSw2JYdwx,0fEj1fYIQwWj1bzzAto9rp","Wrap Me In Plastic","Wrap Me In Plastic","MOMOLAND,CHROMANCE",2021-02-05,192808,56,spotify:user:31rcuedhucao6zhpntkhqtgnd2le,2021-06-15T13:55:14Z,"k-pop,k-pop girl group,modern indie pop",0.821,0.602,5,-2.916,0,0.0907,0.286,0,0.0862,0.776,179.932,4
2UcK3xgGDxPSyKzKqyPv0s,"64M6ah0SkkRsnPGtGiRAbb","Girl in the Mirror","UglyDolls (Original Motion Picture Soundtrack)","Bebe Rexha",2019-04-26,158066,55,spotify:user:31rcuedhucao6zhpntkhqtgnd2le,2021-06-27T12:20:21Z,"dance pop,pop",0.748,0.69,2,-3.053,1,0.0352,0.0615,0,0.296,0.513,106.966,4
