Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
463CkQjx2Zk1yXoBuierM9,"6M2wZ9GZgrQXHCFfjv46we,4r63FhuTkUYltbVAg5TQnk","Levitating (feat. DaBaby)","Levitating (feat. DaBaby)","Dua Lipa,DaBaby",2020-10-01,203064,67,spotify:user:ellen_kelley,2021-08-12T16:05:59Z,"dance pop,pop,uk pop,hip hop,north carolina hip hop,pop rap,rap,trap",0.702,0.825,6,-3.787,0,0.0601,0.00883,0,0.0674,0.915,102.977,4
4iJyoBOLtHqaGxP12qzhQI,"1uNFoZAHBGtllmzznpCI3s,20wkVLutqVOYrc0kxFs7rA,4fxd5Ee7UefO4CUXgwJ7IP","Peaches (feat. Daniel Caesar & Giveon)","Justice","Justin Bieber,Daniel Caesar,Giveon",2021-03-19,198081,79,spotify:user:ellen_kelley,2021-08-12T16:05:59Z,"canadian pop,pop,canadian contemporary r&b,r&b",0.677,0.696,0,-6.181,1,0.119,0.321,0,0.42,0.464,90.03,4
5dn6QANKbf76pANGjMBida,"1bqxdqvUtPWZri43cKHac8,0ebNdVaOfp6N0oZ1guIxM8","Blueberry Eyes (feat. SUGA of BTS)","Blueberry Eyes (feat. SUGA of BTS)","MAX,SUGA",2020-09-15,172244,57,spotify:user:ellen_kelley,2021-08-12T16:05:59Z,"singer-songwriter pop,teen pop,viral pop,k-pop",0.746,0.611,0,-7.034,0,0.101,0.454,0.000922,0.133,0.411,149.967,4
748mdHapucXQri7IAO8yFK,"5cj0lLjcoR7YOSnhnX0Po5,7tYKF4w9nC0nq9CsPZTHyP","Kiss Me More (feat. SZA)","Kiss Me More (feat. SZA)","Doja Cat,SZA",2021-04-09,208866,73,spotify:user:ellen_kelley,2021-08-12T16:05:59Z,"dance pop,pop,r&b,rap",0.762,0.701,8,-3.541,1,0.0286,0.235,0.000158,0.123,0.742,110.968,4
6OGogr19zPTM4BALXuMQpF,"1Xyo4u8uXC1ZmMpatF05PJ","Take My Breath - Single Version","Take My Breath","The Weeknd",2021-08-06,220196,62,spotify:user:ellen_kelley,2021-08-12T16:05:59Z,"canadian contemporary r&b,canadian pop,pop",0.748,0.74,8,-6.01,1,0.0484,0.0107,0.0000218,0.101,0.518,121.004,4
6JqYhSdTE4WbQrMXxPH5cD,"25pd339V2rRJo84USlcSRP","Honeypie","Honeypie","JAWNY",2019-04-25,135521,0,spotify:user:ellen_kelley,2021-08-12T16:05:59Z,"bedroom pop,pov: indie",0.742,0.678,5,-4.605,0,0.192,0.0698,0,0.151,0.927,115.05,4
6UelLqGlWMcVH1E5c4H7lY,"6KImCVD70vtIoJWnq6nGn3","Watermelon Sugar","Fine Line","Harry Styles",2019-12-13,174000,87,spotify:user:ellen_kelley,2021-08-12T16:05:59Z,"pop",0.548,0.816,0,-4.209,1,0.0465,0.122,0,0.335,0.557,95.39,4
73M0rMVx5CWE8M4uATSsto,"7oPxPZSk7y5q0fhzpmX5Gi","seaside_demo","seaside_demo","SEB",2021-05-17,132000,0,spotify:user:ellen_kelley,2021-08-12T16:05:59Z,"",0.706,0.824,0,-7.959,1,0.0694,0.355,0.000133,0.111,0.86,94.98,4
1fah1uAs7HeTYDlNftKr3K,"7MPGCB854Qo4alYMOPkBka","Put Your Records On","Put Your Records On","Ritt Momney",2020-04-24,210463,0,spotify:user:ellen_kelley,2021-08-12T16:05:59Z,"bedroom pop",0.399,0.492,6,-10.777,0,0.0538,0.058,0.00101,0.11,0.159,91.066,4
4qu63nuBpdn0qHUHuObEj1,"64KEffDW9EtZ1y2vBYgq8T,7gOdHgIoIKoe4i9Tta6qdD","Leave Before You Love Me (with Jonas Brothers)","Leave Before You Love Me","Marshmello,Jonas Brothers",2021-05-21,154983,79,spotify:user:ellen_kelley,2021-08-12T16:10:08Z,"brostep,edm,pop,progressive electro house,boy band",0.721,0.738,7,-4.77,1,0.0403,0.00226,0.00000441,0.118,0.637,119.976,4
0t1kP63rueHleOhQkYSXFY,"3Nrfpe0tUJi4K4DXYWgMUX","Dynamite","Dynamite (DayTime Version)","BTS",2020-08-28,199053,2,spotify:user:ellen_kelley,2021-08-12T17:37:55Z,"k-pop,k-pop boy group,pop",0.746,0.765,6,-4.41,0,0.0993,0.0112,0,0.0936,0.737,114.044,4
6E7jAJN2e3znSHyPCdQqx8,"0XATRDCYuuGhk0oE7C0o5G","gogobebe","White Wind","MAMAMOO",2019-03-14,195855,56,spotify:user:ellen_kelley,2021-08-12T17:38:10Z,"k-pop,k-pop girl group",0.704,0.787,0,-3.114,1,0.082,0.114,0,0.228,0.707,96.929,4
6tCssnvTUREcperDOUTqvA,"2KC9Qb60EaY0kW4eH68vr3","WANNABE","It'z Me","ITZY",2020-03-09,191242,0,spotify:user:ellen_kelley,2021-08-12T17:38:12Z,"k-pop,k-pop girl group",0.809,0.911,6,-4.41,0,0.0617,0.00795,0.000179,0.181,0.64,122.035,4
