Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0ufvZpkXu5z9ZEcBBYJl3G,"6qqNVTkY8uBg9cP3Jd7DAH","watch","dont smile at me","Billie Eilish",2017-07-21,177523,0,spotify:user:grace.sings,2018-01-22T21:24:18Z,"art pop,pop",0.446,0.604,0,-9.032,1,0.233,0.306,0.00333,0.11,0.372,164.984,4
3JKhmIlixlYwFLzrkc6drb,"6LqNN22kT3074XbTVUrhzX","Learn To Let Go","Learn To Let Go","Kesha",2017-07-27,217546,0,spotify:user:grace.sings,2018-01-22T21:25:25Z,"dance pop,pop",0.515,0.847,5,-2.951,1,0.039,0.00369,0.0000666,0.293,0.645,168.104,4
2ekn2ttSfGqwhhate0LSR0,"6M2wZ9GZgrQXHCFfjv46we","New Rules","Dua Lipa (Deluxe)","Dua Lipa",2017-06-02,209320,80,spotify:user:grace.sings,2018-01-22T21:25:33Z,"dance pop,pop,uk pop",0.762,0.7,9,-6.021,0,0.0694,0.00261,0.0000156,0.153,0.608,116.073,4
6f5TuB9WtbA1g49A4DcMQ4,"66CXWjxzNUsdJxJ2JdwvnR","Be Alright","Dangerous Woman","Ariana Grande",2016-05-20,179293,0,spotify:user:grace.sings,2018-01-22T21:27:38Z,"pop",0.813,0.456,1,-7.667,0,0.0684,0.169,0.00000286,0.105,0.587,108.801,4
6YgV0EF8xJMZz0Zm6BTaT4,"04gDigrS5kc9YWfZHwBETP","This Love","Songs About Jane","Maroon 5",2002-06-25,206200,60,spotify:user:grace.sings,2018-01-22T21:32:43Z,"pop",0.712,0.862,5,-4.612,0,0.0378,0.0519,0,0.093,0.808,95.051,4
6nmVeODcBpsGKx5RPv003D,"5Pwc4xIPtQLFEnJriah9YJ","Feel Again","Feel Again","OneRepublic",2012-01-01,185613,0,spotify:user:grace.sings,2018-01-22T21:28:46Z,"piano rock,pop",0.474,0.818,7,-7.513,0,0.0541,0.0243,0.00000356,0.105,0.353,139.933,4
6golelYKuy85o3u0cxIxFK,"4Ui2kfOqGujY81UcPrb5KE","The Wire","Days Are Gone","HAIM",2013-09-30,245293,56,spotify:user:grace.sings,2018-01-22T21:29:33Z,"indietronica,metropopolis",0.547,0.635,2,-5.569,1,0.137,0.0127,0.00000501,0.0585,0.525,113.678,4
5HDPtsnyb3maFmPL8LLUTG,"6eUKZXaKkcviH0Ku9w2n3V","New Man","÷ (Deluxe)","Ed Sheeran",2017-03-03,189280,59,spotify:user:grace.sings,2018-01-22T21:31:57Z,"pop,singer-songwriter pop,uk pop",0.78,0.745,7,-3.97,1,0.145,0.0559,0,0.0595,0.862,94.026,4
4urcG6Nfubqsuqy3juMjBi,"4M0DLz8te9Q1lNIXBBwvfG","Brokenhearted","Hello","Karmin",2012-05-07,227146,59,spotify:user:grace.sings,2018-01-22T21:35:27Z,"post-teen pop,viral pop",0.765,0.765,1,-2.732,0,0.0585,0.00765,0.00000382,0.0527,0.886,120.001,4
5cSmRaAcl4JXXKNgtNJop7,"04gDigrS5kc9YWfZHwBETP","Misery","Misery","Maroon 5",2010-01-01,216253,0,spotify:user:grace.sings,2018-01-22T21:35:42Z,"pop",0.708,0.814,4,-4.845,0,0.0439,0.000331,0,0.0787,0.77,102.967,4
