Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1R0a2iXumgCiFb7HEZ7gUE,"06HL4z0CvFAxyc27GXpf02","Don’t Blame Me","reputation","Taylor Swift",2017-11-10,236413,84,spotify:user:zo9mzq8t2t8myxeuvpaxt7z3v,2024-01-09T23:45:53Z,"pop",0.615,0.534,9,-6.719,0,0.0386,0.106,0.0000176,0.0607,0.193,135.917,4
3U5JVgI2x4rDyHGObzJfNf,"7o95ZoZt5ZYn31e9z1Hc0a","Unwritten","Unwritten","Natasha Bedingfield",2004-08-30,259333,87,spotify:user:zo9mzq8t2t8myxeuvpaxt7z3v,2024-01-09T23:46:00Z,"dance pop,pop,post-teen pop",0.706,0.8,5,-6.333,1,0.0399,0.00584,0,0.0822,0.629,100.011,4
2tUBqZG2AbRi7Q0BIrVrEj,"6XpaIBNiVzIetEPCWDvAFP","I Wanna Dance with Somebody (Who Loves Me)","Whitney","Whitney Houston",1987-06-02,291293,83,spotify:user:zo9mzq8t2t8myxeuvpaxt7z3v,2024-01-09T23:46:03Z,"dance pop,pop",0.709,0.824,1,-8.824,1,0.0453,0.207,0.000307,0.0888,0.867,118.818,4
2ENexcMEMsYk0rVJigVD3i,"5pKCCKE2ajJHZ9KAiaK11H","Only Girl (In The World)","Loud (Japan Version)","Rihanna",2010-01-01,235493,83,spotify:user:zo9mzq8t2t8myxeuvpaxt7z3v,2024-01-09T23:46:53Z,"barbadian pop,pop,urban contemporary",0.789,0.706,11,-4.233,0,0.0429,0.112,0.0000171,0.0586,0.638,125.918,4
285hMzLhJwHVLe9QT9qilk,"3AQRLZ9PuTAozP28Skbq8V","Breakeven","The Script","The Script",2008-07-14,261426,77,spotify:user:zo9mzq8t2t8myxeuvpaxt7z3v,2024-01-09T23:47:05Z,"celtic rock,pop",0.63,0.696,10,-4.501,1,0.0242,0.144,0,0.0835,0.491,94.034,4
3avYqdwHKEq8beXbeWCKqJ,"6jJ0s89eD6GaHleKKya26X","Last Friday Night (T.G.I.F.)","Teenage Dream","Katy Perry",2010-01-01,230733,75,spotify:user:zo9mzq8t2t8myxeuvpaxt7z3v,2024-01-10T01:51:36Z,"pop",0.652,0.81,3,-3.789,0,0.0406,0.00129,0.0000291,0.667,0.732,126.022,4
5jzKL4BDMClWqRguW5qZvh,"6jJ0s89eD6GaHleKKya26X","Teenage Dream","Teenage Dream","Katy Perry",2010-01-01,227741,75,spotify:user:zo9mzq8t2t8myxeuvpaxt7z3v,2024-01-10T01:51:39Z,"pop",0.719,0.798,10,-4.582,1,0.0361,0.0162,0.00000234,0.134,0.591,120.012,4
6FB3v4YcR57y4tXFcdxI1E,"06HL4z0CvFAxyc27GXpf02","I Knew You Were Trouble.","Red (Big Machine Radio Release Special)","Taylor Swift",2012-10-22,219720,76,spotify:user:zo9mzq8t2t8myxeuvpaxt7z3v,2024-01-10T01:51:42Z,"pop",0.622,0.469,3,-6.798,0,0.0363,0.00454,0.00000225,0.0335,0.679,77.019,4
0VwNdo84DaVYLIkbVO86ND,"06HL4z0CvFAxyc27GXpf02","We Are Never Ever Getting Back Together","Red (Big Machine Radio Release Special)","Taylor Swift",2012-10-22,193146,70,spotify:user:zo9mzq8t2t8myxeuvpaxt7z3v,2024-01-10T01:51:45Z,"pop",0.628,0.676,7,-5.911,1,0.0916,0.00957,0.0000265,0.121,0.75,85.984,4
1uigwk5hNV84zRd5YQQRTk,"7o95ZoZt5ZYn31e9z1Hc0a","Pocketful of Sunshine","Pocketful Of Sunshine","Natasha Bedingfield",2007-04-27,202906,74,spotify:user:zo9mzq8t2t8myxeuvpaxt7z3v,2024-01-10T01:51:57Z,"dance pop,pop,post-teen pop",0.721,0.88,9,-3.896,0,0.0454,0.191,0,0.0769,0.655,110.021,4
1Jo0Zg7XlrA6z0mFTZVdkn,"5pKCCKE2ajJHZ9KAiaK11H","Don't Stop The Music","Good Girl Gone Bad","Rihanna",2007-01-01,267080,70,spotify:user:zo9mzq8t2t8myxeuvpaxt7z3v,2024-01-10T01:52:10Z,"barbadian pop,pop,urban contemporary",0.834,0.669,6,-5.582,0,0.0637,0.0341,0.0000718,0.0535,0.547,122.669,4
0O45fw2L5vsWpdsOdXwNAR,"31TPClRtHm23RisEBtV3X7,5Y5TRrQiqgUO4S36tzjIRZ","SexyBack (feat. Timbaland)","FutureSex/LoveSounds","Justin Timberlake,Timbaland",2006-09-12,242733,79,spotify:user:zo9mzq8t2t8myxeuvpaxt7z3v,2024-01-10T01:52:16Z,"dance pop,pop,pop rap",0.967,0.583,7,-5.562,0,0.0789,0.0584,0,0.0519,0.964,117,4
3IQF4xCQUPicbA4hWfTxPo,"5Pwc4xIPtQLFEnJriah9YJ","I Lived","Native","OneRepublic",2013-01-01,234546,74,spotify:user:zo9mzq8t2t8myxeuvpaxt7z3v,2024-01-10T01:52:25Z,"piano rock,pop",0.593,0.85,9,-5.456,1,0.0447,0.0678,0,0.271,0.344,119.984,4
1mea3bSkSGXuIRvnydlB5b,"4gzpq5DPGxSnKTe4SA8HAU","Viva La Vida","Viva La Vida or Death and All His Friends","Coldplay",2008-05-26,242373,86,spotify:user:zo9mzq8t2t8myxeuvpaxt7z3v,2024-01-10T01:52:29Z,"permanent wave,pop",0.486,0.617,5,-7.115,0,0.0287,0.0954,0.00000323,0.109,0.417,138.015,4
0pwYLVXVknPSGUQb39cePC,"1uNFoZAHBGtllmzznpCI3s,0c173mlxpT3dSFRgMO8XPh","As Long As You Love Me","Believe (Deluxe Edition)","Justin Bieber,Big Sean",2012-06-15,229466,64,spotify:user:zo9mzq8t2t8myxeuvpaxt7z3v,2024-01-10T01:52:37Z,"canadian pop,pop,detroit hip hop,hip hop,pop rap,r&b,rap,southern hip hop,trap",0.571,0.873,0,-3.382,0,0.1,0.0811,0,0.361,0.613,139.691,4
6epn3r7S14KUqlReYr77hA,"1uNFoZAHBGtllmzznpCI3s,3ipn9JLAPI5GUEo4y4jcoi","Baby","My World 2.0","Justin Bieber,Ludacris",2010-01-01,214240,80,spotify:user:zo9mzq8t2t8myxeuvpaxt7z3v,2024-01-10T01:52:48Z,"canadian pop,pop,atl hip hop,dance pop,dirty south rap,hip hop,old school atlanta hip hop,pop rap,rap,southern hip hop,trap",0.728,0.859,5,-5.237,0,0.137,0.0401,0,0.111,0.535,65.043,4
69ghzc538EQSVon2Gm3wrr,"1uNFoZAHBGtllmzznpCI3s","One Less Lonely Girl","My World","Justin Bieber",2009-01-01,229106,66,spotify:user:zo9mzq8t2t8myxeuvpaxt7z3v,2024-01-10T01:52:53Z,"canadian pop,pop",0.555,0.75,4,-4.424,1,0.204,0.159,0,0.274,0.726,86.84,4
1P17dC1amhFzptugyAO7Il,"06HL4z0CvFAxyc27GXpf02","Look What You Made Me Do","reputation","Taylor Swift",2017-11-10,211853,80,spotify:user:zo9mzq8t2t8myxeuvpaxt7z3v,2024-01-10T01:58:35Z,"pop",0.766,0.709,9,-6.471,0,0.123,0.204,0.0000141,0.126,0.506,128.07,4
0KKkJNfGyhkQ5aFogxQAPU,"0du5cEVh5yTK9QJze8zA0C","That's What I Like","24K Magic","Bruno Mars",2016-11-17,206693,84,spotify:user:zo9mzq8t2t8myxeuvpaxt7z3v,2024-01-10T01:58:43Z,"dance pop,pop",0.853,0.56,1,-4.961,1,0.0406,0.013,0,0.0944,0.86,134.066,4
0Hf4aIJpsN4Os2f0y0VqWl,"0TnOYISbd1XYRBk9myaseg,1l7ZsJRRS8wlW3WfJfPfNS","Feel This Moment (feat. Christina Aguilera)","Global Warming: Meltdown (Deluxe Version)","Pitbull,Christina Aguilera",2012,229506,79,spotify:user:zo9mzq8t2t8myxeuvpaxt7z3v,2024-01-10T01:58:51Z,"dance pop,miami hip hop,pop",0.673,0.758,7,-3.632,1,0.158,0.039,0,0.341,0.542,135.956,4
0NTMtAO2BV4tnGvw9EgBVq,"5pKCCKE2ajJHZ9KAiaK11H","Bitch Better Have My Money","Bitch Better Have My Money","Rihanna",2015-03-26,219305,73,spotify:user:zo9mzq8t2t8myxeuvpaxt7z3v,2024-01-10T01:59:03Z,"barbadian pop,pop,urban contemporary",0.781,0.728,1,-4.981,1,0.0621,0.0509,0.00000194,0.257,0.395,102.99,4
