Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3USxtqRwSYz57Ewm6wWRMp,"4yvcSjfu4PC0CYQyLy4wSq","Heat Waves","Dreamland","Glass Animals",2020-08-07,238805,87,spotify:user:31ctj7fdm2jez6nssuzg4vspdehm,2022-06-24T14:15:36Z,"gauze pop,indietronica,modern rock,pov: indie,shiver pop",0.761,0.525,11,-6.9,1,0.0944,0.44,0.0000067,0.0921,0.531,80.87,4
4h9wh7iOZ0GGn8QVp4RAOB,"5Pwc4xIPtQLFEnJriah9YJ","I Ain't Worried","I Ain’t Worried (Music From The Motion Picture Top Gun: Maverick)","OneRepublic",2022-05-13,148485,87,spotify:user:31ctj7fdm2jez6nssuzg4vspdehm,2022-06-24T14:15:47Z,"piano rock,pop",0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,4
5r43qanLhUCdBj8HN3fa6B,"5Pwc4xIPtQLFEnJriah9YJ","Sunshine","Sunshine","OneRepublic",2021-11-10,163854,77,spotify:user:31ctj7fdm2jez6nssuzg4vspdehm,2022-06-24T14:15:56Z,"piano rock,pop",0.697,0.875,5,-4.621,1,0.034,0.137,0,0.28,0.774,140.069,4
4AoZkg62rwaswC33mGS2mo,"6eUKZXaKkcviH0Ku9w2n3V","Bad Habits","Bad Habits (Acoustic Version)","Ed Sheeran",2021-07-09,230746,43,spotify:user:31ctj7fdm2jez6nssuzg4vspdehm,2022-06-24T14:16:08Z,"pop,singer-songwriter pop,uk pop",0.807,0.893,11,-3.745,0,0.0347,0.0451,0.0000279,0.366,0.537,126.011,4
0ADG9OgdVTL7fgREP75BrZ,"1Xylc3o4UrD53lo9CvFvVg","Ain't My Fault","So Good","Zara Larsson",2017-03-17,224030,67,spotify:user:31ctj7fdm2jez6nssuzg4vspdehm,2022-06-24T14:16:14Z,"pop,scandipop,swedish electropop,swedish pop",0.578,0.782,6,-4.825,0,0.0295,0.00778,0,0.286,0.355,141.163,4
1rfofaqEpACxVEHIZBJe6W,"4nDoRrQiYLoBzwC5BhVJzF,50co4Is1HCEo8bhOyUWKpn","Havana (feat. Young Thug)","Camila","Camila Cabello,Young Thug",2018-01-12,217306,80,spotify:user:31ctj7fdm2jez6nssuzg4vspdehm,2022-09-12T22:33:44Z,"dance pop,pop,atl hip hop,atl trap,gangster rap,melodic rap,rap,trap",0.765,0.523,2,-4.333,1,0.03,0.184,0.0000356,0.132,0.394,104.988,4
2xJCMIJfcNYDc5iR0sAm2O,"6M2wZ9GZgrQXHCFfjv46we","New Rules","Dua Lipa (Complete Edition)","Dua Lipa",2015,209320,60,spotify:user:31ctj7fdm2jez6nssuzg4vspdehm,2022-09-12T22:33:57Z,"dance pop,pop,uk pop",0.762,0.7,9,-6.021,0,0.0694,0.00261,0.0000156,0.153,0.608,116.073,4
1i1fxkWeaMmKEB4T7zqbzK,"69GGBxA162lTqCwzJG5jLp,6Dd3NScHWwnW6obMFbl1BH","Don't Let Me Down","Don't Let Me Down","The Chainsmokers,Daya",2016-02-05,208373,80,spotify:user:31ctj7fdm2jez6nssuzg4vspdehm,2022-06-24T14:16:25Z,"pop,alt z",0.533,0.869,11,-5.093,1,0.173,0.156,0.00538,0.136,0.425,159.805,4
0lHAMNU8RGiIObScrsRgmP,"1Cs0zKBU1kc0i8ypK3B9ai,5WUlDfRSoLAfcVSX1WnrxN","Titanium (feat. Sia)","Nothing but the Beat 2.0","David Guetta,Sia",2011-08-24,245040,69,spotify:user:31ctj7fdm2jez6nssuzg4vspdehm,2022-06-24T14:16:42Z,"big room,dance pop,edm,pop,pop dance",0.604,0.788,0,-3.673,0,0.103,0.0678,0.153,0.127,0.301,126.06,4
27SdWb2rFzO6GWiYDBTD9j,"5WUlDfRSoLAfcVSX1WnrxN","Cheap Thrills","This Is Acting","Sia",2016-01-29,211666,74,spotify:user:31ctj7fdm2jez6nssuzg4vspdehm,2022-09-12T22:34:13Z,"pop",0.628,0.698,6,-5.608,0,0.105,0.0472,0.00143,0.0907,0.732,89.976,4
