Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2P91MQbaiQOfbiz9VqhqKQ,"5JZ7CnR6gTvEMKX4g70Amv","I Like Me Better","I met you when I was 18. (the playlist)","Lauv",2018-05-31,197436,5,spotify:user:31ik7vcdgxcemrvigsxdr5ssxaqi,2022-02-11T10:00:06Z,"pop",0.752,0.505,9,-7.621,1,0.253,0.535,0.00000255,0.104,0.419,91.97,4
2bT1PH7Cw3J9p3t7nlXCdh,"7n2wHs1TKAczGzO7Dd2rGr","If I Can't Have You","Shawn Mendes (Deluxe)","Shawn Mendes",2019-06-19,191466,71,spotify:user:31ik7vcdgxcemrvigsxdr5ssxaqi,2022-02-11T10:01:05Z,"canadian pop,pop,viral pop",0.691,0.823,2,-4.197,1,0.0622,0.489,0,0.134,0.87,123.943,4
3EWVRpOcVLY74B7claEX65,"6aX6KqXgEcARRHwvWxHcFW","See You","It’s Never Really Over (Expanded)","Johnny Orlando",2020-12-22,175145,46,spotify:user:31ik7vcdgxcemrvigsxdr5ssxaqi,2022-02-11T10:16:09Z,"canadian pop,singer-songwriter pop,social media pop",0.667,0.729,6,-4.708,1,0.038,0.224,0.000152,0.0788,0.316,92.966,4
4zRZAmBQP8vhNPf9i9opXt,"2jnIB6XdLvnJUeNTy5A0J2","8 Letters","8 Letters","Why Don't We",2018-08-31,190026,72,spotify:user:31ik7vcdgxcemrvigsxdr5ssxaqi,2022-02-11T10:07:55Z,"boy band,pop",0.607,0.478,1,-5.702,0,0.031,0.649,0,0.0928,0.255,88.979,4
18uwL0vNUanqZH0ro2QcOP,"3gIRvgZssIb9aiirIg0nI3","comethru","summer,","Jeremy Zucker",2018-09-28,181613,73,spotify:user:31ik7vcdgxcemrvigsxdr5ssxaqi,2022-02-11T10:06:40Z,"alt z,electropop,pop",0.796,0.178,0,-11.991,1,0.0572,0.607,0,0.623,0.608,93.976,4
1ZLrDPgR7mvuTco3rQK8Pk,"72nLe76yBFSlP6VBzME358,6mU8ucezzms5I2kNH6HNlu,20gsENnposVs2I4rQ5kvrf","Way Back Home (feat. Conor Maynard) - Sam Feldt Edit","Way Back Home (feat. Conor Maynard) [Sam Feldt Edit]","SHAUN,Conor Maynard,Sam Feldt",2018-12-21,192452,67,spotify:user:31ik7vcdgxcemrvigsxdr5ssxaqi,2022-02-11T10:02:26Z,"k-pop,post-teen pop,talent show,uk pop,viral pop,edm,pop dance,progressive electro house,tropical house",0.737,0.747,10,-4.818,1,0.0323,0.269,0,0.219,0.447,105.943,4
6mQLN3zRtAp6ovjusyYKrV,"4IWBUUAFIplrNtaOHcJPRM,1zNqDE7qDGCsyzJwohVaoX","Rewrite The Stars (with James Arthur & Anne-Marie)","Rewrite The Stars (with James Arthur & Anne-Marie)","James Arthur,Anne-Marie",2018-10-25,218293,77,spotify:user:31ik7vcdgxcemrvigsxdr5ssxaqi,2022-02-11T10:02:42Z,"pop,talent show,uk pop",0.67,0.743,10,-4.993,1,0.0393,0.237,0,0.465,0.571,125.944,4
3wuR0YSNdT9rgWfFi1lctv,"28y6CyJNkGNjJQKrlx4AmN","Million Ways","Million Ways","HRVY",2019-11-08,169887,51,spotify:user:31ik7vcdgxcemrvigsxdr5ssxaqi,2022-02-11T10:02:52Z,"pop",0.645,0.803,6,-4.819,1,0.034,0.0312,0,0.13,0.471,106.03,4
6F93Rq40Q5n2gaorQoq98B,"1pqYQmeqnqQU7X3DbuA7So","I Want You","I Want You","Daniel Skye",2018-09-14,188430,30,spotify:user:31ik7vcdgxcemrvigsxdr5ssxaqi,2022-02-11T10:18:48Z,"teen pop",0.793,0.697,0,-5.528,0,0.0692,0.09,0.0000214,0.235,0.562,109.995,4
21TcDbGosp7w9YhTjOszgA,"7n2wHs1TKAczGzO7Dd2rGr","Imagination","Handwritten (Deluxe)","Shawn Mendes",2015-04-14,217773,69,spotify:user:31ik7vcdgxcemrvigsxdr5ssxaqi,2022-02-11T10:03:49Z,"canadian pop,pop,viral pop",0.64,0.455,0,-5.942,1,0.0247,0.0743,0,0.0694,0.333,89.948,4
0PKjvdyNNzkmhtBR4vBsrT,"28y6CyJNkGNjJQKrlx4AmN","ME BECAUSE OF YOU","ME BECAUSE OF YOU","HRVY",2020-02-14,215946,42,spotify:user:31ik7vcdgxcemrvigsxdr5ssxaqi,2022-02-11T10:05:00Z,"pop",0.605,0.747,10,-6.562,1,0.0807,0.0071,0,0.187,0.187,92.855,4
4v7DgEMw6EvYyuQ4eWFD9l,"6aX6KqXgEcARRHwvWxHcFW,5pWUVnrc1y0FpWZ6VCy0Hg","What If (I Told You I Like You)","What If (I Told You I Like You)","Johnny Orlando,kenzie",2018-05-18,219186,61,spotify:user:31ik7vcdgxcemrvigsxdr5ssxaqi,2022-02-11T10:06:58Z,"canadian pop,singer-songwriter pop,social media pop",0.735,0.584,1,-5.047,1,0.14,0.189,0,0.125,0.395,93.016,4
47GyYwSDBMydOfZWazUbZP,"6psCCMHymYfQy6VvYRr6cs,75XmUUmisDLBgo9ITwURcR","You Set My World On Fire","Blogilates Summer Sweat Mix","Loving Caliber,Selestine",2017-07-04,202089,47,spotify:user:31ik7vcdgxcemrvigsxdr5ssxaqi,2022-02-11T10:17:36Z,"scandipop",0.559,0.287,11,-8.436,1,0.0361,0.93,0,0.112,0.466,135.798,4
1IhHi1fQ5bFvpS0HRlYXqI,"0znpFLuaey34oJTE1jHSnT","Best Damn Thing","Backwards","Alexander Stewart",2020-09-04,230569,0,spotify:user:31ik7vcdgxcemrvigsxdr5ssxaqi,2022-02-11T10:08:27Z,"singer-songwriter pop",0.591,0.75,6,-4.177,1,0.0399,0.127,0,0.122,0.812,93.866,4
5iFwAOB2TFkPJk8sMlxP8g,"4vxaQs6vK54nK89J1VtLex","Make You Mine","Make You Mine","PUBLIC",2019-08-09,232906,71,spotify:user:31ik7vcdgxcemrvigsxdr5ssxaqi,2022-02-11T10:08:30Z,"indie rockism",0.606,0.799,9,-4.452,1,0.0261,0.0128,0,0.15,0.638,103.014,4
2mqy0iBKlV55HiAS0BewA3,"1hQJPaVggsV0YMpTlioQWG","In Betweenin'","Chapter 1: In Betweenin'","AUSTN",2019-05-17,192045,24,spotify:user:31ik7vcdgxcemrvigsxdr5ssxaqi,2022-02-11T10:10:03Z,"",0.705,0.824,2,-4.825,1,0.0347,0.18,0,0.0901,0.925,146.999,4
0Qdpiga8g5PFuvyvqB5U2k,"2jrBiKykLqcIp2S7GLiahy,0Y0r9IKRjfC62MAYMDEMZO","Feel It Too","Feel It Too","CADMIUM,Timmy Commerford",2018-10-26,198347,36,spotify:user:31ik7vcdgxcemrvigsxdr5ssxaqi,2022-02-11T10:10:37Z,"covertronica",0.837,0.604,6,-5.783,0,0.0951,0.124,0,0.242,0.717,98.023,4
3YFBT7K58eMzMSoVYGVsx1,"4u1nYxjl132D6rcMeYQ6Zz,2jrBiKykLqcIp2S7GLiahy,7kXDaUD3imvM6el5qK6tAu","Seasons","Seasons","Rival,CADMIUM,Harley Bird",2018-04-04,248275,0,spotify:user:31ik7vcdgxcemrvigsxdr5ssxaqi,2022-02-11T10:17:48Z,"gaming edm,la pop",0.54,0.676,6,-7.363,1,0.0395,0.15,0,0.101,0.479,144.885,4
5NjfO70bhIyNOOFBcXb6ql,"2Q9c6ETFOkDDTy53U7DIgr","On My Mind","Ripples","Maximillian",2019-10-25,174213,49,spotify:user:31ik7vcdgxcemrvigsxdr5ssxaqi,2022-02-11T10:12:03Z,"gen z singer-songwriter",0.758,0.48,5,-6.762,0,0.0601,0.03,0,0.491,0.555,98.46,4
5ZtfujhQIVRZm2RMZPQ3iD,"0C8ZW7ezQVs4URX5aX7Kqx","Only You","13 Reasons Why (A Netflix Original Series Soundtrack)","Selena Gomez",2017-03-30,184853,41,spotify:user:31ik7vcdgxcemrvigsxdr5ssxaqi,2022-02-11T10:12:44Z,"pop,post-teen pop",0.465,0.507,9,-9.271,1,0.0291,0.642,0.0000393,0.128,0.221,96.964,4
6M31fPFCYB8Job3MCjjrDV,"4AK6F7OLvEQ5QYCBNiQWHq","They Don't Know About Us","Take Me Home (Expanded Edition)","One Direction",2012-11-12,200400,71,spotify:user:31ik7vcdgxcemrvigsxdr5ssxaqi,2022-02-11T10:18:09Z,"boy band,pop,post-teen pop,talent show",0.514,0.727,0,-6.131,1,0.0492,0.126,0,0.0978,0.37,147.917,4
0E4Y1XIbs8GrAT1YqVy6dq,"6eUKZXaKkcviH0Ku9w2n3V","Afterglow","Afterglow","Ed Sheeran",2020-12-21,185486,67,spotify:user:31ik7vcdgxcemrvigsxdr5ssxaqi,2022-02-11T10:22:10Z,"pop,singer-songwriter pop,uk pop",0.641,0.324,11,-5.851,1,0.0299,0.698,0,0.328,0.273,110.184,4
2bdCO4UTMX1ennK2I4rFpD,"5ie2SvXgvXlTpyqkwLtSd7","Always","Yours","Isak Danielson",2018-10-19,213451,0,spotify:user:31ik7vcdgxcemrvigsxdr5ssxaqi,2022-02-11T10:22:34Z,"swedish singer-songwriter",0.69,0.452,11,-8.026,1,0.0472,0.356,0,0.308,0.55,112.963,4
42fJWRGXv3Ski12V294Yhy,"2jrBiKykLqcIp2S7GLiahy,5jRx3N76S5n2Wx9lU0g9Lr","Melody","Melody","CADMIUM,Jon Becker",2017-10-06,220235,0,spotify:user:31ik7vcdgxcemrvigsxdr5ssxaqi,2022-02-11T10:23:08Z,"",0.379,0.466,9,-10.532,1,0.0832,0.245,0.00000275,0.0905,0.532,84.566,4
1620rCO9xoE7kug77sS4AJ,"5IH6FPUwQTxPSXurCrcIov","Speakers","(Un)Commentary","Alec Benjamin",2022-04-15,159965,44,spotify:user:31ik7vcdgxcemrvigsxdr5ssxaqi,2022-06-07T17:46:49Z,"alt z,pop,pov: indie",0.416,0.55,6,-5.78,1,0.0493,0.802,0,0.319,0.529,99.383,4
2K4qtTAE8fjFaIUBFTuj1a,"7n2wHs1TKAczGzO7Dd2rGr","Never Be Alone","Never Be Alone","Shawn Mendes",2015-02-16,215840,0,spotify:user:31ik7vcdgxcemrvigsxdr5ssxaqi,2022-06-08T12:36:53Z,"canadian pop,pop,viral pop",0.363,0.466,10,-6.963,1,0.0347,0.547,0.0000446,0.0828,0.308,200.24,4
14hJ5tc1VCFMWhVn9axRTC,"7n2wHs1TKAczGzO7Dd2rGr","Life Of The Party","Handwritten","Shawn Mendes",2015-04-14,214533,56,spotify:user:31ik7vcdgxcemrvigsxdr5ssxaqi,2022-06-09T12:06:35Z,"canadian pop,pop,viral pop",0.666,0.615,10,-4.995,1,0.0314,0.0663,0,0.111,0.161,113.978,4
01WJWHv12F3nWeXGYsmOOs,"1iGwHlKgQKtdrtzmlwZ71U","Our Way Out","Our Way Out","Nico Collins",2019-02-15,243003,44,spotify:user:31ik7vcdgxcemrvigsxdr5ssxaqi,2022-06-09T13:55:14Z,"",0.565,0.881,4,-4.917,0,0.0839,0.237,0,0.34,0.457,118.055,4
