Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2FQrifJ1N335Ljm3TjTVVf,"3y2cIKLjiOlp1Np37WiUdH","A Bar Song (Tipsy)","A Bar Song (Tipsy)","Shaboozey",2024-04-12,171291,93,spotify:user:,2024-06-28T04:00:00Z,"pop rap",0.722,0.709,9,-4.95,1,0.0273,0.0633,0,0.0804,0.604,81.012,4
5N3hjp1WNayUPZrA8kJmJP,"74KM79TiuVKeVCqs8QtB0B","Please Please Please","Please Please Please","Sabrina Carpenter",2024-06-06,186365,98,spotify:user:,2024-06-28T04:00:00Z,"pop",0.669,0.586,9,-6.073,1,0.054,0.274,0,0.104,0.579,107.071,4
7DSAEUvxU8FajXtRloy8M0,"5YGY8feqx7naU7z4HrwZM6","Flowers","Endless Summer Vacation","Miley Cyrus",2023-08-18,200600,89,spotify:user:,2024-06-28T04:00:00Z,"pop",0.706,0.691,0,-4.775,1,0.0633,0.0584,0.0000699,0.0232,0.632,118.048,4
7221xIgOnuakPdLqT0F3nP,"246dkjvS1zLTtiykXe5h60,4oUHIQIBe0LHzYfvXNW4QM","I Had Some Help (Feat. Morgan Wallen)","I Had Some Help","Post Malone,Morgan Wallen",2024-05-10,178205,95,spotify:user:,2024-06-28T04:00:00Z,"dfw rap,melodic rap,pop,rap,contemporary country",0.638,0.855,7,-4.86,1,0.0264,0.00757,0,0.245,0.731,127.986,4
0h3Xy4V4apMraB5NuM8U7Z,"11kt6ggsdxvI8MhyeSMKom","Stumblin' In","Stumblin' In","CYRIL",2023-11-10,213363,88,spotify:user:,2024-06-28T04:00:00Z,"",0.875,0.518,2,-8.388,1,0.0551,0.0638,0.00995,0.125,0.37,126.089,4
3t7MOVjzXyqT7vPw4eNrAV,"6JL8zeS1NmiOftqZTRgdTz,3aQeKQSyrW4qWr35idm0cy","Been Like This","Been Like This","Meghan Trainor,T-Pain",2024-03-14,145765,72,spotify:user:,2024-06-28T04:00:00Z,"hip pop,pop,dance pop,gangster rap,hip hop,pop rap,r&b,rap,southern hip hop,trap,urban contemporary",0.709,0.712,5,-4.671,0,0.0755,0.235,0,0.314,0.783,120.004,4
2qSkIjg1o9h3YT9RAgYN75,"74KM79TiuVKeVCqs8QtB0B","Espresso","Espresso","Sabrina Carpenter",2024-04-12,175459,99,spotify:user:,2024-06-28T04:00:00Z,"pop",0.701,0.76,0,-5.478,1,0.0285,0.107,0.0000654,0.185,0.69,103.969,4
3Vr3zh0r7ALn8VLqCiRR10,"3bO19AOone0ubCsfDXDtYt","Stargazing","Stargazing","Myles Smith",2024-05-10,172533,92,spotify:user:,2024-06-28T04:00:00Z,"singer-songwriter pop",0.635,0.601,1,-6.129,0,0.0295,0.246,0,0.11,0.332,123.994,4
1YsU8rW2u8z4F0pwOBQ4Ea,"4gzpq5DPGxSnKTe4SA8HAU","feelslikeimfallinginlove","feelslikeimfallinginlove","Coldplay",2024-06-21,237803,83,spotify:user:,2024-06-28T04:00:00Z,"permanent wave,pop",0.629,0.515,0,-7.503,1,0.0272,0.0448,0.00751,0.117,0.339,121.154,4
0cVyQfDyRnMJ0V3rjjdlU3,"4zoRNhOhsGX3w8yBAnFSQ8","Lil Boo Thang","Lil Boo Thang","Paul Russell",2023-08-18,114233,79,spotify:user:,2024-06-28T04:00:00Z,"indie r&b",0.85,0.699,0,-3.292,1,0.0776,0.152,0,0.32,0.915,114.481,4
