Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6RUKPb4LETWmmr3iAEQktW,"69GGBxA162lTqCwzJG5jLp,4gzpq5DPGxSnKTe4SA8HAU","Something Just Like This","Memories...Do Not Open","The Chainsmokers,Coldplay",2017-04-07,247160,87,spotify:user:laritumanoff,2021-02-20T08:38:30Z,"pop,permanent wave",0.617,0.635,11,-6.769,0,0.0317,0.0498,0.0000144,0.164,0.446,103.019,4
3RiPr603aXAoi4GHyXx0uy,"4gzpq5DPGxSnKTe4SA8HAU","Hymn for the Weekend","A Head Full of Dreams","Coldplay",2015-12-04,258266,83,spotify:user:laritumanoff,2021-02-20T08:56:12Z,"permanent wave,pop",0.491,0.693,0,-6.487,0,0.0377,0.211,0.00000692,0.325,0.412,90.027,4
7qiZfU4dY1lWllzX7mPBI3,"6eUKZXaKkcviH0Ku9w2n3V","Shape of You","÷ (Deluxe)","Ed Sheeran",2017-03-03,233712,84,spotify:user:laritumanoff,2021-02-20T08:42:06Z,"pop,singer-songwriter pop,uk pop",0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.931,95.977,4
58zsLZPvfflaiIbNWoA22O,"4f9iBmdUOhQWeP7dcAn1pf","Human","Human (Deluxe)","Rag'n'Bone Man",2017-02-10,200186,79,spotify:user:laritumanoff,2021-02-20T08:40:09Z,"neo soul",0.602,0.707,9,-4.097,1,0.302,0.393,0,0.165,0.554,75.087,4
7BKLCZ1jbUBVqRi2FVlTVw,"69GGBxA162lTqCwzJG5jLp,26VFTg2z8YR0cCuwLzESi2","Closer","Closer","The Chainsmokers,Halsey",2016-07-29,244960,84,spotify:user:laritumanoff,2021-02-20T08:38:34Z,"pop,electropop,etherpop,indie poptimism",0.748,0.524,8,-5.599,1,0.0338,0.414,0,0.111,0.661,95.01,4
31L9yLXSj6LpCFupyMV6CR,"4gzpq5DPGxSnKTe4SA8HAU","Up&Up","A Head Full of Dreams","Coldplay",2015-12-04,405320,66,spotify:user:laritumanoff,2021-02-20T08:38:39Z,"permanent wave,pop",0.479,0.717,7,-5.459,1,0.0605,0.0488,0.000333,0.102,0.253,163.989,4
0ct6r3EGTcMLPtrXHDvVjc,"1vCWHaC5f2uS3yhpwWbIA6","The Nights","The Days / Nights","Avicii",2014-01-01,176658,84,spotify:user:laritumanoff,2021-02-20T08:39:40Z,"dance pop,edm,pop,pop dance",0.527,0.835,6,-5.298,1,0.0433,0.0166,0,0.249,0.654,125.983,4
0d2iYfpKoM0QCKvcLCkBao,"5CiGnKThu5ctn9pBxv7DGa,26VFTg2z8YR0cCuwLzESi2,6LuN9FCkKOj5PcnpouEgny","Eastside (with Halsey & Khalid)","Eastside (with Halsey & Khalid)","benny blanco,Halsey,Khalid",2018-07-12,173799,72,spotify:user:laritumanoff,2021-02-20T08:40:27Z,"pop,electropop,etherpop,indie poptimism,pop r&b",0.56,0.68,6,-7.648,0,0.321,0.555,0,0.116,0.319,89.391,4
7vGuf3Y35N4wmASOKLUVVU,"64KEffDW9EtZ1y2vBYgq8T,6LuN9FCkKOj5PcnpouEgny","Silence","Silence","Marshmello,Khalid",2017-08-11,180822,81,spotify:user:laritumanoff,2021-02-20T08:41:02Z,"brostep,edm,pop,progressive electro house,pop r&b",0.52,0.761,4,-3.093,1,0.0853,0.256,0.00000496,0.17,0.286,141.971,4
5k38wzpLb15YgncyWdTZE4,"02kJSzxNuaWGqwubyUba0Z,26VFTg2z8YR0cCuwLzESi2","Him & I (with Halsey)","The Beautiful & Damned","G-Eazy,Halsey",2017-12-15,268866,75,spotify:user:laritumanoff,2021-02-20T08:41:10Z,"indie pop rap,oakland hip hop,pop rap,rap,electropop,etherpop,indie poptimism,pop",0.589,0.731,2,-6.343,1,0.0868,0.0534,0,0.308,0.191,87.908,4
5ZSl6gDoV6bPPxzmLeneV9,"1HBjj22wzbscIZ9sEb5dyf,1INuLZXjjVbcJRyWvD1iSq","Rise","Blue","Jonas Blue,Jack & Jack",2018-11-09,194407,68,spotify:user:laritumanoff,2021-02-20T08:41:21Z,"pop,pop dance,tropical house,uk dance,teen pop",0.687,0.785,1,-4.65,1,0.0333,0.327,0,0.203,0.655,106.046,4
5CLGzJsGqhCEECcpnFQA8x,"4WN5naL3ofxrVBgFpguzKo,4ScCswdRlyA23odg9thgIO,3JhNCzhSMTxs9WLGJJxWOY,2U3FuHYvL3vhkbDAXm24Ep","These Days (feat. Jess Glynne, Macklemore & Dan Caplen)","These Days (feat. Jess Glynne, Macklemore & Dan Caplen)","Rudimental,Jess Glynne,Macklemore,Dan Caplen",2018-01-19,210772,69,spotify:user:laritumanoff,2021-02-20T08:41:38Z,"pop dance,uk dance,uk funky,dance pop,pop,uk pop,pop rap,seattle hip hop,neo soul,uk contemporary r&b",0.653,0.809,0,-4.057,1,0.0474,0.194,0,0.165,0.55,92.213,4
5Sf3GyLEAzJXxZ5mbCPXTu,"33W1pnW9zScZtYTnAoWnOT,3t5xRXzsuZmMDkQzgOX35S","Waves - Robin Schulz Radio Edit","Waves (Robin Schulz Radio Edit)","Mr. Probz,Robin Schulz",2014-02-07,208133,1,spotify:user:laritumanoff,2021-02-20T08:42:29Z,"pop dance,deep euro house,deep house,edm,german dance,tropical house",0.829,0.51,5,-9.334,0,0.0369,0.00821,0.0014,0.0829,0.45,119.993,4
4b4c0oH7PtrPsI86drzgFs,"2NhdGz9EDv2FeUw6udu2g1","Chasing The Sun","The Wanted (Special Edition)","The Wanted",2012-01-01,198800,65,spotify:user:laritumanoff,2021-02-20T08:42:39Z,"boy band,dance pop,pop,post-teen pop",0.637,0.732,7,-6.209,0,0.0965,0.244,0,0.498,0.68,128.108,4
3rfhI32Il2hVRKDkuGeeen,"0TnOYISbd1XYRBk9myaseg,3aQeKQSyrW4qWr35idm0cy","Hey Baby (Drop It to the Floor) (feat. T-Pain)","Planet Pit (Deluxe Version)","Pitbull,T-Pain",2011-06-17,234453,74,spotify:user:laritumanoff,2021-02-20T08:45:50Z,"dance pop,miami hip hop,pop,gangster rap,hip hop,pop rap,r&b,rap,southern hip hop,trap,urban contemporary",0.595,0.912,10,-3.428,0,0.0884,0.0434,0,0.259,0.762,128.024,4
7fJFDK6XjYsXcMKNHESbot,"4gzpq5DPGxSnKTe4SA8HAU","Fun (feat. Tove Lo)","A Head Full of Dreams","Coldplay",2015-12-04,267533,54,spotify:user:laritumanoff,2021-02-20T08:42:44Z,"permanent wave,pop",0.485,0.735,0,-5.125,1,0.0354,0.271,0.00000749,0.0853,0.216,134.021,4
38uWGrkQvedpatybHIOaE4,"1rfLW9kia7wkXY4RwLc0MD","Dime - Radio Edit","Dime (Radio Edit)","Jack Perry",2015-05-29,206000,23,spotify:user:laritumanoff,2021-02-20T08:42:52Z,"",0.741,0.884,5,-3.745,0,0.0341,0.0509,0.0575,0.117,0.811,130.038,4
4HlFJV71xXKIGcU3kRyttv,"3FUY2gzHeIiaesXtOAdB7A","Hey, Soul Sister","Save Me, San Francisco (Golden Gate Edition)","Train",2010-12-01,216773,85,spotify:user:laritumanoff,2021-02-20T08:43:24Z,"dance pop,neo mellow,pop,pop rock",0.673,0.886,1,-4.44,0,0.0431,0.185,0,0.0826,0.795,97.012,4
