Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2J2Z1SkXYghSajLibnQHOa,"5WUlDfRSoLAfcVSX1WnrxN","Unstoppable","This Is Acting","Sia",2016-01-29,217746,80,spotify:user:31dw4sg642yndtivftyqie3nspee,2023-09-19T19:14:57Z,"pop",0.468,0.779,9,-4.839,1,0.0779,0.112,0.000373,0.101,0.26,173.799,4
51sbkJ2lmslwVNiDnkp9mx,"2VD7hi5KkmTgalaFZ8dnls,4YOM5excFC1lf3sDs1fsh3","Memories","Memories","Benlon,Pop Mage",2021-07-12,198148,26,spotify:user:31dw4sg642yndtivftyqie3nspee,2023-09-19T19:17:34Z,"",0.707,0.353,11,-8.676,1,0.0441,0.835,0,0.106,0.822,80.938,4
7kVnwPy3XOtoh6bbkmoWoS,"1GJWH6Nr1jV03ZziPP002p,4YOM5excFC1lf3sDs1fsh3","Mood","Mood","lost.,Pop Mage",2021-11-12,165000,28,spotify:user:31dw4sg642yndtivftyqie3nspee,2023-09-19T19:21:07Z,"",0.601,0.364,10,-7.217,1,0.0409,0.642,0,0.115,0.745,156.278,4
2MAmu3HWxxRXNvVWBgmcRa,"7d4zWuFbqatmIT9teVJ1xr,1GJWH6Nr1jV03ZziPP002p,4YOM5excFC1lf3sDs1fsh3","Halo","Halo","Hannah Gracelynn,lost.,Pop Mage",2022-02-11,221504,24,spotify:user:31dw4sg642yndtivftyqie3nspee,2023-09-19T19:23:12Z,"",0.526,0.188,2,-11.996,1,0.036,0.592,0,0.0841,0.172,143.673,4
11BapvauHqMS3NWtla5VG4,"2daYyEVaFZdCCU1xtQCzQ5,2J5i6X9MB7tKuhUa4HHlcr,4YOM5excFC1lf3sDs1fsh3","Faded","Faded","Honeyfox,Leggiero,Pop Mage",2021-07-12,159600,35,spotify:user:31dw4sg642yndtivftyqie3nspee,2023-09-19T19:25:56Z,"",0.454,0.303,7,-7.992,1,0.0291,0.811,0.0000187,0.0834,0.178,99.738,4
3u7FUIFLhTO9nVdxbbjXHT,"2daYyEVaFZdCCU1xtQCzQ5,1GJWH6Nr1jV03ZziPP002p,4YOM5excFC1lf3sDs1fsh3","Unstoppable - Acoustic","Unstoppable (Acoustic)","Honeyfox,lost.,Pop Mage",2022-07-15,200470,41,spotify:user:31dw4sg642yndtivftyqie3nspee,2023-09-19T23:43:40Z,"",0.509,0.115,6,-13.313,0,0.0449,0.931,0,0.0878,0.64,80.4,4
1PMjWGbINVmAyHnHE7f21y,"1GJWH6Nr1jV03ZziPP002p,4YOM5excFC1lf3sDs1fsh3,1a35bs8Zs05TNQ1tnfeHFV","Easy On Me","Easy On Me","lost.,Pop Mage,Michelle Ray",2021-12-10,223098,19,spotify:user:31dw4sg642yndtivftyqie3nspee,2023-09-19T23:44:35Z,"",0.35,0.248,5,-7.973,1,0.0283,0.795,0.000013,0.113,0.23,141.983,4
53jnnqFSRGMDB9ADrNriCA,"1HY2Jd0NmPuamShAr6KMms","Bloody Mary","Born This Way (International Special Edition Version)","Lady Gaga",2011-05-23,244760,74,spotify:user:31dw4sg642yndtivftyqie3nspee,2023-09-19T23:46:39Z,"art pop,dance pop,pop",0.591,0.634,9,-6.365,0,0.0291,0.0107,0.00000195,0.113,0.44,99.998,4
3dYD57lRAUcMHufyqn9GcI,"2FXC3k01G6Gw61bmprjgqS","Take Me To Church","Hozier","Hozier",2014-09-19,241688,82,spotify:user:31dw4sg642yndtivftyqie3nspee,2023-09-19T23:47:03Z,"irish singer-songwriter,modern rock,pop,pov: indie",0.575,0.664,4,-5.303,0,0.0481,0.637,0,0.116,0.437,129.071,4
0yvlrwsFd5LBJ8bX0X4Y6P,"1GJWH6Nr1jV03ZziPP002p,4YOM5excFC1lf3sDs1fsh3","Senorita","Senorita","lost.,Pop Mage",2021-11-12,205664,26,spotify:user:31dw4sg642yndtivftyqie3nspee,2023-09-19T23:47:22Z,"",0.588,0.339,0,-8.897,1,0.0309,0.726,0,0.106,0.313,111.835,4
08bNPGLD8AhKpnnERrAc6G,"64KEffDW9EtZ1y2vBYgq8T,1zNqDE7qDGCsyzJwohVaoX","FRIENDS","FRIENDS","Marshmello,Anne-Marie",2018-02-09,202620,74,spotify:user:31dw4sg642yndtivftyqie3nspee,2023-09-19T23:48:42Z,"brostep,edm,pop,progressive electro house",0.626,0.88,9,-2.384,0,0.0504,0.205,0,0.128,0.534,95.079,4
106vh3e2eief6cLCYKBST7,"2daYyEVaFZdCCU1xtQCzQ5,1GJWH6Nr1jV03ZziPP002p,4YOM5excFC1lf3sDs1fsh3","Love Me Like You Do","Love Me Like You Do","Honeyfox,lost.,Pop Mage",2022-05-13,112961,20,spotify:user:31dw4sg642yndtivftyqie3nspee,2023-09-19T23:49:20Z,"",0.729,0.2,5,-12.695,0,0.0525,0.834,0.00000285,0.105,0.36,123.925,4
1C1FMr4ONzZkUfZn1l4Zv6,"2VD7hi5KkmTgalaFZ8dnls,4YOM5excFC1lf3sDs1fsh3","Someone You Loved","Someone You Loved","Benlon,Pop Mage",2021-07-12,187200,30,spotify:user:31dw4sg642yndtivftyqie3nspee,2023-09-19T23:49:45Z,"",0.634,0.398,2,-7.428,1,0.0343,0.69,0,0.0899,0.44,99.765,4
