"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6VrLYoQKdhu1Jruei06t65","Somebody To You","spotify:artist:7gAppWoH7pcYmphCVTXkzs","The Vamps","spotify:album:12gXA8pXYzj9bycyyKSGAa","Meet The Vamps","spotify:artist:7gAppWoH7pcYmphCVTXkzs","The Vamps","2014-01-01","https://i.scdn.co/image/ab67616d0000b2739f89b8390933e9ccb3673c89","1","3","185097","https://p.scdn.co/mp3-preview/91587c1a1e3da6ebc24a9320c61a8b40836a202c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","GBUM71401330","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5iFwAOB2TFkPJk8sMlxP8g","Make You Mine","spotify:artist:4vxaQs6vK54nK89J1VtLex","PUBLIC","spotify:album:2CxrZinzjDXZidyx5EP214","Make You Mine","spotify:artist:4vxaQs6vK54nK89J1VtLex","PUBLIC","2019-08-09","https://i.scdn.co/image/ab67616d0000b2730d0621554b1c6c9dbf3556be","1","2","232906","https://p.scdn.co/mp3-preview/62a3c440df8ce0e808ee2ba176cf90dcf3473f99?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","TCACE1578479","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0RiRZpuVRbi7oqRdSMwhQY","Sunflower - Spider-Man: Into the Spider-Verse","spotify:artist:246dkjvS1zLTtiykXe5h60, spotify:artist:1zNqQNIdeOUZHb8zbZRFMX","Post Malone, Swae Lee","spotify:album:4g1ZRSobMefqF6nelkgibi","Hollywood's Bleeding","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","2019-09-06","https://i.scdn.co/image/ab67616d0000b2739478c87599550dd73bfa7e02","1","12","157560","https://p.scdn.co/mp3-preview/3c0788c6aba94192edcb497d9a02075bf76c5400?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","USUM71814888","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1fzAuUVbzlhZ1lJAx9PtY6","Daylight","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:1NAmidJlEaVgA3MpcPFYGq","Lover","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2019-08-23","https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647","1","18","293453","https://p.scdn.co/mp3-preview/4d31abf7ea87925c83ddefa5314a4ba92fedc33c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","USUG11901486","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6I3mqTwhRpn34SLVafSH7G","Ghost","spotify:artist:1uNFoZAHBGtllmzznpCI3s","Justin Bieber","spotify:album:5dGWwsZ9iB2Xc3UKR0gif2","Justice","spotify:artist:1uNFoZAHBGtllmzznpCI3s","Justin Bieber","2021-03-19","https://i.scdn.co/image/ab67616d0000b273e6f407c7f3a0ec98845e4431","1","11","153190","https://p.scdn.co/mp3-preview/10746d0627d5dd428001083030cf6726c5e92c67?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","USUM72102635","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:00yCFRFQLu3OAhGahgVimh","At My Worst","spotify:artist:1W7FNibLa0O0b572tB2w7t","Pink Sweat$","spotify:album:21iLTKX2O7LTHijlyXsbG1","PINK PLANET","spotify:artist:1W7FNibLa0O0b572tB2w7t","Pink Sweat$","2021-02-12","https://i.scdn.co/image/ab67616d0000b27343275240f8d72faac186400f","1","10","170344","https://p.scdn.co/mp3-preview/a821a6b3300253a5619fc68cb539a7aa309750d3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","USAT22003823","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5NvOZCjZaGGGL597exlQWv","Line Without a Hook","spotify:artist:0ZUvK7zGdXLd78mQr3t1Tw","Ricky Montgomery","spotify:album:25paSmOYSF03s81DCNqQn3","Montgomery Ricky","spotify:artist:0ZUvK7zGdXLd78mQr3t1Tw","Ricky Montgomery","2016-04-08","https://i.scdn.co/image/ab67616d0000b27367ee332af483acd134fd6fd0","1","2","249586","https://p.scdn.co/mp3-preview/7ca3ab941ddeebad9d8ad832c6cbc4b23f46965b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","USA2P1624696","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0fiijtFXDJ9MOVwgSaEQJ5","Don't Give Up On Me","spotify:artist:2oX42qP5ineK3hrhBECLmj","Andy Grammer","spotify:album:4NkgzNCOzuki4FuWUOY28R","Naïve","spotify:artist:2oX42qP5ineK3hrhBECLmj","Andy Grammer","2019-07-26","https://i.scdn.co/image/ab67616d0000b2736012829a32ed0e4c084e693b","1","5","196187","https://p.scdn.co/mp3-preview/c5bf3b185d2dba91a42b95d77318b857918dddc1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","QMRSZ1802908","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4pfhgOylRLcBll5JjUsJZj","Let's Fall in Love for the Night","spotify:artist:37M5pPGs6V1fchFJSgCguX","FINNEAS","spotify:album:2b7DunZFOVCs0QgiTI1FJW","Blood Harmony","spotify:artist:37M5pPGs6V1fchFJSgCguX","FINNEAS","2019-10-04","https://i.scdn.co/image/ab67616d0000b273500f0405c1d3feb14d62849c","1","6","190348","https://p.scdn.co/mp3-preview/b9adcc091cca2767e855302d66f843c270cf0138?cid=9950ac751e34487dbbe027c4fd7f8e99","true","68","GBKPL1825156","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4HBZA5flZLE435QTztThqH","Stuck with U (with Justin Bieber)","spotify:artist:66CXWjxzNUsdJxJ2JdwvnR, spotify:artist:1uNFoZAHBGtllmzznpCI3s","Ariana Grande, Justin Bieber","spotify:album:5mUdh6YWnUvf0MfklEk1oi","Stuck with U","spotify:artist:66CXWjxzNUsdJxJ2JdwvnR, spotify:artist:1uNFoZAHBGtllmzznpCI3s","Ariana Grande, Justin Bieber","2020-05-08","https://i.scdn.co/image/ab67616d0000b2732babb9dbd8f5146112f1bf86","1","1","228482","https://p.scdn.co/mp3-preview/be00e21551094a08c0227c84b8d9c26047a329a4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","USUM72009644","spotify:user:","1970-01-01T00:00:00Z"
