"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6Kkt27YmFyIFrcX3QXFi2o","Liability","spotify:artist:163tK9Wjr9P9DmM0AVK7lm","Lorde","spotify:album:2B87zXm9bOWvAJdkJBTpzF","Melodrama","spotify:artist:163tK9Wjr9P9DmM0AVK7lm","Lorde","2017-06-16","https://i.scdn.co/image/ab67616d0000b273f8553e18a11209d4becd0336","1","5","171727","https://p.scdn.co/mp3-preview/3f3c47baf7cc57e6f7119a80c80f75cc34f52dd2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","NZUM71700064","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5vjLSffimiIP26QG5WcN2K","Hold On","spotify:artist:5D3muNJhYYunbRkh3FKgX0","Chord Overstreet","spotify:album:2EfmyRWheMtmVTCIsptsLi","Hold On","spotify:artist:5D3muNJhYYunbRkh3FKgX0","Chord Overstreet","2017-02-03","https://i.scdn.co/image/ab67616d0000b273c60473419a4ce96822541181","1","1","198853","https://p.scdn.co/mp3-preview/7a2fe6c23a6f4a3cf32e657b4358e35832ed7a27?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","USUM71615568","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2nMeu6UenVvwUktBCpLMK9","Young And Beautiful","spotify:artist:00FQb4jTyendYWaN8pK0wa","Lana Del Rey","spotify:album:1D92WOHWUI2AGQCCdplcXL","Young And Beautiful","spotify:artist:00FQb4jTyendYWaN8pK0wa","Lana Del Rey","2013-01-01","https://i.scdn.co/image/ab67616d0000b273d7fb3e4c63020039d1cff6b2","1","1","236053","https://p.scdn.co/mp3-preview/6da9d2d9c70066c8052a8b4b0b66d3c447cdf33c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","GBUM71301823","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:7AQim7LbvFVZJE3O8TYgf2","Fuck Love","spotify:artist:15UsOTVnJzReFVN1VCnxy4, spotify:artist:6Xgp2XMz1fhVYe7i6yNAax","XXXTENTACION, Trippie Redd","spotify:album:5VdyJkLe3yvOs0l4xXbWp0","17","spotify:artist:15UsOTVnJzReFVN1VCnxy4","XXXTENTACION","2017-08-25","https://i.scdn.co/image/ab67616d0000b273203c89bd4391468eea4cc3f5","1","8","146520","https://p.scdn.co/mp3-preview/ad4d23afd3b92325c442f036322a05f5f35385dc?cid=9950ac751e34487dbbe027c4fd7f8e99","true","84","USUYG1156898","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:04sN26COy28wTXYj3dMoiZ","Bored","spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH","Billie Eilish","spotify:album:4iyJ8i3eKbez8JXDbsHIdZ","Bored","spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH","Billie Eilish","2017-03-30","https://i.scdn.co/image/ab67616d0000b273e0f2af91be409aad81bba98c","1","1","180933","https://p.scdn.co/mp3-preview/63477f8d678e215c7c77f3412f6ee79e40365d97?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","USUM71702756","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:315aBOUD3xtj7sUMXtRgMV","In The Stars","spotify:artist:22wbnEMDvgVIAGdFeek6ET","Benson Boone","spotify:album:168CdR21lfn0TTyw1Pkdcm","Fireworks & Rollerblades","spotify:artist:22wbnEMDvgVIAGdFeek6ET","Benson Boone","2024-04-05","https://i.scdn.co/image/ab67616d0000b273cc04ff3e70e146ba9abacf40","1","7","216410","https://p.scdn.co/mp3-preview/6e29e6750dcda8159aea83561faf2161a0acacb2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","USWB12201574","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:52iLDrSoRtf9lcgFuLVfqE","Older","spotify:artist:4xnihxcoXWK3UqryOSnbw5","Sasha Alex Sloan","spotify:album:2mTA1YzwWs39JdjSIQNCBS","Older","spotify:artist:4xnihxcoXWK3UqryOSnbw5","Sasha Alex Sloan","2018-11-09","https://i.scdn.co/image/ab67616d0000b273352b3ced3f510b351e02b058","1","1","191001","https://p.scdn.co/mp3-preview/020dd7d99dfd641b01c8e34fe7b1a98d84f9f401?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","USRC11803527","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4SqWKzw0CbA05TGszDgMlc","I Love You So","spotify:artist:027TpXKGwdXP7iwbjUSpV8","The Walters","spotify:album:7ucm85tRsWk6EyVHaYAxe9","I Love You So","spotify:artist:027TpXKGwdXP7iwbjUSpV8","The Walters","2014-11-28","https://i.scdn.co/image/ab67616d0000b2739214ff0109a0e062f8a6cf0f","1","1","160239","https://p.scdn.co/mp3-preview/83919b3d62a4ae352229c0a779e8aa0c1b2f4f40?cid=9950ac751e34487dbbe027c4fd7f8e99","false","87","TCACC1438995","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3hRV0jL3vUpRrcy398teAU","The Night We Met","spotify:artist:6ltzsmQQbmdoHHbLZ4ZN25","Lord Huron","spotify:album:4sD1qg4jwTZR4mvR4Iflk5","Strange Trails","spotify:artist:6ltzsmQQbmdoHHbLZ4ZN25","Lord Huron","2015-04-06","https://i.scdn.co/image/ab67616d0000b27317875a0610c23d8946454583","1","14","208211","https://p.scdn.co/mp3-preview/d563a6c29fb2e51cb10b638ab4f2409f0bf9d398?cid=9950ac751e34487dbbe027c4fd7f8e99","false","88","US53Q1200103","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2afCBiru10AFckfOa49wIa","You & I","spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq","One Direction","spotify:album:7p1fX8aUySrBdx4WSYspOu","Midnight Memories (Deluxe)","spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq","One Direction","2013-11-25","https://i.scdn.co/image/ab67616d0000b2732f76b797c382bedcafdf45e1","1","5","237933","https://p.scdn.co/mp3-preview/2d76e462bbba0eaa917d739a95033962c87740af?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","GBHMU1300213","spotify:user:","1970-01-01T00:00:00Z"
