Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
042Sl6Mn83JHyLEqdK7uI0,"6qqNVTkY8uBg9cP3Jd7DAH","Your Power","Happier Than Ever","Billie Eilish",2021-07-30,245896,72,spotify:user:biels09,2024-05-02T14:01:10Z,"art pop,pop",0.632,0.284,9,-14.025,0,0.0801,0.932,0.000476,0.233,0.208,129.642,4
7vRriwrloYVaoAe3a9wJHe,"3iri9nBFs9e4wN7PLIetAw,1QRj3hoop9Mv5VvHQkwPEp","i hate u, i love u (feat. olivia o'brien)","us","gnash,Olivia O'Brien",2016-03-25,251033,74,spotify:user:biels09,2024-05-02T14:01:10Z,"alt z,pop",0.492,0.275,6,-13.4,0,0.3,0.687,0,0.101,0.18,92.6,4
4Of7rzpRpV1mWRbhp5rAqG,"4GNC7GD6oZMSxPGyXy4MNB","Bruises","Divinely Uninspired To A Hellish Extent","Lewis Capaldi",2019-05-17,220492,78,spotify:user:biels09,2024-05-02T14:01:10Z,"pop,uk pop",0.736,0.308,4,-7.83,1,0.0677,0.946,0,0.186,0.361,111.202,4
4CxFN5zON70B3VOPBYbd6P,"3gIRvgZssIb9aiirIg0nI3,5JMLG56F1X5mFmWNmS0iAp","you were good to me","brent","Jeremy Zucker,Chelsea Cutler",2019-05-03,219146,70,spotify:user:biels09,2024-05-02T14:01:10Z,"alt z,electropop,pop",0.561,0.0848,2,-15.099,1,0.0404,0.913,0.0000262,0.112,0.206,102.128,4
4dnmtQPnXU993aEUGp0bY8,"1McMsnEElThX1knmY4oliG","drivers license","drivers license","Olivia Rodrigo",2021-01-08,242013,14,spotify:user:biels09,2024-05-02T14:01:10Z,"pop",0.575,0.425,10,-8.821,1,0.055,0.739,0.0000148,0.112,0.15,144.004,4
6wf7Yu7cxBSPrRlWeSeK0Q,"6qqNVTkY8uBg9cP3Jd7DAH","What Was I Made For? [From The Motion Picture Barbie]","What Was I Made For? [From The Motion Picture Barbie]","Billie Eilish",2023-07-13,222369,87,spotify:user:biels09,2024-05-02T14:01:10Z,"art pop,pop",0.391,0.084,0,-17.843,1,0.0317,0.953,0,0.0983,0.111,79.449,4
2mdEsXPu8ZmkHRRtAdC09e,"00FQb4jTyendYWaN8pK0wa","Cinnamon Girl","Norman Fucking Rockwell!","Lana Del Rey",2019-08-30,300683,81,spotify:user:biels09,2024-05-02T14:01:10Z,"art pop,pop",0.294,0.337,6,-10.614,0,0.036,0.814,0.414,0.14,0.135,91.781,5
4Ey0LK1HzksUqm9JLzzKuD,"45dkTj5sMRSjrmBSBeiHym","One Day","One Day","Tate McRae",2017-12-04,202340,68,spotify:user:biels09,2024-05-02T14:01:10Z,"pop",0.436,0.153,0,-9.522,1,0.0454,0.911,0,0.129,0.415,71.684,4
3dj4wgM3cPeuLwMNHDuBon,"33qOK5uJ8AR2xuQQAhHump","The Door","I've Tried Everything But Therapy (Part 1)","Teddy Swims",2023-09-15,212648,85,spotify:user:biels09,2024-06-13T21:14:34Z,"",0.731,0.861,8,-5.483,0,0.0532,0.0193,0,0.123,0.759,127.922,4
2WZHhSwjnFYnTYJcwXNmBh,"5yzMoVfzERWBsfhcQjbmSJ","I Miss The Way You Were","I Miss The Way You Were","I.U",2021-04-09,216000,39,spotify:user:biels09,2024-05-02T14:01:10Z,"",0.791,0.586,9,-5.11,1,0.139,0.196,0,0.0936,0.469,109.981,4
55Am8neGJkdj2ADaM3aw5H,"4IWBUUAFIplrNtaOHcJPRM","Train Wreck","Back from the Edge","James Arthur",2016-10-28,208826,77,spotify:user:biels09,2024-05-02T14:01:10Z,"pop,talent show,uk pop",0.311,0.485,6,-5.726,0,0.0365,0.701,0,0.0726,0.225,77.355,4
219slQu3ALbTSAe9P22hvE,"6QrQ7OrISRYIfS5mtacaw2","Happiest Year","Feel Something (Deluxe)","Jaymes Young",2022-01-28,228442,73,spotify:user:biels09,2024-05-02T14:01:10Z,"",0.502,0.168,1,-14.061,1,0.0486,0.885,0,0.111,0.355,112.881,3
6ktoQBpMjWdKbfOdHeudpE,"66CXWjxzNUsdJxJ2JdwvnR","i wish i hated you","eternal sunshine","Ariana Grande",2024-03-08,153633,50,spotify:user:biels09,2024-05-02T14:01:10Z,"pop",0.561,0.244,7,-9.152,1,0.0328,0.837,0,0.111,0.278,65.418,4
4xqrdfXkTW4T0RauPLv3WA,"4Uc8Dsxct0oMqx0P6i60ea","Heather","Kid Krow","Conan Gray",2020-03-20,198040,84,spotify:user:biels09,2024-05-02T14:01:10Z,"bedroom pop,pop,pov: indie",0.357,0.425,5,-7.301,1,0.0333,0.584,0,0.322,0.27,102.078,3
5WKw90L4bMbj2JXvJqXrRJ,"2ZaBxlzmAhrxDWwL3n3mAA","You Take Up My Songs","You Take Up My Songs","Riya Gadher",2023-03-03,213326,35,spotify:user:biels09,2024-07-02T12:06:44Z,"",0.687,0.406,6,-11.301,0,0.088,0.667,0.00000522,0.0993,0.167,124.915,4
226PUvIuxGdceSijXXZRRz,"1QRj3hoop9Mv5VvHQkwPEp","Complicated","Complicated","Olivia O'Brien",2015-08-09,189000,68,spotify:user:biels09,2024-05-02T14:01:10Z,"alt z,pop",0.657,0.355,7,-12.047,1,0.0715,0.694,0.000425,0.123,0.0808,74.99,4
1daDRI9ahBonbWD8YcxOIB,"5YGY8feqx7naU7z4HrwZM6","Angels Like You","Plastic Hearts","Miley Cyrus",2020-11-27,196453,80,spotify:user:biels09,2024-05-02T14:01:10Z,"pop",0.672,0.642,5,-4.035,1,0.0313,0.0981,0,0.1,0.494,121.981,4
1i07MlxQIuFSqNX3x3LkJH,"7Ez6lTtSMjMf2YSYpukP1I","Austin (Boots Stop Workin')","Austin (Boots Stop Workin')","Dasha",2023-11-17,171782,70,spotify:user:biels09,2024-06-13T21:18:38Z,"",0.756,0.672,0,-6.743,1,0.0522,0.464,0.00000337,0.108,0.739,114.935,4
6wJwkMo278iWVlWl1XQ4WA,"0C8ZW7ezQVs4URX5aX7Kqx","The Heart Wants What It Wants","The Heart Wants What It Wants","Selena Gomez",2014-01-01,227373,68,spotify:user:biels09,2024-05-02T14:01:10Z,"pop,post-teen pop",0.616,0.789,7,-4.874,0,0.0377,0.053,0,0.142,0.621,83.066,4
6HU7h9RYOaPRFeh0R3UeAr,"1McMsnEElThX1knmY4oliG","deja vu","SOUR","Olivia Rodrigo",2021-05-21,215506,84,spotify:user:biels09,2024-05-02T14:01:10Z,"pop",0.442,0.612,2,-7.222,1,0.112,0.584,0.0000057,0.37,0.178,180.917,4
6J2LdBN97cDWn0MLxYh9HB,"55fhWPvDiMpLnE4ZzNXZyW","July","THE END OF EVERYTHING","Noah Cyrus",2020-05-15,156106,83,spotify:user:biels09,2024-05-02T14:01:10Z,"alt z,pop",0.708,0.186,9,-8.953,0,0.042,0.868,0,0.0779,0.322,72.541,4
7xoUc6faLbCqZO6fQEYprd,"66CXWjxzNUsdJxJ2JdwvnR","One Last Time","My Everything (Deluxe)","Ariana Grande",2014-08-22,197266,81,spotify:user:biels09,2024-05-02T14:01:10Z,"pop",0.628,0.593,8,-5.036,1,0.0323,0.093,0.00000165,0.096,0.104,125.025,4
0u2P5u6lvoDfwTYjAADbn4,"6qqNVTkY8uBg9cP3Jd7DAH,6LuN9FCkKOj5PcnpouEgny","lovely (with Khalid)","lovely (with Khalid)","Billie Eilish,Khalid",2018-04-19,200185,86,spotify:user:biels09,2024-05-02T14:01:10Z,"art pop,pop,pop r&b",0.351,0.296,4,-10.109,0,0.0333,0.934,0,0.095,0.12,115.284,4
3Nl5OkkmS5DaBZvuYofpAt,"1McMsnEElThX1knmY4oliG","the grudge","GUTS","Olivia Rodrigo",2023-09-08,189386,75,spotify:user:biels09,2024-05-02T14:01:10Z,"pop",0.511,0.313,10,-9.32,1,0.0846,0.905,0,0.0832,0.331,126.962,4
5RsZXd0tZV9QNJK6yYe5Kj,"3wWtfT7S2uVJJ3hGZlOLkZ","Floating in the Night","The Process","Judah & the Lion",2024-05-10,221054,53,spotify:user:biels09,2024-06-06T08:03:32Z,"banjo,folk-pop,stomp and holler",0.559,0.749,1,-5.481,1,0.0339,0.0348,0,0.083,0.225,123.974,4
3lG6OtGDsYAOALxEmubQQm,"00FQb4jTyendYWaN8pK0wa","Happiness is a butterfly","Norman Fucking Rockwell!","Lana Del Rey",2019-08-30,272485,74,spotify:user:biels09,2024-05-02T14:01:10Z,"art pop,pop",0.467,0.119,2,-10.99,1,0.0401,0.969,0.0000014,0.0973,0.156,70.499,4
5Y35SjAfXjjG0sFQ3KOxmm,"7tYKF4w9nC0nq9CsPZTHyP","Nobody Gets Me","SOS","SZA",2022-12-09,180853,86,spotify:user:biels09,2024-05-02T14:01:10Z,"pop,r&b,rap",0.358,0.284,7,-8.285,1,0.0285,0.805,0,0.183,0.276,99.796,3
6Kkt27YmFyIFrcX3QXFi2o,"163tK9Wjr9P9DmM0AVK7lm","Liability","Melodrama","Lorde",2017-06-16,171727,68,spotify:user:biels09,2024-05-02T14:01:10Z,"art pop,metropopolis,nz pop,pop",0.587,0.229,10,-11.254,0,0.128,0.92,0,0.1,0.379,75.67,4
3ZCTVFBt2Brf31RLEnCkWJ,"6qqNVTkY8uBg9cP3Jd7DAH","everything i wanted","everything i wanted","Billie Eilish",2019-11-13,245425,81,spotify:user:biels09,2024-05-02T14:01:10Z,"art pop,pop",0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,4
1ZMiCix7XSAbfAJlEZWMCp,"6KImCVD70vtIoJWnq6nGn3","Falling","Fine Line","Harry Styles",2019-12-13,240133,79,spotify:user:biels09,2024-05-02T14:01:10Z,"pop",0.567,0.267,4,-6.502,1,0.0299,0.839,0.00000146,0.089,0.0592,110.011,4
3JvKfv6T31zO0ini8iNItO,"2txHhyCwHjUEpJjWrEyqyX","Another Love","Long Way Down (Deluxe)","Tom Odell",2013-06-24,244360,88,spotify:user:biels09,2024-05-02T14:01:10Z,"chill pop",0.445,0.537,4,-8.532,0,0.04,0.695,0.0000165,0.0944,0.131,122.769,4
45bE4HXI0AwGZXfZtMp8JR,"45dkTj5sMRSjrmBSBeiHym","you broke me first","you broke me first","Tate McRae",2020-04-17,169265,27,spotify:user:biels09,2024-05-02T14:01:10Z,"pop",0.667,0.373,4,-9.389,1,0.05,0.785,0,0.0906,0.0823,124.148,4
0STK94RxUulYqWzwFlyAb5,"6S2OmqARrzebs0tKUEyXyp","Sober","Sober","Demi Lovato",2018-06-21,197893,59,spotify:user:biels09,2024-05-02T14:01:10Z,"pop,post-teen pop",0.397,0.303,1,-10.413,1,0.11,0.798,0.00000416,0.0824,0.17,170.22,3
0fBSs3fRoh1yJcne77fdu9,"00FQb4jTyendYWaN8pK0wa","Video Games","Born To Die - The Paradise Edition","Lana Del Rey",2012-01-01,281960,77,spotify:user:biels09,2024-05-02T14:01:10Z,"art pop,pop",0.236,0.249,6,-9.595,0,0.0348,0.811,0.000001,0.087,0.181,72.847,5
6nbeZ22Csi6jZLVnuDkHpm,"2TFWfxXvnLR36b77GPG1hc","I've been here before","hiraeth","Sopperior",2024-03-20,113903,35,spotify:user:biels09,2024-07-02T12:06:27Z,"",0.274,0.286,8,-14.637,0,0.0626,0.937,0.004,0.115,0.086,70.272,4
7l97ElWmIdVHWUaOeeU5ZC,"45dkTj5sMRSjrmBSBeiHym","that way","all the things i never said","Tate McRae",2020-01-24,175026,73,spotify:user:biels09,2024-05-02T14:01:10Z,"pop",0.453,0.383,0,-11.015,1,0.163,0.728,0,0.387,0.333,105.029,4
5Qsp8mtshe70DX7EYbWZGo,"5p7f24Rk5HkUZsaS3BLG5F","Wrong Direction","Half Written Story","Hailee Steinfeld",2020-05-08,248986,57,spotify:user:biels09,2024-05-02T14:01:10Z,"pop",0.39,0.388,10,-9.017,1,0.0355,0.472,0,0.157,0.187,72.934,4
4G92yYrUs0cvY7G41YRI0z,"2feDdbD5araYcm6JhFHHw7","Jealous","Jealous - EP","Labrinth",2014-11-23,287693,71,spotify:user:biels09,2024-05-02T14:01:10Z,"indie poptimism,pop",0.439,0.153,1,-8.95,1,0.0479,0.874,0,0.107,0.104,116.76,3
2VlLbhGLVJgdOW7kKdWWFc,"6qqNVTkY8uBg9cP3Jd7DAH","Six Feet Under","Six Feet Under","Billie Eilish",2016-11-17,189613,71,spotify:user:biels09,2024-05-02T14:01:10Z,"art pop,pop",0.576,0.307,11,-12.732,0,0.0428,0.807,0.000355,0.0792,0.157,67.513,4
