Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7F1CiKqrY44kh5cDqwHOnx,"20DZAfCuP1TKZl5KcY7z3Q,6d0ZjIp5L7Ygy2l02HskRX","Love Is Gone - Acoustic","Love Is Gone (Acoustic)","SLANDER,Dylan Matthew",2019-11-13,176971,75,spotify:user:riyqm0r96ykglghk72vfrxmof,2023-02-12T08:39:18Z,"dubstep,singer-songwriter pop",0.541,0.153,6,-10.654,1,0.0303,0.882,0.00000166,0.16,0.359,139.644,4
16fCNV7Zq3OOYqL1FIixPH,"6WbG5UvM4fTvxSms7Gj2hI,3KU3VzyAzgSSgLS7Pz5hoA","Close To You","Close To You","Brainheart,Anica",2023-02-24,218142,35,spotify:user:riyqm0r96ykglghk72vfrxmof,2024-02-21T14:12:39Z,"",0.488,0.535,10,-9.056,0,0.0321,0.353,0.000114,0.0813,0.34,139.969,4
1LAbUHbOBHoAoVUiJlc1pE,"1RIO0WcUPQ8HsXH0kdmbzh","Can't Get Over You","XVIII","Jan Metternich",2021-10-01,150400,57,spotify:user:riyqm0r96ykglghk72vfrxmof,2024-01-18T11:38:02Z,"",0.8,0.457,10,-10.6,0,0.0939,0.611,0.000984,0.1,0.394,110.736,5
16HFa9HKHSRwr4Uue3XU41,"1RIO0WcUPQ8HsXH0kdmbzh","Dead End","XVIII","Jan Metternich",2021-10-01,193600,31,spotify:user:riyqm0r96ykglghk72vfrxmof,2024-01-18T11:51:20Z,"",0.717,0.36,3,-12.333,0,0.0784,0.704,0,0.0988,0.556,150.019,4
1AXFNVpfZkoclEwmmPCL7r,"1vaJtw85EDccyv1uf5OoIb","Die In Your Arms","UNI VERSE","MVSE",2021-03-26,275200,33,spotify:user:riyqm0r96ykglghk72vfrxmof,2024-06-06T04:29:56Z,"melodic dubstep",0.506,0.669,4,-5.655,1,0.0346,0.641,0,0.11,0.4,149.807,4
4GqXTb71f8uJj8KAbVxngu,"6WbG5UvM4fTvxSms7Gj2hI,3vM5Os04dAuqP1vJQj7kDG","Journey Of Self Love","Journey Of Self Love","Brainheart,Luke White",2024-04-19,213266,29,spotify:user:riyqm0r96ykglghk72vfrxmof,2024-04-21T13:15:13Z,"",0.616,0.601,11,-7.569,1,0.0315,0.0881,0,0.166,0.253,114.979,4
3IyeTsFecLZPspSN7XfQl8,"6F2Pv4rAI2oc42Wsh1U7OL","Get Lost","MAUCH","MAUMAUMAU",2024-03-11,169000,37,spotify:user:riyqm0r96ykglghk72vfrxmof,2024-06-06T05:07:57Z,"",0.544,0.52,7,-8.504,1,0.0509,0.277,0.000754,0.0791,0.327,180.026,3
6g6ssIIAt7yrIq9xEUtmln,"4CxFjw8gtxkYR5LKv3a6kN","she's all i wanna be - Tech House","she's all i wanna be (Tech House)","Tooz",2023-12-13,223322,43,spotify:user:riyqm0r96ykglghk72vfrxmof,2024-06-13T17:10:39Z,"gym hardstyle",0.515,0.725,2,-6.078,0,0.0369,0.117,0.00006,0.129,0.444,132.086,4
5j4sPAShLRUBbY8k6v7I0d,"1gFOv1rx1Xq2iabHv8FnFb,6NMa3C1AQx6cCPKohtKYVz","Cold Love","Cold Love","Lalo Gee,Kayze",2024-05-17,189714,40,spotify:user:riyqm0r96ykglghk72vfrxmof,2024-06-28T04:42:13Z,"",0.835,0.8,4,-5.242,0,0.0631,0.275,0,0.106,0.797,104.994,4
3lBwCXtSCYpZ1Avb3RfZ4h,"64yNKXnjBeL1YKkn4K8KWV","With You","With You","Zach Riley",2024-06-07,264112,31,spotify:user:riyqm0r96ykglghk72vfrxmof,2024-06-08T05:26:00Z,"",0.688,0.584,10,-7.37,1,0.023,0.00123,0.0281,0.161,0.503,106.995,4
2HzSHAtrNZfiLpNtYv4HUc,"7E26m6GE0DFcwrJLEIjBYA,5QLOODQPj9ibFM4ZwhKY94","The Life","CALIFORNIA RELOADED","SAINT PARIS BABY,Prod. Dior",2024-04-18,134000,41,spotify:user:riyqm0r96ykglghk72vfrxmof,2024-05-06T05:39:02Z,"",0.593,0.642,7,-8.669,1,0.133,0.0356,0,0.236,0.318,119.051,4
380BDyE1ONVyzlzWTPEMf2,"1RIO0WcUPQ8HsXH0kdmbzh,6yGWFeQnzd4husIekn4Qa0","iWANTu2STAY","iWANTu2STAY","Jan Metternich,prodbytwelve",2022-10-07,128000,47,spotify:user:riyqm0r96ykglghk72vfrxmof,2023-10-20T15:26:39Z,"",0.735,0.516,1,-8.846,0,0.0533,0.147,0.0000016,0.097,0.124,90.998,4
3KBYb5bTJWvDIpc3Boyt8w,"0az1ejd8keYC59ziNi459Q","Love I Deserve","Love I Deserve","Becca",2024-02-16,176006,32,spotify:user:riyqm0r96ykglghk72vfrxmof,2024-05-09T05:18:59Z,"",0.522,0.568,0,-6.884,1,0.0401,0.174,0,0.072,0.172,87.083,4
6hjE3xkELvPipOJ8hFj5YY,"72gNdAYBhOLSMgZJfWT20r","Too Tired to Love again","Too Tired to Love again","YOUNGDIVY",2022-08-10,204643,32,spotify:user:riyqm0r96ykglghk72vfrxmof,2024-04-23T07:41:22Z,"",0.574,0.0632,2,-18.516,1,0.0379,0.949,0.000152,0.0789,0.343,121.975,4
3K0FLtDa5amieQzp6yCLQd,"3S88CVor97KLhYUta9U6Lh","Better Off","Better Off","KBIR",2024-04-26,122400,29,spotify:user:riyqm0r96ykglghk72vfrxmof,2024-06-11T06:12:28Z,"",0.707,0.424,4,-7.804,1,0.0323,0.342,0.0996,0.214,0.318,99.938,4
5PrG7rbK55S3yiNh9AP7gQ,"6tZIB0k2xzSx5o7P1m7tvq","No Goodbyes","Nigmus Innit","3NIGMA",2024-06-13,124319,24,spotify:user:riyqm0r96ykglghk72vfrxmof,2024-07-04T07:33:14Z,"",0.746,0.535,11,-6.7,1,0.0603,0.596,0.000284,0.144,0.268,86.99,4
2MFZ7FlKDWHBzpimTjUFJq,"6NMa3C1AQx6cCPKohtKYVz","Euphoric","Katharsis","Kayze",2024-04-26,175522,38,spotify:user:riyqm0r96ykglghk72vfrxmof,2024-06-28T04:42:23Z,"",0.816,0.839,1,-4.97,1,0.0613,0.111,0,0.065,0.42,134.039,4
