Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0tMSssfxAL2oV8Vri0mFHE,"6qqNVTkY8uBg9cP3Jd7DAH","listen before i go","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","Billie Eilish",2019-03-29,242652,73,spotify:user:1225053592,2020-05-09T03:55:17Z,"art pop,pop",0.319,0.0561,0,-23.023,1,0.045,0.935,0.00384,0.388,0.082,79.764,3
0jZO7p0nBUi9VHedWUBS9l,"6ltzsmQQbmdoHHbLZ4ZN25,1r1uxoy19fzMxunt3ONAkG","The Night We Met (feat. Phoebe Bridgers)","13 Reasons Why (Season 2)","Lord Huron,Phoebe Bridgers",2018-05-18,208173,62,spotify:user:1225053592,2020-05-09T03:56:30Z,"indie folk,stomp and holler,indie pop,la indie,pov: indie",0.423,0.437,2,-8.588,1,0.0355,0.962,0.336,0.664,0.131,174.158,3
4g2WiijzSKzH8PApKDbadN,"0MeLMJJcouYXCymQSHPn8g","Touch","Atlas: II","Sleeping At Last",2019-11-01,256299,64,spotify:user:1225053592,2020-05-09T03:56:55Z,"ambient worship,chamber pop",0.415,0.104,0,-11.83,1,0.0426,0.955,0.00000379,0.104,0.18,82.006,3
2jTidefcsTu6VQhpIImJrt,"4BxCuXFJrSWGi1KHcVqaU4","All I Want","In A Perfect World (Deluxe)","Kodaline",2013-06-14,305746,0,spotify:user:1225053592,2020-05-09T03:57:37Z,"irish pop,modern rock,neo mellow",0.188,0.411,0,-9.733,1,0.0484,0.174,0.153,0.0843,0.159,187.376,3
4rl593K2O1pAt026iBVGrd,"5prQ5rRXnqhkW8GfOmXqEn","There's a Reason You're Alone","There's a Reason You're Alone","Vincemp3",2024-02-03,161034,54,spotify:user:1225053592,2024-03-04T05:18:32Z,"",0.605,0.466,9,-7.164,0,0.0259,0.0357,0.0000582,0.149,0.18,131.288,4
6CcJMwBtXByIz4zQLzFkKc,"6qqNVTkY8uBg9cP3Jd7DAH","i love you","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","Billie Eilish",2019-03-29,291796,79,spotify:user:1225053592,2020-05-09T03:56:09Z,"art pop,pop",0.421,0.131,0,-18.435,1,0.0382,0.952,0.00453,0.109,0.12,137.446,4
4Q6Kuze3wNMQRjamyBjHUR,"0n94vC3S9c3mb2HyNAOcjg","Rivers and Roads","The Head and the Heart","The Head And The Heart",2010,284000,0,spotify:user:1225053592,2020-05-09T03:57:47Z,"folk-pop,seattle indie,stomp and holler",0.494,0.194,0,-8.965,1,0.0352,0.699,0.0000298,0.0803,0.161,135.753,3
2Bo0hh0yoQReC4reJav5DT,"5WUlDfRSoLAfcVSX1WnrxN","Breathe Me","Colour The Small One (Deluxe Edition)","Sia",2004-01-01,272066,57,spotify:user:1225053592,2020-05-09T03:59:10Z,"australian dance,australian pop,pop",0.553,0.621,0,-7.356,1,0.0333,0.0428,0.596,0.115,0.19,120.051,4
4k7x3QKrc3h3U0Viqk0uop,"4LEiUm1SRbFMgfqnQTwUbQ,7bcbShaqKdcyjnmv4Ix8j6","Rosyln","The Twilight Saga: New Moon (Original Motion Picture Soundtrack)","Bon Iver,St. Vincent",2009-10-16,289560,73,spotify:user:1225053592,2020-05-09T13:44:54Z,"chamber pop,eau claire indie,indie folk,melancholia,modern rock,art pop,etherpop,indie rock,indietronica,metropopolis,neo-synthpop",0.329,0.277,10,-13.111,0,0.0302,0.971,0.024,0.0971,0.121,159.719,3
42BAwiGC1egjbiJ6y512Tz,"0MeLMJJcouYXCymQSHPn8g","Turning Page","The Twilight Saga: Breaking Dawn - Part 1 (Original Motion Picture Soundtrack)","Sleeping At Last",2011-11-04,255373,47,spotify:user:1225053592,2020-05-09T13:45:37Z,"ambient worship,chamber pop",0.304,0.379,3,-8.484,1,0.029,0.912,0.025,0.112,0.189,125.203,4
3rTnGUeDrnZV22DvRuUuXr,"63MQldklfxkjYDoUE4Tppz","Wait","Hurry Up, We're Dreaming","M83",2011,343253,59,spotify:user:1225053592,2020-08-31T15:06:21Z,"french shoegaze,french synthpop,indietronica,metropopolis,neo-synthpop",0.437,0.229,2,-10.514,1,0.0308,0.221,0.0599,0.0935,0.0754,147.911,4
