Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3ZCTVFBt2Brf31RLEnCkWJ,"6qqNVTkY8uBg9cP3Jd7DAH","everything i wanted","everything i wanted","Billie Eilish",2019-11-13,245425,81,spotify:user:7f1j4abfv0zmg2xw496yadvf2,2020-12-26T21:08:54Z,"art pop,pop",0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,4
5a6pdCHlWS2ekOOQ70QnAr,"55fhWPvDiMpLnE4ZzNXZyW","July","July","Noah Cyrus",2019-07-31,156106,0,spotify:user:7f1j4abfv0zmg2xw496yadvf2,2020-12-26T21:08:54Z,"alt z,pop",0.708,0.186,9,-8.953,0,0.0422,0.868,0,0.0779,0.321,72.541,4
0VhgEqMTNZwYL1ARDLLNCX,"4IWBUUAFIplrNtaOHcJPRM","Can I Be Him","Back from the Edge","James Arthur",2016-10-28,246880,77,spotify:user:7f1j4abfv0zmg2xw496yadvf2,2020-12-26T21:08:54Z,"pop,talent show,uk pop",0.696,0.543,11,-6.164,1,0.0489,0.308,0,0.0939,0.479,107.969,4
27r2uANqwK7XbsiAZnzf9e,"45dkTj5sMRSjrmBSBeiHym","One Day","One Day","Tate McRae",2017-12-24,202496,0,spotify:user:7f1j4abfv0zmg2xw496yadvf2,2020-12-26T21:08:54Z,"pop",0.52,0.119,0,-12.148,1,0.0407,0.922,0,0.0883,0.355,69.217,4
1xK59OXxi2TAAAbmZK0kBL,"5y8tKLUfMvliMe8IKamR32","Romantic Homicide","Romantic Homicide","d4vd",2022-07-20,132630,86,spotify:user:7f1j4abfv0zmg2xw496yadvf2,2022-12-19T17:44:28Z,"bedroom pop",0.571,0.544,6,-10.613,1,0.0299,0.453,0.00805,0.322,0.216,132.052,4
7qEHsqek33rTcFNT9PFqLf,"4GNC7GD6oZMSxPGyXy4MNB","Someone You Loved","Divinely Uninspired To A Hellish Extent","Lewis Capaldi",2019-05-17,182160,87,spotify:user:7f1j4abfv0zmg2xw496yadvf2,2020-12-26T21:08:54Z,"pop,uk pop",0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,0.446,109.891,4
2JzZzZUQj3Qff7wapcbKjc,"137W8MRPWKqSmrBGDBFSop,6VuMaDnrHyPL1p4EHjYLi7","See You Again (feat. Charlie Puth)","See You Again (feat. Charlie Puth)","Wiz Khalifa,Charlie Puth",2015,229525,82,spotify:user:7f1j4abfv0zmg2xw496yadvf2,2020-12-26T21:08:54Z,"hip hop,pittsburgh rap,pop rap,rap,southern hip hop,trap,pop,viral pop",0.689,0.481,10,-7.503,1,0.0815,0.369,0.00000103,0.0649,0.283,80.025,4
1ugQtcwmKOXvKAYzhjncmv,"3QSQFmccmX81fWCUSPTS7y","Half A Man","A Place We Knew","Dean Lewis",2019-03-22,179120,72,spotify:user:7f1j4abfv0zmg2xw496yadvf2,2020-12-26T21:08:54Z,"australian pop,pop",0.411,0.204,0,-11.575,1,0.0578,0.855,0,0.143,0.337,70.853,4
5388YAZ3AuF86f60SaXpBj,"3QZtwiUoyaXbl1JssMPIQ7,31IZdHrCZ5pRhLz4zBxN3o,6wS9QIMPfIoOohLnWLXXqf","Fred Flinstone","Fred Flinstone","Narvent,Riff Raff,YNG BNZO",2024-05-31,209448,45,spotify:user:7f1j4abfv0zmg2xw496yadvf2,2024-05-31T16:09:51Z,"",0.57,0.869,7,-5.848,0,0.0421,0.303,0.327,0.155,0.264,101.987,4
6y6jbcPG4Yn3Du4moXaenr,"2cFrymmkijnjDg9SS92EPM","idfc","deadroses","blackbear",2015-02-14,245172,68,spotify:user:7f1j4abfv0zmg2xw496yadvf2,2020-12-26T21:08:54Z,"alt z,pop",0.63,0.5,1,-8.755,0,0.0611,0.611,0.0000404,0.114,0.315,144.871,4
