Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4xm8cfuUPvoEowL1TTBJGi,"7AQzXO3NPNQsI7oNu5rC3r","Opium","Marcy Playground","Marcy Playground",1997-01-01,187066,38,spotify:user:1263221481,2016-10-23T04:59:03Z,"alternative metal,alternative rock,grunge,pop rock,post-grunge",0.428,0.322,9,-8.889,1,0.0284,0.371,0.655,0.114,0.114,126.135,4
01OXa5tVuCssU6j8TY7kxr,"0wz0jO9anccPzH04N7FLBH","Words","I Could Live In Hope","Low",1994-01-01,348800,42,spotify:user:1263221481,2016-09-19T04:43:10Z,"chamber pop,dream pop,duluth indie,melancholia,shoegaze,slowcore",0.347,0.209,5,-15.268,1,0.0262,0.0931,0.617,0.103,0.229,80.242,4
3jVt22SPxnEqYZFIC7iZcy,"5VnYwYnG7QmpzQtxyubIwh","To Be There Now","Ugly But Honest","Carissa's Wierd",2010-10-12,289040,0,spotify:user:1263221481,2016-09-19T04:44:28Z,"dream pop,melancholia,seattle indie,slowcore",0.432,0.3,8,-12.606,1,0.0318,0.0266,0.15,0.105,0.0691,107.806,4
7GMBCeKZk95vzC1mNcNIJe,"60CBjmRpwr02JwAd3Ho25U","Cave-in","Frigid Stars","Codeine",1990,217093,0,spotify:user:1263221481,2016-10-24T06:20:29Z,"shoegaze,slowcore",0.324,0.123,7,-13.84,1,0.0341,0.00324,0.67,0.0806,0.0934,73.198,4
37MjVQTtZGDuKwSwNxMwAN,"5BiMbLBGVfPD3SG12obiNj","A Taste For Bitters","A Taste For Bitters","Chokebore",1996,215173,11,spotify:user:1263221481,2016-11-02T23:25:01Z,"hawaiian indie",0.429,0.41,11,-9.864,1,0.0315,0.0573,0.768,0.0857,0.173,108.795,4
6bGLG9Tp0Jsb6RMOv9WvzN,"3JcR6CNZ9T6YSBoJngBQ7p","Bathroom","So Pretty","Kid Dakota",2002,319906,4,spotify:user:1263221481,2017-03-31T22:00:12Z,"",0.391,0.275,9,-15.148,0,0.0627,0.48,0.769,0.13,0.0677,112.17,4
4Db4LKuH8hcuMwrRJ8X0UY,"2mSqzpfJGBqSTIQa3uqDco","As Afterwards The Words Still Ring - 91 Version","Complete Discography","Moss Icon",2012-08-05,337933,0,spotify:user:1263221481,2018-04-03T03:30:57Z,"emo,emo punk,emocore,post-hardcore,skramz",0.392,0.816,7,-7.827,1,0.108,0.801,0.0517,0.0979,0.436,154.648,4
3XN5aduaWbGCYKWVBODmgZ,"1db6Ks0NQTUXWXDgpy62se","Bread","Today Puberty, Tomorrow The World","Native Nod",1996,199333,0,spotify:user:1263221481,2017-05-12T01:12:12Z,"emo punk,emocore,skramz",0.283,0.741,7,-11.187,1,0.0595,0.0000186,0.155,0.181,0.347,151.728,4
60DGbYeckYGaNA7ZBt5j0F,"3uQ5cxFHxXddqPL58egs1z","Lioness","The Lioness","Songs: Ohia",2000-01-17,396986,0,spotify:user:1263221481,2016-11-02T23:27:26Z,"alternative country,chamber pop,indie rock,lo-fi,slowcore",0.5,0.317,8,-11.897,0,0.0613,0.398,0.0276,0.0968,0.175,79.968,4
3BMOD2UdYDMbj1H2SQiVCo,"2wrhBKGC3DTNNNDRJPaxW6","Too Pure","Harmacy","Sebadoh",1996-08-20,226733,0,spotify:user:1263221481,2017-07-03T06:23:07Z,"alternative rock,gbvfi,lo-fi,post-hardcore,slacker rock,western mass indie",0.304,0.716,0,-7.408,0,0.0321,0.000712,0.117,0.11,0.402,123.472,4
